GeneID	perturbed	perturbed	perturbed	perturbed	control	control	control	control
126792	963	916	982	750	954	1435	1370	1078
388581	22	21	33	21	8	3	8	2
118424	1004	912	1017	845	718	1137	1120	882
101928895	21	15	16	13	26	26	22	14
6339	44	35	35	35	42	85	56	56
116983	639	598	720	453	474	640	594	455
102465434	0	0	0	0	1	0	0	0
109623456	2	1	0	2	0	1	1	0
126789	1246	1049	1263	827	444	713	605	574
54973	970	946	937	699	1038	1470	1369	1081
102465435	1	1	2	0	2	2	2	2
80772	390	355	347	282	363	472	360	362
83756	7	6	4	4	6	8	5	6
1855	354	332	291	275	364	519	440	354
102466740	0	0	1	0	0	1	1	0
54587	50	38	46	31	79	111	100	83
54998	1311	1192	1159	934	1023	1313	1333	1145
81669	4591	4122	4634	3480	5406	8101	7764	5824
148413	635	567	570	404	548	880	720	508
55052	778	720	961	785	712	970	1037	854
107984868	1	1	3	2	2	9	4	3
441869	32	28	28	17	63	85	61	61
105378585	3	4	2	3	5	6	7	8
643965	0	0	0	0	0	0	0	0
102724312	5	1	7	6	4	2	6	3
107985729	1	1	0	0	4	2	2	2
64856	119	114	111	76	223	323	294	213
219293	44	32	32	33	19	28	28	25
83858	1168	960	1049	702	497	721	565	477
55210	1100	1034	1055	786	636	954	941	655
339453	0	0	1	0	0	0	0	0
29101	2523	2380	3143	2283	2009	2763	3010	2541
643988	234	191	187	155	325	517	363	329
105378586	9	11	17	8	16	21	28	23
142678	1108	1014	1137	753	619	909	754	638
8510	8	6	9	5	16	13	14	13
984	291	237	327	228	201	266	306	273
728661	1696	1705	1396	1059	2562	3418	2637	1791
8511	5	5	6	2	10	9	11	7
728642	195	142	185	145	153	176	233	175
9906	937	962	832	659	1386	1935	1677	1150
112268218	61	57	58	46	70	91	91	79
65220	1743	1548	1702	1210	1308	1838	1654	1409
2782	6179	5915	7072	4971	4414	6103	6162	4941
105378949	15	20	25	21	33	29	43	31
163688	1	1	0	1	1	2	0	1
339456	122	119	98	62	77	130	60	93
85452	12	7	11	8	10	5	12	4
107984872	6	3	6	9	5	4	6	4
105378589	0	0	0	0	0	0	0	0
2563	48	50	45	35	31	35	41	40
105378590	0	0	0	0	0	0	0	0
105378591	0	0	6	1	0	1	1	1
5590	617	578	656	506	431	602	587	460
100506504	14	15	14	8	13	12	21	15
199990	413	418	439	334	403	583	577	507
112268219	14	19	16	26	29	38	28	31
105378593	2	4	2	0	3	2	3	2
6497	141	114	167	110	129	203	199	171
79906	187	155	150	150	151	196	195	159
100129534	14	13	17	11	21	27	30	17
11079	2274	2068	2697	1957	1640	2408	2569	2027
5192	599	548	479	385	422	636	586	429
9651	5	5	5	5	7	13	11	3
55229	687	625	632	460	671	976	892	664
388585	8	9	8	5	10	5	12	9
115110	16	12	16	11	6	10	3	5
8764	170	141	120	88	44	69	50	49
100996583	2	0	4	2	1	1	0	1
127281	368	328	294	216	377	545	363	343
79258	60	47	48	43	74	94	75	67
105378597	3	1	0	2	2	3	5	3
100287898	10	11	15	11	23	32	36	31
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0
140625	0	0	0	0	1	0	0	0
440556	5	1	5	1	5	7	10	7
63976	121	104	133	89	120	212	152	164
100422968	0	0	0	0	0	0	0	0
105378606	0	0	3	0	4	0	0	3
107984909	1	2	0	0	0	1	1	6
105378605	0	0	1	0	0	4	5	0
105378604	3	6	3	2	5	6	3	2
27237	303	262	246	166	166	258	168	137
1953	108	102	77	79	107	168	135	102
105378608	0	0	0	0	2	0	0	0
693135	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0
127262	302	290	323	256	281	384	369	289
49856	883	871	921	667	786	1182	1077	890
7161	722	604	530	453	611	854	650	578
105378610	4	1	5	2	5	7	7	10
105378609	0	0	0	0	0	1	1	0
57212	735	618	651	525	884	1260	1093	732
148870	16	10	10	8	27	31	32	19
388588	9	15	18	12	18	26	21	22
57470	1620	1246	1549	1098	957	1380	1250	989
9731	1024	989	1185	895	718	1027	1028	799
1677	313	289	325	207	287	386	395	287
107984910	2	10	4	4	0	1	3	2
339448	902	761	978	675	502	591	604	507
100133612	3	1	5	5	5	4	6	3
728716	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0
105376673	1	2	3	4	0	0	0	1
284661	1	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0
55966	0	0	0	0	0	0	0	0
105376680	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	0	0
261734	326	256	287	204	293	435	387	263
8514	199	142	166	115	150	199	167	185
26038	3	10	8	8	6	1	3	1
105376687	0	0	0	0	0	0	0	0
6146	1063	1094	1213	1054	1242	1688	1883	1506
107985733	6	4	9	9	6	5	4	10
102724450	6	0	1	1	0	4	3	4
388591	112	103	88	96	132	177	196	135
23463	4052	3821	4144	2987	2249	3262	3087	2324
148645	16	16	26	22	25	37	22	27
390992	0	0	0	0	0	0	0	0
387509	296	267	234	161	210	359	259	169
11332	2604	2367	2823	2024	1576	2239	2213	1812
54626	52	36	71	40	22	33	33	20
83715	2	4	13	9	10	6	10	10
100422975	0	0	1	0	0	0	0	0
8718	44	37	32	17	57	83	59	43
57449	151	118	171	123	165	273	207	196
79707	907	792	821	569	776	1152	1008	737
80835	4	0	4	2	4	8	7	3
107984912	1	0	1	0	0	0	0	1
3104	510	395	433	270	320	438	371	291
9903	1248	1051	1040	716	762	1069	804	528
107984913	4	2	2	3	8	8	9	10
148479	700	616	684	470	713	1013	957	564
90326	813	749	777	593	608	880	777	662
55735	1614	1441	1608	1247	1181	1854	1677	1326
100505887	0	0	0	0	0	0	0	0
110841581	4	9	6	2	8	8	7	12
23261	1373	1294	1592	1171	957	1478	1648	1498
105376692	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0
101928836	1	0	0	0	0	0	1	1
105376691	0	0	0	0	0	0	0	0
105376689	54	29	58	30	80	139	120	88
9341	1799	1865	2155	1780	1577	2274	2585	2069
8863	247	235	266	202	308	492	462	289
10911	5	1	10	2	0	0	1	1
3604	974	918	1052	787	92	144	121	101
11315	4434	4251	4872	3598	3730	5104	5328	4279
54206	783	855	894	739	822	1142	1278	1054
107984915	0	0	0	1	0	0	0	0
102724539	0	1	1	0	0	0	0	0
105376695	1	0	1	1	1	0	2	0
50651	13	15	13	8	8	21	14	17
473	310	279	374	288	395	603	586	503
102724552	1	1	1	0	1	2	3	2
106632271	1	0	3	1	0	1	0	0
2023	43565	37724	40613	29904	26694	39890	33540	27940
102465436	3	0	1	2	0	4	1	3
100505975	27	19	39	29	29	59	48	41
112268261	0	0	0	1	0	0	0	0
765	0	0	0	0	0	1	0	0
155184	1	1	1	0	1	2	0	1
6518	3	2	1	1	0	3	5	0
80045	177	146	142	130	146	222	181	144
106614088	343	363	390	288	634	904	847	657
407040	1	2	2	1	4	3	7	3
102724571	295	251	291	214	237	298	318	274
9563	863	891	710	564	1314	1843	1355	902
80176	173	180	171	117	170	223	203	140
100506022	12	6	7	9	15	27	17	11
84275	592	556	740	644	421	605	730	557
199953	776	622	638	495	485	722	583	457
107985734	17	9	9	9	6	11	11	9
105376712	0	0	0	0	0	0	0	0
5293	204	220	208	156	237	320	294	215
644997	0	0	0	0	0	0	0	0
101929074	37	46	40	39	36	69	44	39
22883	1784	1655	1724	1451	1927	2766	2248	1751
56998	615	579	593	462	553	758	653	578
105376717	21	20	17	12	14	23	18	15
84328	611	583	666	535	540	803	871	664
64802	304	266	366	235	237	328	317	249
113391335	2	2	0	0	3	6	2	3
100847055	0	0	0	1	0	1	2	0
116362	104	89	114	83	100	133	122	129
10277	1580	1462	1542	1096	1440	2249	2093	1511
23095	2418	2404	2479	2007	1990	3229	3038	1908
105376725	8	3	5	0	6	10	8	3
5226	2584	2272	2508	1856	2088	3237	2889	2058
100526739	245	246	292	224	145	226	227	172
378708	293	307	350	284	173	251	277	220
1325	19	29	32	19	18	29	18	14
1676	3154	3025	3278	2533	2740	3892	3900	3206
5195	217	211	191	160	164	225	220	191
54897	169	103	120	104	124	190	158	135
105376733	0	0	0	0	0	0	0	0
105376735	1	0	0	0	0	0	0	1
148345	5	2	6	4	6	3	4	5
23435	6217	6381	6198	4525	5065	7326	6601	5089
10747	37	46	31	29	29	46	46	40
6723	3273	2615	2954	2191	1583	2193	1937	1692
5394	1891	1791	2115	1592	2080	3167	3120	2411
105376736	47	44	46	44	45	55	55	41
2475	1987	1864	1896	1507	1715	2418	2031	1503
100873935	13	21	17	13	16	19	23	12
10218	1	0	0	1	0	2	5	0
29914	1091	936	949	708	632	821	736	537
105376737	1	0	0	0	0	0	0	0
105376739	1	1	0	0	0	0	0	0
105376740	1	2	3	0	3	2	2	2
57540	16	28	10	12	24	15	17	15
112268221	2	2	1	1	2	1	2	1
101929181	3	4	3	8	2	3	1	3
26232	106	97	129	85	72	112	103	83
93611	645	549	652	407	449	658	553	505
26270	374	361	365	295	223	339	381	294
10459	2498	2270	2492	1975	1741	2581	2395	2119
374946	159	178	173	147	79	135	98	80
57085	1225	1059	1123	812	607	876	708	680
284498	39	42	40	25	32	68	52	34
102724659	0	0	0	0	2	3	0	0
4524	163	180	186	129	201	331	249	185
1185	363	314	325	243	226	284	265	232
100379251	42	39	31	29	22	33	34	31
4878	10	4	10	7	8	4	4	3
4879	10	8	4	6	1	0	0	1
26829	1	1	2	1	0	0	1	0
90231	1268	1127	1279	901	1048	1472	1349	1129
5351	1871	1756	1651	1249	1696	2821	2114	1689
9927	2592	2313	2230	1649	2207	3114	2500	1866
60672	419	394	363	278	302	413	319	333
102466982	0	1	0	1	0	0	0	0
943	5	6	4	2	8	10	5	5
102465836	0	0	0	0	0	0	0	0
7133	0	0	1	3	3	1	1	2
100616438	0	0	0	0	0	0	0	0
107984917	0	0	0	0	0	0	0	0
55187	1164	1249	1184	1039	1159	1721	1744	1337
677885	3	4	4	5	5	6	5	8
105376744	2	0	2	0	4	0	0	2
9249	302	270	339	244	407	574	555	480
102466722	0	0	1	0	1	3	1	0
343066	0	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0	0
93190	6	4	4	8	0	0	1	0
390999	51	13	54	7	44	73	61	42
65121	29	0	23	1	7	15	16	12
105376745	0	0	0	0	0	0	0	0
440560	1	1	2	0	6	6	5	7
343069	14	13	2	1	13	20	4	1
65122	28	1	33	1	10	17	18	21
400735	2	0	5	0	4	3	3	3
343071	2	0	1	1	1	1	0	1
441871	56	4	41	2	45	54	50	45
440561	3	1	6	0	5	3	6	4
101929983	4	3	2	2	7	14	11	6
649330	2	1	2	0	1	0	2	3
441873	3	0	2	1	5	5	4	5
649324	37	15	61	14	143	215	199	123
440563	4	0	1	0	0	2	2	1
645354	38	15	60	15	143	212	201	125
645359	3	1	3	1	5	5	2	4
101060301	1	1	2	0	2	0	1	1
343070	4	2	5	1	6	10	9	7
400736	9	0	7	0	2	4	5	3
391003	0	0	0	0	1	0	0	0
343068	4	1	5	1	4	5	3	3
391002	65	3	38	3	40	52	50	40
645382	2	0	1	0	1	0	0	1
653619	5	0	5	1	8	9	9	5
729528	16	0	11	0	3	6	5	5
645414	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0
645425	2	1	6	2	3	0	2	0
126755	13	10	10	9	0	0	4	1
102724856	0	0	0	0	0	1	1	0
107984918	1	1	2	0	0	0	0	0
10630	1149	1050	1164	962	1101	1576	1444	1243
107984919	3	0	4	0	0	1	1	1
105378612	0	0	0	0	0	0	0	0
105376756	0	0	1	0	0	0	1	2
7799	803	790	795	642	643	959	957	728
23254	426	421	422	324	312	519	463	338
107985467	3	5	9	4	3	3	3	1
107985468	0	1	0	0	1	0	1	0
105376762	2	1	2	0	0	1	2	1
105376759	12	1	7	5	2	8	9	3
107985469	1	4	0	0	2	2	0	1
200197	30	23	29	16	15	34	30	21
55092	141	146	178	139	135	147	180	152
727684	0	1	0	1	2	6	3	2
114827	148	130	149	114	110	127	153	101
101927417	13	13	19	12	9	10	22	13
101927441	26	5	14	10	7	14	13	10
79180	966	900	1073	741	852	1169	1159	966
11330	0	1	0	1	0	1	1	1
63036	0	0	0	1	1	4	0	0
105376767	2	3	2	2	0	2	4	0
51032	2	3	1	1	0	8	2	7
842	212	210	217	135	222	335	295	273
23341	403	392	393	316	364	494	490	349
107397391	2	1	0	0	0	0	0	0
79814	9	7	7	1	3	5	4	4
84301	611	620	838	702	641	1004	1201	848
6248	122	136	181	167	177	233	253	174
23207	1274	1074	1105	825	1094	1378	1095	924
284723	4	1	3	1	1	5	3	3
110806303	1	0	1	0	0	0	0	1
388595	0	0	0	0	0	1	0	0
54751	622	479	545	422	536	751	668	589
440567	240	229	306	234	176	274	258	240
729614	332	313	363	255	773	1095	1010	781
23013	4012	3008	3883	3091	6398	8929	8708	6629
7709	493	409	460	330	436	660	588	525
149563	2	1	0	1	0	0	0	0
27129	15	23	14	11	18	23	27	19
1187	8	2	3	4	13	10	11	10
1188	55	54	38	36	99	130	93	72
348487	147	152	140	95	74	124	108	94
1969	987	836	788	585	643	940	693	555
101927479	20	25	30	26	20	29	34	18
128272	111	70	82	62	98	157	110	94
101927546	2	2	7	2	4	6	7	8
79363	43	31	30	32	37	51	46	42
54455	1602	1509	1628	1167	1256	1932	1665	1273
26099	665	633	846	639	720	983	1052	839
374955	385	364	516	394	434	628	661	511
55707	1024	885	1030	795	857	1236	1123	890
107984921	21	16	25	18	34	42	34	30
114819	155	105	121	100	178	241	229	178
26871	8	6	6	4	10	9	6	8
107985757	0	0	0	0	0	0	0	0
100132147	10	6	9	2	17	19	15	11
107985758	1	1	1	1	1	0	0	0
7195	0	0	0	0	0	0	0	0
55672	835	695	718	502	699	1037	843	640
105376794	386	348	288	257	386	584	432	328
84809	334	296	306	231	213	300	276	198
11209	22	14	21	21	42	57	57	39
107985736	2	3	5	2	5	5	5	4
26869	7	6	4	5	8	9	4	5
107985759	0	0	0	0	0	0	0	0
284729	0	1	0	0	0	0	0	0
100189045	0	0	0	0	0	0	0	0
6060	6	6	3	5	7	13	9	6
11223	10	7	12	7	17	23	20	18
100500876	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0
112267871	20	15	13	8	30	20	23	8
7193	1	2	1	0	3	2	2	1
100189183	0	0	0	0	0	1	0	0
105376805	3	2	1	0	1	2	2	2
791226	0	0	0	0	0	0	0	0
26870	6	5	4	6	8	9	6	6
9696	289	258	256	206	449	655	557	377
4237	767	738	714	520	1016	1408	1270	1201
105376806	96	82	103	72	123	165	187	188
23400	1465	1364	1187	860	1518	2352	1703	1470
6390	2703	2356	3064	2385	1823	2753	2853	2296
11240	97	79	68	79	151	201	232	176
105376808	1	0	0	0	0	0	0	0
400743	0	0	0	0	0	0	1	0
29943	5	1	0	0	1	0	1	2
51702	19	20	22	18	28	39	31	14
100616188	0	0	0	0	0	0	0	0
23569	5	1	2	0	0	1	0	2
353238	1	0	1	2	0	0	1	1
55920	2572	2708	3165	2475	3477	5079	4412	3234
55160	433	335	338	251	390	511	434	327
107984028	0	0	0	1	0	0	0	0
81569	4	2	2	5	1	4	1	2
105376809	0	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0	0
84966	6	6	6	5	13	15	15	3
105376814	0	0	0	0	0	0	0	0
127707	151	130	142	80	59	106	53	61
5081	142	111	117	110	173	195	185	137
80834	1	0	3	3	0	0	1	0
8659	325	234	232	171	351	461	367	248
100616120	1	0	0	0	0	0	0	0
100302276	1	0	1	0	0	0	0	1
126917	102	73	89	68	78	127	108	78
105376815	0	0	0	0	1	0	0	1
23352	3154	2898	3523	2642	2998	4027	4040	2822
101927895	98	89	96	66	89	125	96	81
23065	2238	2168	1884	1426	2055	3213	2585	1808
51154	1433	1263	1565	1074	823	1061	1084	916
246181	20	25	18	16	20	33	32	29
22977	24	12	22	20	20	25	21	23
100506730	31	31	34	41	46	82	91	64
8574	1650	1514	1573	1293	2052	2917	2735	2209
54896	509	486	446	368	420	563	435	385
832	2144	1783	2276	1688	1950	2747	2678	2289
105376819	0	0	1	0	2	2	0	0
105376818	0	0	0	0	0	0	0	0
105376817	0	0	0	0	1	0	0	0
105378614	0	0	0	1	0	1	0	0
440574	1897	1854	2183	1790	1097	1579	1672	1427
100532736	439	404	453	342	293	406	368	350
644068	31	21	102	81	20	27	98	101
4681	241	221	213	166	175	250	194	176
3362	6	1	7	4	11	9	6	10
255104	291	258	230	184	161	282	218	147
54546	0	0	0	0	0	0	0	0
105376823	4	1	5	0	2	2	6	2
23252	914	827	955	665	530	797	688	480
30814	0	0	0	0	0	0	0	0
5320	1	0	0	0	0	0	0	2
5322	0	0	1	0	0	0	0	0
26279	1	1	0	0	0	0	0	0
64600	0	0	1	1	0	0	0	0
391013	0	0	0	0	0	0	0	0
127733	0	0	0	0	0	2	0	0
101928017	0	0	0	0	0	0	0	0
105376825	0	0	0	0	0	0	0	0
105376826	0	0	0	0	0	0	0	0
105376827	0	0	0	0	0	0	0	0
105376828	0	0	0	0	0	0	0	0
127731	2	1	2	0	1	7	3	3
339505	0	0	0	0	0	0	0	0
55450	93	97	104	96	73	99	116	110
79594	1404	1145	1288	953	979	1420	1169	919
163933	50	44	37	28	67	104	92	79
978	39	27	25	32	31	52	51	45
65018	1597	1360	1334	926	1242	1939	1580	1210
102464833	34	28	49	32	27	43	47	50
100861548	1152	963	1025	739	867	1328	1154	859
1650	8629	7591	7794	5846	5998	9383	7708	6081
57576	92	79	83	53	68	76	91	64
400745	44	32	48	21	24	46	35	36
112268222	600	715	778	624	655	921	1069	789
50809	3572	3622	3909	3024	3681	5071	5188	3854
8672	2180	2081	2085	1668	2101	3073	2871	2231
105376830	2	4	8	3	8	13	13	13
105376829	6	4	6	4	3	7	10	12
100302155	0	0	0	0	0	0	0	0
1889	1645	1405	1318	1058	1390	2119	1686	1342
100506801	13	4	8	9	2	12	7	4
105376832	0	0	0	0	0	0	0	0
84224	590	567	564	492	514	853	842	576
249	117	93	80	76	75	130	92	74
105376834	0	1	0	0	0	0	0	0
5909	111	84	118	82	49	76	69	36
84196	1759	1744	2027	1500	1531	2325	2360	1682
401944	10	13	8	8	19	18	23	25
3339	342	297	337	237	597	806	628	485
23436	1	0	1	0	0	0	1	0
10136	2	3	0	1	0	1	1	3
101928043	8	2	6	7	7	8	4	4
29092	63	53	78	62	79	115	127	90
112268223	2	3	4	2	11	10	7	13
998	2647	2419	3263	2606	3462	4962	5382	3954
54361	44	36	39	40	10	16	10	8
105376845	13	9	13	11	8	10	12	3
105376850	7	4	2	8	2	2	3	2
107985377	0	0	0	0	0	0	0	0
100616433	0	0	0	0	0	0	0	0
105376856	0	0	2	0	0	0	0	0
9923	1487	1287	1416	1005	1005	1562	1204	859
2046	17	7	16	9	9	25	17	6
102466615	0	0	0	0	0	0	0	0
712	0	0	0	0	0	0	0	0
714	0	0	0	0	0	0	0	0
713	0	0	0	0	0	0	0	0
2048	471	449	430	326	479	650	506	369
100616391	1	0	0	0	0	0	0	1
100422914	8	8	6	5	13	16	8	7
646262	0	0	0	0	0	0	0	0
729059	1	1	1	0	3	4	1	2
23028	5132	4955	5545	4256	4183	6604	6471	4700
100422866	0	1	1	1	1	2	1	1
7798	962	1097	1162	800	756	1073	1156	874
3352	84	68	89	55	40	37	66	41
100996511	91	95	79	85	141	233	271	149
10236	5859	5946	6024	4770	5893	9239	8074	6750
80818	794	818	789	630	751	1197	1103	836
148898	92	87	124	79	230	309	215	181
6920	40	23	35	28	13	16	13	16
55616	367	336	331	278	460	614	541	415
1870	977	769	848	581	336	450	422	303
101928163	17	13	19	9	14	11	9	7
105376859	11	21	8	19	13	24	27	13
3399	1715	1754	1774	1460	1468	1732	1977	1854
107984928	1	3	4	2	2	1	0	2
259283	4	0	1	3	0	2	0	0
6135	3427	3399	3848	3255	2959	4046	4095	3436
6924	1575	1546	1625	1201	1266	1825	1847	1434
100506963	186	174	210	160	148	221	210	151
57095	965	985	1109	715	783	1085	1066	826
105376860	67	64	64	57	64	89	74	66
11313	1091	928	840	625	810	1271	1077	903
2582	832	782	796	560	644	988	834	676
3155	1118	929	1087	778	557	826	727	645
105376861	3	3	2	0	4	6	4	1
2517	1304	1212	1384	1135	1224	1866	1815	1419
1269	2	1	2	1	0	1	1	0
107984929	0	0	0	0	0	0	0	0
100616492	0	0	0	0	0	0	0	0
55629	2622	2639	2821	2263	2315	3493	3382	2726
10772	6570	6321	7404	5406	4141	5700	6401	5016
105378615	0	0	0	0	0	0	0	0
105376863	5	1	0	3	0	2	2	2
107984931	0	2	0	0	0	1	0	2
127294	13	17	15	26	22	64	59	30
107985737	1	0	0	0	1	1	1	4
105376864	0	1	0	1	0	0	3	0
58985	17	17	18	14	13	10	14	6
163702	310	271	290	189	272	440	352	267
284632	1	0	1	0	2	0	3	0
105376871	21	18	18	5	29	35	16	13
57822	398	370	416	293	135	178	161	125
90529	501	451	527	414	354	551	444	379
57185	2077	1800	2045	1447	1476	2135	1905	1491
100750325	3	6	6	4	8	2	4	5
11123	756	725	738	560	713	974	1020	729
100506985	38	58	46	30	36	64	65	47
400746	2	9	6	3	6	1	4	6
10250	2425	2996	2978	2365	2529	3497	3934	2945
25932	7142	7150	7274	5712	5730	8399	8110	5987
105376876	0	1	0	0	0	0	0	0
864	80	85	48	51	71	70	83	60
102465437	0	0	0	0	0	1	0	0
107984932	4	4	3	2	11	8	7	2
105376878	0	2	4	1	1	0	2	0
100616365	0	0	0	0	0	0	0	0
105376879	1	0	0	1	0	0	0	0
25949	650	686	764	648	404	558	717	591
57035	1239	1141	1334	999	2010	2830	2659	1906
105376882	0	0	0	0	0	0	0	0
6007	3	2	2	3	5	3	3	2
23585	2013	1819	2061	1572	1603	2219	2300	1819
6006	900	852	891	701	669	975	1015	763
55219	324	320	375	321	362	460	513	461
26119	677	639	654	453	549	838	671	541
57134	126	119	103	98	144	209	153	138
57190	1660	1576	1532	1095	1544	2217	1777	1319
56181	1034	954	1056	882	1345	1984	1848	1464
646471	101	86	60	48	200	229	192	151
79000	1099	1015	1141	843	700	1013	948	775
164091	76	64	89	52	62	65	81	57
3925	13307	11688	14982	11668	11375	17218	18110	15385
100500808	187	171	205	146	155	251	213	171
105376885	0	0	0	0	0	0	0	0
5051	227	207	202	168	224	333	316	241
101928216	24	13	7	5	10	17	19	11
2134	21	20	14	19	24	43	46	38
7780	18	29	22	14	3	13	12	4
105376910	0	0	0	1	0	0	1	0
84676	0	0	0	0	0	0	0	1
149420	679	673	763	554	582	928	937	676
105376886	0	1	0	0	3	0	1	1
79927	2	7	5	2	7	12	7	22
110806296	1	1	1	0	3	1	0	1
51042	650	547	590	458	369	527	483	497
10256	60	70	57	43	58	89	80	56
378807	1	6	0	5	3	7	6	5
101928303	0	0	0	0	0	0	1	0
64793	1711	1517	1623	1091	1101	1638	1572	1117
83442	1010	906	912	845	1005	1354	1238	1093
91544	734	621	705	531	403	586	539	434
1043	10	2	6	4	16	18	14	13
55057	120	110	148	96	46	88	81	76
257101	0	0	1	0	0	0	0	0
79727	2	0	0	0	0	1	0	1
79947	693	603	747	545	463	714	609	516
101928324	7	9	14	6	13	12	13	17
3151	11740	11571	13060	10422	12620	18467	19474	15890
6195	1574	1322	1398	1006	989	1605	1183	985
100302190	0	0	0	0	0	0	0	0
105376888	0	3	1	1	0	0	2	1
101928728	10	14	13	10	9	15	18	23
8289	834	781	840	648	951	1470	1397	1132
55650	326	326	361	247	287	506	378	371
84243	482	382	584	446	514	681	722	574
2810	113	88	130	82	62	82	75	58
54707	697	602	702	478	503	765	693	544
63906	379	329	370	246	271	403	357	231
10726	4764	4488	5250	3798	2728	4009	3994	3113
8431	2	1	4	2	3	4	1	3
126695	2	0	4	1	0	1	0	0
388610	246	203	219	168	209	312	240	222
115572	118	110	149	71	88	155	137	89
101928391	2	0	0	4	1	1	1	2
6548	527	475	453	369	366	477	433	307
102723760	0	0	0	0	0	0	0	0
105376890	0	1	0	0	1	0	0	0
23038	412	372	433	316	442	632	530	435
84065	1409	1226	1105	787	779	1078	929	829
644961	120	121	95	102	120	171	146	94
84958	460	391	365	325	276	319	274	261
9064	217	213	170	177	236	396	292	234
8547	0	1	1	1	3	4	3	0
388611	0	1	0	0	2	0	0	0
2827	45	31	36	25	22	41	35	27
10163	1663	1431	2071	1436	1388	1834	1870	1709
105376892	4	5	9	3	2	6	10	6
27245	66	51	40	32	49	88	64	59
2268	2	0	2	3	2	1	1	0
111216282	0	0	0	0	1	0	0	0
2537	186	174	224	166	208	304	261	269
199870	379	293	417	281	237	320	330	260
23673	1235	1215	1465	1008	835	1184	1333	1129
5511	543	661	1166	897	913	1213	1325	1027
677774	7	6	4	4	15	21	13	15
9473	79	103	71	54	65	89	108	76
6118	4243	3768	4517	3469	2571	3936	3922	3376
27293	300	280	296	172	206	279	226	221
55113	305	307	283	214	363	536	444	310
2140	803	722	894	641	929	1156	1097	738
5724	15	25	20	17	5	10	5	10
