GeneID	control	control	perturbed	control	perturbed	control	perturbed	perturbed
254173	0	0	0	0	0	1	0	0
8784	24	9	14	8	7	23	21	27
7293	1	6	1	6	4	3	15	6
51150	6852	10400	7037	6196	5944	6950	4422	7129
126792	489	703	304	434	293	672	325	410
388581	9	10	9	13	4	4	9	10
118424	605	784	581	612	538	725	520	757
101928895	94	79	89	84	116	83	122	141
6339	237	168	162	152	207	161	267	296
116983	1395	1470	1215	1043	1301	1526	1593	1866
102465434	2	0	0	1	0	0	1	1
109623456	11	11	12	10	8	10	16	14
126789	185	211	140	158	144	178	130	177
54973	1482	1587	1058	1198	1259	1482	1146	1530
102465435	4	2	1	3	3	1	4	3
80772	364	544	406	305	327	319	273	352
83756	19	19	21	11	12	21	15	19
1855	1144	1491	1134	1227	1160	1068	1031	1287
102466740	0	3	0	0	0	0	0	0
54587	10832	20199	10884	8245	8590	14286	7768	8356
54998	742	1068	859	700	662	738	521	906
81669	5065	4713	4005	4007	4768	6046	5534	6389
148413	466	533	435	407	393	382	332	547
55052	811	1120	826	737	700	732	543	996
107984868	6	4	3	3	7	1	4	2
441869	30	38	28	58	66	23	18	13
105378585	1	7	1	2	16	0	4	0
643965	0	0	1	0	0	0	0	0
102724312	0	1	0	0	2	2	0	1
107985729	0	0	0	0	2	0	0	0
64856	87	60	56	84	159	54	48	94
219293	52	71	48	27	34	41	46	72
83858	525	680	528	389	434	495	521	850
55210	434	794	634	292	336	402	404	731
339453	44	29	28	24	46	51	52	50
29101	1974	2766	1450	1806	1408	1855	993	1757
643988	150	369	300	310	424	299	368	224
105378586	3	5	3	4	11	1	10	1
142678	939	956	837	881	955	1051	1060	1229
8510	16	34	33	23	29	26	27	29
984	716	1156	871	767	878	1030	861	1047
728661	2448	2775	1965	2112	2488	2768	1973	2195
8511	1	4	8	5	7	2	5	3
728642	483	914	736	595	740	888	767	721
9906	1474	1762	1423	1445	1851	2973	2041	1446
112268218	70	88	70	87	116	73	67	105
65220	1135	1528	1139	1369	1758	1127	1019	1636
2782	6744	12313	9258	6042	6915	7904	5835	10312
105378949	10	25	9	15	4	8	2	6
163688	29	40	24	25	36	44	34	23
339456	2	6	3	2	2	2	2	3
85452	1	0	0	0	0	0	0	0
107984872	0	0	0	0	0	0	0	0
105378589	0	0	0	0	0	0	0	0
2563	0	0	0	0	0	0	0	0
105378590	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0
5590	95	113	100	39	56	84	100	112
100506504	14	17	14	6	12	14	16	16
199990	688	713	453	474	454	598	558	655
112268219	119	130	93	112	101	71	96	123
105378593	18	18	11	21	11	7	14	8
6497	3173	3294	2082	3045	3077	3549	2639	3328
79906	95	110	91	69	65	82	83	123
100129534	31	41	23	27	23	21	49	63
11079	2640	3778	2956	2324	2530	2845	2187	3456
5192	595	769	521	495	518	477	392	598
9651	19	8	16	39	53	18	85	81
55229	388	396	319	302	481	495	445	552
388585	0	2	0	0	0	0	0	0
115110	58	79	79	114	148	45	40	85
8764	851	701	641	1143	1417	570	662	1121
100996583	2	3	5	0	2	2	1	3
127281	426	554	448	229	388	277	431	752
79258	25	34	26	14	24	19	27	41
105378597	0	0	0	0	0	0	0	0
100287898	23	7	6	3	6	4	12	14
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0
107985732	0	0	1	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0
105378598	2	0	0	0	1	0	0	1
107984904	0	0	1	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0
440556	85	22	15	18	20	36	64	103
63976	296	161	106	52	97	160	196	275
100422968	0	0	0	0	0	0	0	0
105378606	2	0	0	0	0	0	0	2
107984909	1	0	0	0	0	0	1	1
105378605	0	0	1	0	0	0	0	0
105378604	20	25	19	8	17	16	34	33
27237	15	11	4	7	12	7	6	34
1953	3791	4336	3204	4039	5202	4968	6469	8826
105378608	5	0	1	2	6	1	0	15
693135	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0
127262	1890	2876	2086	1954	2019	2220	1597	2194
49856	365	415	318	296	336	402	289	439
7161	9	21	10	9	16	9	16	22
105378610	0	0	2	0	0	0	0	0
105378609	0	0	0	0	0	0	0	0
57212	1049	1373	1217	900	1248	1268	1303	1538
148870	4	0	2	2	1	3	1	5
388588	18	8	12	11	7	12	11	12
57470	866	1294	986	804	831	1023	733	1061
9731	731	1048	641	697	719	809	466	728
1677	161	167	88	136	121	180	137	147
107984910	4	6	14	4	3	11	8	10
339448	434	807	581	395	422	541	476	558
100133612	4	18	8	4	4	7	8	10
728716	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0
55966	0	0	0	38	30	5	3	1
105376680	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	0	0
261734	337	646	542	309	509	648	526	438
8514	272	532	621	198	340	556	429	409
26038	8	5	8	8	13	455	185	19
105376687	0	0	0	0	0	1	0	0
6146	5785	5515	5561	4175	5010	6812	6243	8867
107985733	9	6	13	9	10	8	13	23
102724450	5	2	0	2	4	2	7	2
388591	227	228	211	111	141	120	205	282
23463	2744	4217	3976	2493	4131	3567	4042	5934
148645	0	0	0	1	0	2	1	4
390992	0	0	0	0	0	0	0	0
387509	902	1095	1573	675	1742	1808	2378	2207
11332	682	778	506	300	367	590	728	920
54626	4	1	13	4	5	1	5	8
83715	6	4	7	2	5	2	3	10
100422975	0	0	0	0	0	0	0	0
8718	70	45	77	30	53	35	72	148
57449	353	176	303	138	311	140	344	771
79707	335	340	249	330	311	392	183	371
80835	12	8	10	2	7	3	27	37
107984912	2	1	1	0	1	1	3	3
3104	335	300	254	213	256	255	246	382
9903	1905	4418	2541	2211	2180	2813	1789	1846
107984913	39	32	41	39	89	38	45	60
148479	748	1191	794	571	728	996	730	880
90326	551	683	594	427	636	570	491	747
55735	896	1307	1086	636	939	900	765	1424
100505887	0	0	0	0	0	0	0	0
110841581	1	5	3	1	2	1	0	2
23261	446	728	501	432	418	491	361	570
105376692	0	1	0	0	0	0	0	0
102725193	0	0	2	1	0	0	0	0
101928836	0	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0
105376689	0	1	0	1	1	0	0	1
9341	2890	4131	3859	2556	3144	2861	2395	4384
8863	714	1379	1010	1022	1371	849	900	648
10911	1	0	1	0	1	2	1	3
3604	16	10	39	18	42	6	31	91
11315	3090	4134	2936	2581	2665	2864	2170	3907
54206	2567	1063	989	1383	1672	2589	2417	2261
107984915	0	0	0	0	0	0	0	0
102724539	0	0	0	0	0	0	0	0
105376695	0	0	0	0	0	0	0	0
50651	101	107	102	51	56	72	87	78
473	1751	2334	1821	1657	1950	2389	1613	1907
102724552	4	5	3	1	3	2	3	2
106632271	0	0	0	0	0	0	0	0
2023	20288	38592	20862	12876	10864	18971	11501	20599
102465436	0	0	0	0	0	0	0	0
100505975	3	7	7	3	4	3	3	5
112268261	23	22	25	17	24	17	20	29
765	0	0	1	0	0	0	0	0
155184	0	0	0	0	0	0	0	0
6518	412	1237	414	366	439	246	85	191
80045	120	390	197	160	160	138	112	129
106614088	950	241	144	787	800	708	660	982
407040	1	1	0	1	1	2	2	1
102724571	174	16	15	180	117	143	79	122
9563	3702	4456	2194	3162	3229	2756	1719	2597
80176	1310	2390	1036	988	899	1958	665	1237
100506022	65	95	43	52	51	42	28	54
84275	150	263	173	130	137	231	101	216
199953	308	392	233	175	218	331	313	365
107985734	6	4	2	3	4	6	9	4
105376712	0	0	0	0	0	0	0	0
5293	533	652	350	618	585	912	549	821
644997	0	0	0	0	0	0	0	0
101929074	19	21	18	8	6	9	11	14
22883	7281	10683	5034	7008	5051	8314	3844	5120
56998	542	762	657	405	552	727	647	694
105376717	9	22	12	11	12	20	15	22
84328	940	1249	821	793	801	1148	668	1144
64802	373	514	470	319	412	410	330	606
113391335	0	0	1	1	1	0	0	0
100847055	0	0	0	0	0	0	0	0
116362	9	0	4	2	5	5	0	5
10277	2197	2422	1754	1954	2322	2857	1719	2273
23095	1383	3120	2237	1606	1684	2308	1367	1934
105376725	0	0	0	0	0	1	0	0
5226	2370	5716	4795	1972	3168	5381	4183	4433
100526739	83	169	144	83	160	92	105	160
378708	106	212	173	95	186	109	131	189
1325	9	9	7	4	12	6	8	12
1676	1437	1908	1569	1296	1709	1595	1215	1929
5195	338	501	376	333	405	368	306	457
54897	14	8	2	7	7	6	8	14
105376733	0	0	0	0	0	0	0	0
105376735	0	0	0	0	0	0	0	0
148345	1	1	1	0	1	5	2	3
23435	2897	4330	3004	2223	2427	2798	2240	3848
10747	34	25	30	24	43	39	52	55
6723	1692	2408	1569	1065	948	1229	1172	2103
5394	1138	1929	1579	836	1313	1116	1258	1914
105376736	19	33	40	10	15	11	18	37
2475	1405	2005	1668	1443	2059	1786	1392	2602
100873935	14	17	15	12	22	12	20	22
10218	45	21	44	16	2	2	4	4
29914	361	432	320	327	327	430	240	403
105376737	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	0	0
57540	1	2	1	1	1	5	2	1
112268221	0	0	0	0	0	0	0	1
101929181	0	3	1	0	0	0	0	0
26232	35	56	31	36	39	31	18	39
93611	719	526	402	569	689	654	561	582
26270	132	326	199	214	300	115	106	158
10459	452	742	484	331	392	487	348	418
374946	40	51	28	14	76	120	111	48
57085	929	2363	1311	764	883	768	545	825
284498	159	293	229	124	222	169	169	165
102724659	0	0	1	0	3	0	0	0
4524	944	1697	1410	811	1236	1113	918	981
1185	813	1404	979	572	697	780	688	902
100379251	91	177	100	72	91	109	76	118
4878	13	24	6	5	3	6	9	7
4879	0	0	0	0	0	0	0	0
26829	0	0	0	0	0	0	0	0
90231	1118	1632	1062	1001	985	1083	759	1190
5351	11030	18599	12921	9107	8357	7748	5466	9059
9927	2252	3710	2906	1941	2621	2528	1981	3605
60672	276	384	272	232	276	271	249	350
102466982	0	0	0	1	0	0	1	0
943	2	20	12	4	5	7	2	3
102465836	0	0	0	0	0	0	0	0
7133	616	1908	148	510	43	921	72	72
100616438	0	0	0	0	0	0	0	0
107984917	1	5	0	5	0	4	2	0
55187	1120	1593	1465	1362	2304	1881	1221	1759
677885	3	2	1	2	0	1	2	3
105376744	0	1	1	0	0	1	1	0
9249	82	66	37	83	69	19	10	35
102466722	1	1	0	0	0	0	0	0
343066	0	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0	0
93190	5	0	1	1	0	2	0	2
390999	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0
343069	118	189	154	137	139	174	129	192
65122	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0
649330	0	0	1	0	1	0	0	0
441873	0	0	0	0	0	0	0	0
649324	0	0	0	0	0	0	0	0
440563	57	99	84	78	76	96	78	114
645354	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0
101060301	1	0	1	0	0	1	0	1
343070	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0
126755	1	2	4	0	2	1	1	3
102724856	0	0	0	0	0	0	0	0
107984918	0	0	1	0	0	0	0	1
10630	9470	15767	7935	8943	11813	14010	5723	12066
107984919	5	8	7	8	8	17	3	12
105378612	0	0	1	1	0	0	0	0
105376756	0	0	0	0	0	0	0	0
7799	1307	1944	1154	1003	1117	1797	944	1291
23254	1125	1147	769	807	932	456	546	1116
107985467	0	3	2	0	1	1	0	0
107985468	0	0	3	0	0	1	0	0
105376762	0	1	1	0	2	0	0	0
105376759	1	52	36	8	11	0	2	0
107985469	1	0	1	1	2	0	0	2
200197	30	36	32	19	41	20	32	48
55092	94	256	250	46	58	168	124	205
727684	0	0	1	0	0	0	0	0
114827	36	28	39	28	30	103	43	49
101927417	26	33	30	14	22	46	20	23
101927441	2	16	9	6	3	1	4	5
79180	1601	2562	1398	867	720	1201	1052	1297
11330	3	4	0	0	2	1	1	3
63036	0	1	0	0	0	0	0	0
105376767	1	1	0	0	1	0	1	1
51032	2	2	0	1	0	1	1	2
842	332	440	208	240	235	349	185	175
23341	713	976	791	668	910	994	708	1171
107397391	0	0	0	0	0	0	0	0
79814	37	36	29	20	22	17	11	70
84301	721	1316	1154	972	1424	1189	933	1362
6248	147	262	225	170	276	222	159	257
23207	3627	5958	3535	4817	4818	4624	2771	3389
284723	96	158	90	121	93	108	77	73
110806303	6	8	5	3	5	5	6	2
388595	0	0	0	0	0	1	0	0
54751	803	584	370	615	735	1243	485	855
440567	480	575	463	368	464	530	436	722
729614	58	64	49	59	74	62	39	79
23013	1124	1774	1596	1368	2072	2126	1367	2054
7709	535	700	481	456	570	694	481	675
149563	0	0	0	0	0	0	0	0
27129	372	964	791	424	906	493	459	534
1187	1	6	5	3	6	5	2	2
1188	2	3	2	3	4	2	3	2
348487	2	6	9	2	4	4	5	8
1969	682	255	488	315	542	243	631	1687
101927479	5	3	6	1	4	2	10	8
128272	63	171	205	48	179	70	97	123
101927546	21	76	44	16	17	4	11	12
79363	94	102	80	59	58	54	68	82
54455	613	758	495	530	602	720	504	605
26099	2994	5404	2012	2125	1574	3666	1481	2047
374955	1426	2597	927	1013	712	1815	666	905
55707	1585	2200	1868	1382	1696	1789	1359	2279
107984921	18	12	19	16	24	22	20	16
114819	114	105	93	92	94	112	98	133
26871	1	2	1	0	0	1	2	1
107985757	0	0	0	0	0	0	0	0
100132147	0	0	0	0	0	0	0	1
107985758	0	0	0	0	0	0	0	0
7195	0	0	1	0	0	0	0	0
55672	1493	1351	1795	817	1253	1315	1475	3199
105376794	503	392	337	225	271	373	421	636
84809	167	202	214	91	144	147	199	296
11209	67	76	79	76	96	52	52	70
107985736	14	3	3	3	7	10	6	13
26869	1	1	1	0	0	1	1	1
107985759	0	0	0	0	0	0	0	0
284729	0	0	0	0	0	0	0	0
100189045	0	0	0	0	0	0	0	0
6060	0	1	1	1	0	1	1	0
11223	56	52	46	61	78	42	47	54
100500876	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0
112267871	0	0	0	0	0	0	0	1
7193	0	0	0	0	0	0	0	0
100189183	0	0	0	0	0	0	0	0
105376805	52	71	68	64	97	63	54	70
791226	1	0	0	0	0	0	0	0
26870	0	1	1	0	1	1	1	1
9696	523	581	496	448	577	539	526	648
4237	3477	3951	2114	1397	1191	4946	2629	3072
105376806	508	559	313	200	163	754	395	457
23400	670	720	653	496	639	575	576	659
6390	928	1552	1175	926	950	1058	672	1272
11240	1	0	0	0	1	0	0	4
105376808	0	0	0	0	0	0	0	0
400743	4	0	2	3	0	0	1	6
29943	8	0	0	0	2	0	0	31
51702	2	0	0	1	0	0	0	2
100616188	0	0	0	0	0	0	0	0
23569	0	0	0	0	0	0	0	0
353238	0	0	0	0	0	0	0	0
55920	2394	4125	2391	2565	2635	3193	1774	2729
55160	1052	1320	1029	1124	1494	986	946	1577
107984028	0	0	1	0	0	0	0	0
81569	2	10	4	0	2	0	1	0
105376809	0	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0	0
84966	0	2	0	0	0	0	0	0
105376814	0	0	0	0	0	0	0	0
127707	2	0	2	1	0	0	0	9
5081	0	0	0	0	0	0	0	0
80834	0	0	0	0	0	0	0	0
8659	225	229	151	218	285	137	128	278
100616120	0	0	0	0	0	0	0	0
100302276	0	0	0	0	0	0	0	0
126917	244	399	385	292	468	482	370	460
105376815	0	0	0	0	0	0	0	0
23352	3021	5609	4398	3721	5448	6223	3813	4628
101927895	98	144	101	80	83	67	55	89
23065	3385	5053	3261	2792	2666	2674	1835	3101
51154	657	1138	710	488	452	734	466	782
246181	28	49	28	23	27	49	39	25
22977	19	30	22	19	26	28	28	26
100506730	42	72	98	32	66	89	69	82
8574	1153	1728	1166	934	1113	1839	1235	1208
54896	417	680	548	374	455	621	472	539
832	6667	10330	5858	5223	5404	9317	4834	6180
105376819	9	7	5	4	2	7	3	0
105376818	0	1	0	0	0	0	0	0
105376817	1	0	1	0	0	2	0	1
105378614	0	0	0	0	1	0	0	0
440574	1290	1186	873	778	913	1051	698	1390
100532736	5854	7278	4705	4377	5454	14942	7450	5091
644068	303	180	139	153	233	235	236	273
4681	5830	7304	4726	4363	5466	14987	7472	5084
3362	3	8	4	6	3	12	4	2
255104	431	605	747	319	598	249	317	754
54546	0	0	0	0	0	0	0	0
105376823	0	0	0	0	0	0	0	0
23252	160	212	187	129	139	273	181	188
30814	0	0	0	0	0	0	0	0
5320	3	12	9	93	291	32	11	6
5322	0	0	0	1	1	0	0	0
26279	0	1	0	0	0	0	0	0
64600	0	0	0	0	0	0	0	0
391013	0	0	0	0	0	0	0	0
127733	3	2	1	6	5	2	2	15
101928017	0	0	0	0	1	0	0	0
105376825	0	0	0	0	0	1	0	0
105376826	0	0	0	0	0	0	0	0
105376827	0	0	0	0	0	0	0	0
105376828	0	0	0	0	0	0	0	0
127731	0	0	1	0	0	0	0	0
339505	9	15	6	1	2	15	2	13
55450	1942	3489	1459	442	287	2817	607	1205
79594	902	1134	761	739	794	1064	640	863
163933	10	19	15	2	8	11	3	28
978	22	49	65	2	11	1	5	86
65018	1271	1632	1430	1196	1861	1121	975	2160
102464833	0	1	2	3	1	2	2	3
100861548	1125	1476	1285	990	1361	980	839	1687
1650	10127	13691	8641	7156	6759	7248	5341	8771
57576	16	28	22	6	5	4	3	9
400745	201	251	130	67	22	42	20	153
112268222	560	801	551	517	448	761	423	586
50809	3772	5362	3846	3498	3436	5167	3276	3936
8672	3502	4365	3859	3379	4153	4664	3378	6230
105376830	0	0	0	0	0	2	0	0
105376829	0	0	0	0	0	0	0	1
100302155	0	0	0	0	0	0	0	0
1889	4769	4766	5657	2690	5093	1771	2947	8384
100506801	5	13	4	0	2	2	4	4
105376832	0	0	0	0	0	0	0	0
84224	331	236	423	145	327	143	278	893
249	2636	843	287	354	269	148	146	1115
105376834	0	0	1	0	0	0	0	0
5909	25	9	11	11	15	27	53	44
84196	1332	1797	1698	1205	1488	1550	1323	2059
401944	922	834	719	939	1123	824	838	1124
3339	14089	12845	10691	14550	18051	13389	13649	16346
23436	0	0	0	0	0	0	0	0
10136	0	0	0	0	0	0	0	0
101928043	4	2	2	5	1	4	6	2
29092	278	351	316	218	297	151	140	324
112268223	6	7	12	5	11	3	3	20
998	2891	4668	3794	2534	3099	3352	2697	4575
54361	3	3	4	4	9	4	0	26
105376845	0	1	3	0	2	3	0	2
105376850	0	1	0	0	1	0	0	0
107985377	0	0	0	0	0	0	0	0
100616433	0	0	0	0	0	0	0	0
105376856	0	0	0	0	0	0	1	0
9923	974	1439	1195	847	1303	1432	1034	1525
2046	0	0	0	0	0	0	1	0
102466615	0	0	0	0	0	0	0	0
712	0	0	1	1	1	0	1	0
714	0	0	0	1	8	1	1	0
713	1	0	0	1	3	1	0	0
2048	1424	563	570	172	356	1222	1261	2285
100616391	0	0	0	0	0	0	0	0
100422914	20	9	7	3	5	13	17	21
646262	0	0	0	0	0	0	0	0
729059	1	0	0	0	0	1	0	1
23028	1441	2222	1960	1321	1679	2409	1482	2479
100422866	0	0	0	0	0	0	0	0
7798	1731	2104	1732	1150	1778	2182	1546	2650
3352	0	0	0	0	0	0	0	3
100996511	24	26	35	12	29	19	25	51
10236	2236	4169	3210	1980	2245	3033	2026	3815
80818	499	1004	1164	519	919	720	587	914
148898	102	219	228	80	83	55	72	163
6920	844	1133	999	656	787	760	785	848
55616	2476	3614	2306	3204	3497	2865	1751	2096
1870	19	80	52	9	9	21	39	74
101928163	0	1	0	0	1	1	1	0
105376859	2	1	2	4	6	2	3	2
3399	190	154	106	121	297	201	304	292
107984928	1	0	0	0	2	0	0	1
259283	0	1	0	0	1	0	0	0
6135	16727	16164	15507	13166	15482	18873	16135	25808
6924	1343	2973	2140	1360	1574	1774	1116	2000
100506963	118	263	178	117	128	156	96	164
57095	661	1034	864	512	679	947	765	934
105376860	35	49	25	29	29	50	31	44
11313	878	1014	512	534	508	1022	602	775
2582	384	330	253	208	200	347	277	455
3155	882	1420	1123	828	899	892	629	1035
105376861	1	0	2	5	3	3	3	1
2517	779	807	671	674	874	577	464	943
1269	1	1	1	2	2	2	1	3
107984929	0	0	0	0	0	0	0	0
100616492	0	0	0	0	0	0	0	0
55629	1748	2319	2467	1735	2671	2395	2225	3461
10772	1719	2904	2412	1376	1554	1799	1514	2566
105378615	0	0	0	0	0	0	0	0
105376863	0	3	1	1	0	0	0	3
107984931	0	2	1	4	1	0	0	3
127294	3	39	45	19	43	12	44	43
107985737	0	0	0	0	0	0	1	0
105376864	0	1	1	0	0	0	0	0
58985	20	62	30	28	28	6	6	5
163702	1	4	4	0	8	1	0	1
284632	1	0	0	0	0	0	0	1
105376871	1	2	1	0	3	0	3	2
57822	1	3	1	3	4	7	1	3
90529	227	455	322	177	245	201	196	338
57185	1424	1790	1596	1358	1647	750	930	2078
100750325	0	0	3	0	1	0	0	0
11123	216	387	261	201	216	179	165	298
100506985	10	14	13	10	9	7	12	18
400746	0	0	0	0	0	1	0	0
10250	1532	2211	1649	1205	1350	1735	1489	2340
25932	14683	20609	17664	11360	11552	14965	12430	17197
105376876	0	0	0	0	0	0	0	1
864	1	2	1	5	6	0	0	2
102465437	0	0	0	0	0	0	0	0
107984932	0	0	0	0	0	0	0	0
105376878	0	2	0	1	1	0	0	0
100616365	0	0	0	0	0	0	0	0
105376879	0	0	0	0	0	0	0	0
25949	1141	1566	1410	1209	1624	1529	1032	1652
57035	2236	2041	1998	1612	2090	1728	2071	3149
105376882	0	1	0	0	0	0	2	2
6007	13	17	11	2	3	8	4	11
23585	2290	3180	2100	2116	2535	2171	1406	2724
6006	1186	1719	1126	1139	1294	1140	711	1452
55219	722	1063	815	578	691	1197	650	851
26119	1380	1471	1245	892	1261	1175	1420	1999
57134	742	1052	815	1268	2074	853	766	931
57190	6687	7122	2311	4815	3573	6158	2717	3453
56181	1172	1402	1091	993	1350	1135	889	1326
646471	236	198	164	190	219	193	185	222
79000	112	190	212	112	138	134	105	187
164091	680	813	570	533	721	443	395	703
3925	1129	3011	2491	537	706	2141	1019	1896
100500808	0	2	0	0	0	1	1	0
105376885	0	0	2	0	0	0	0	0
5051	431	606	608	458	577	524	404	754
101928216	1	0	0	0	1	0	1	2
2134	7	1	1	2	9	0	3	13
7780	0	0	0	0	0	0	0	0
105376910	0	0	1	0	0	0	0	0
84676	1	12	5	0	0	1	3	0
149420	105	201	173	114	145	168	121	171
105376886	0	0	0	0	0	0	0	0
79927	1	1	3	0	1	0	0	1
110806296	0	0	0	0	0	0	0	0
51042	236	190	130	193	192	194	144	215
10256	5	11	1	3	5	3	8	10
378807	0	0	0	1	0	0	0	0
101928303	8	6	5	1	3	2	4	5
64793	261	338	250	166	229	260	214	328
83442	16109	19173	12530	10316	10620	12361	12701	16396
91544	347	656	478	345	373	334	235	317
1043	3	3	5	4	4	12	2	5
55057	1	1	1	1	1	0	0	1
257101	0	0	0	0	0	0	0	0
79727	0	0	0	0	0	0	0	1
79947	872	1568	1230	652	811	830	736	1088
101928324	4	5	2	9	2	1	2	4
3151	1064	2032	1251	725	644	929	788	1097
6195	66	107	71	26	62	86	36	107
100302190	0	0	0	0	0	0	0	0
105376888	0	2	0	0	0	0	0	0
101928728	6	34	16	9	10	7	6	20
8289	1416	1916	1452	1316	1701	2364	1283	1994
55650	531	684	496	443	556	500	338	493
84243	669	958	604	437	538	612	403	800
2810	3	1	3	1	5	0	1	12
54707	477	646	628	430	642	475	536	868
63906	233	437	336	292	309	345	234	290
10726	1121	2320	1880	1095	1172	1392	1071	1705
8431	0	1	2	0	0	0	2	0
126695	0	0	0	0	0	0	0	0
388610	425	388	294	270	280	149	191	670
115572	146	115	103	77	137	8	17	141
101928391	1	6	5	0	2	1	2	2
6548	1692	2403	1682	1555	1638	1697	1902	1854
102723760	0	0	0	0	0	0	0	0
105376890	0	0	0	0	0	0	0	0
23038	1707	2367	1915	1450	2228	1869	1568	2271
84065	728	1069	859	664	805	885	675	818
644961	107	129	69	91	79	93	54	119
84958	11	2	0	2	2	5	15	23
9064	724	905	661	635	941	569	602	822
8547	2	7	1	0	2	1	0	0
388611	0	0	2	0	0	0	0	1
2827	15	20	18	4	4	9	19	26
10163	3319	5507	4773	3566	4670	4475	3701	4516
105376892	2	0	3	1	1	0	0	1
27245	1100	1165	605	883	742	1138	721	972
2268	1	9	9	4	12	4	4	0
111216282	2	11	6	4	12	0	3	2
2537	1121	13715	8595	4925	9914	509	308	842
199870	208	380	179	214	234	206	161	197
23673	1058	1870	1510	1215	1362	1161	915	1588
5511	936	1520	1186	784	886	1090	753	1290
