GeneID	control	perturbed	control	perturbed	control	perturbed
261734	252	245	234	287	311	276
8514	160	156	200	195	161	154
26038	110	178	88	180	157	193
105376687	1	0	0	0	2	0
6146	4922	4387	5922	6069	5828	4314
107985733	48	45	52	51	53	39
102724450	18	12	17	32	21	29
388591	143	166	83	109	147	132
23463	1278	1477	1417	1797	1490	1480
148645	7	3	6	7	10	3
390992	0	0	0	0	0	0
387509	126	97	150	122	164	113
11332	608	202	792	196	885	170
54626	26	28	42	35	56	37
83715	37	24	34	25	39	27
100422975	0	0	0	0	0	0
8718	205	252	119	177	183	200
57449	454	583	342	523	496	544
79707	545	495	468	495	626	470
80835	1	2	0	1	4	1
107984912	1	1	0	0	0	0
3104	248	294	278	427	354	375
9903	640	730	777	836	928	754
107984913	1	0	2	0	1	2
148479	533	621	702	800	704	656
90326	410	516	563	680	600	583
55735	971	923	1170	1039	1270	950
100505887	0	0	0	0	0	0
110841581	4	3	2	3	1	5
23261	369	311	374	363	441	327
105376692	0	0	0	0	0	0
102725193	0	0	0	0	0	0
101928836	0	0	0	0	0	0
105376691	0	0	0	0	0	0
105376689	12	10	4	3	19	4
9341	479	580	577	893	563	661
8863	91	77	103	66	88	62
10911	0	0	0	0	0	0
3604	0	0	0	0	0	0
11315	2884	3262	3726	4351	3700	3298
54206	400	302	446	374	493	410
107984915	0	0	0	0	0	0
102724539	0	0	0	0	0	0
105376695	0	0	0	0	0	0
50651	21	40	30	39	36	39
473	463	572	505	716	627	602
102724552	0	0	1	0	0	0
106632271	0	0	0	0	0	0
2023	11199	12482	13985	17315	14885	12794
102465436	2	1	1	1	2	1
100505975	8	6	10	11	7	11
112268261	0	0	0	0	0	0
765	0	2	0	0	1	0
155184	1	0	3	0	1	1
6518	5	1	0	1	4	3
80045	152	156	177	156	203	168
106614088	38	27	17	32	28	46
407040	0	1	1	1	0	0
102724571	7	6	3	4	9	7
9563	617	610	674	697	654	581
80176	57	32	80	50	83	40
100506022	6	2	5	7	2	2
84275	449	233	475	253	535	219
199953	510	514	639	643	709	565
107985734	12	8	9	11	11	12
105376712	0	0	0	0	0	0
5293	58	72	64	95	56	70
644997	0	0	0	0	0	0
101929074	0	0	0	0	0	0
22883	4277	6023	5620	8025	5750	6770
56998	555	474	718	608	653	446
105376717	34	21	31	35	42	25
84328	393	331	412	416	438	399
64802	162	178	213	235	233	226
113391335	0	1	0	0	0	0
100847055	0	0	0	0	0	0
116362	84	65	92	116	88	69
10277	996	1213	1146	1576	1435	1339
23095	831	1002	859	1175	984	1188
105376725	2	0	0	0	0	0
5226	2710	2611	3518	3251	3393	2210
100526739	188	151	206	216	187	141
378708	196	141	203	213	190	140
1325	15	20	17	20	18	23
1676	863	932	944	1078	1143	1034
5195	253	320	361	429	359	365
54897	339	617	456	701	499	738
105376733	0	0	0	2	1	1
105376735	0	0	1	0	0	0
148345	12	10	22	19	23	14
23435	2024	1683	2022	1975	2336	1738
10747	7	12	9	10	13	11
6723	1941	1872	2401	2283	2805	2015
5394	1076	980	1317	1361	1314	1000
105376736	31	31	40	33	44	35
2475	1015	1036	1067	1168	1314	1168
100873935	15	14	11	20	20	20
10218	2	1	2	0	0	0
29914	499	581	638	648	643	540
105376737	0	0	0	0	0	0
105376739	0	0	0	0	0	0
105376740	0	0	0	0	0	0
57540	4	7	8	4	11	5
112268221	0	1	0	0	2	0
101929181	0	0	1	1	1	1
26232	15	18	11	12	23	20
93611	158	181	156	235	239	251
26270	239	365	333	469	339	444
10459	718	819	892	1054	937	789
374946	13	16	12	19	23	14
57085	664	691	914	1066	917	815
284498	62	117	84	144	97	152
102724659	0	0	0	0	0	0
4524	266	473	317	571	392	613
1185	203	241	189	253	238	223
100379251	24	26	20	29	23	32
4878	1	2	2	3	2	2
4879	0	0	0	0	0	0
26829	0	0	0	0	0	0
90231	1038	1209	1300	1501	1445	1272
5351	788	775	977	1131	1257	1078
9927	2683	2807	3006	3387	3397	2779
60672	288	297	389	463	412	369
102466982	1	1	0	1	0	0
943	0	2	2	1	6	0
102465836	0	0	0	0	1	0
7133	3	2	2	8	7	4
100616438	0	0	0	0	0	0
107984917	0	0	0	0	0	0
55187	658	814	761	1108	882	1058
677885	4	5	4	5	3	3
105376744	0	0	0	0	0	0
9249	394	612	404	906	477	686
102466722	1	1	1	2	0	1
343066	0	0	0	0	0	0
126767	0	0	0	0	0	0
93190	0	0	0	0	0	1
390999	0	1	1	0	0	1
65121	0	0	0	1	0	0
105376745	0	0	0	0	0	0
440560	0	0	1	0	0	0
343069	0	1	0	0	1	2
65122	0	0	0	0	0	0
400735	0	0	1	0	0	0
343071	0	0	0	0	0	0
441871	0	0	0	0	0	0
440561	0	0	0	0	0	0
101929983	0	0	0	0	0	0
649330	0	0	0	0	1	0
441873	0	0	0	0	0	0
649324	0	0	0	0	0	0
440563	1	0	1	0	0	1
645354	0	0	0	0	0	0
645359	0	0	0	0	0	0
101060301	0	0	0	0	1	0
343070	0	0	0	0	0	0
400736	0	0	0	0	0	0
391003	0	0	0	0	0	0
343068	0	0	0	0	0	0
391002	0	0	0	0	0	1
645382	0	0	0	0	0	0
653619	0	0	0	0	0	0
729528	0	0	0	0	0	0
645414	0	0	0	0	0	0
391004	0	0	0	0	0	0
645425	1	1	1	0	0	0
126755	1	1	0	0	1	0
102724856	0	0	0	0	0	0
107984918	0	0	0	0	0	0
10630	0	0	0	0	0	0
107984919	0	0	0	0	0	0
105378612	0	0	0	0	0	0
105376756	0	0	0	0	0	0
7799	435	450	450	544	512	503
23254	83	79	89	81	104	86
107985467	0	0	0	0	0	0
107985468	0	0	0	0	0	0
105376762	0	0	0	0	0	0
105376759	0	0	0	0	0	0
107985469	0	0	0	0	0	0
200197	6	17	10	14	12	11
55092	105	175	100	183	157	184
727684	0	0	0	0	0	0
114827	3	5	3	2	5	7
101927417	0	1	1	2	1	3
101927441	0	1	0	0	0	0
79180	385	492	493	577	499	493
11330	0	1	0	0	0	0
63036	0	0	0	0	0	0
105376767	0	0	0	0	0	0
51032	0	2	0	2	0	3
842	128	190	150	280	183	246
23341	483	369	457	461	598	419
107397391	0	0	0	0	0	0
79814	18	23	26	30	32	26
84301	1268	1157	1170	1196	1415	1165
6248	211	184	230	170	251	190
23207	653	831	722	1115	829	930
284723	12	31	11	31	15	28
110806303	1	1	1	1	0	1
388595	4	1	5	1	1	1
54751	24	51	23	63	31	62
440567	254	239	317	337	330	266
729614	107	95	98	131	108	94
23013	2111	2029	2394	2498	2705	2355
7709	358	479	425	668	467	576
149563	0	0	2	0	0	1
27129	3	1	2	2	2	0
1187	1	2	4	4	2	1
1188	3	2	0	6	2	4
348487	60	57	81	88	87	69
1969	768	977	983	1236	1264	1274
101927479	6	6	2	7	5	7
128272	131	69	121	107	130	65
101927546	9	7	7	14	9	15
79363	76	126	96	159	113	143
54455	693	665	824	818	961	769
26099	1737	2088	2070	2889	2299	2472
374955	862	1039	1125	1584	1178	1216
55707	377	422	505	690	536	471
107984921	3	7	7	9	8	9
114819	36	41	24	35	45	39
26871	5	2	3	0	3	3
107985757	0	0	0	0	0	0
100132147	2	3	0	1	2	1
107985758	0	0	0	0	0	0
7195	0	0	0	0	1	0
55672	591	624	578	588	747	636
105376794	363	372	231	331	403	402
84809	181	235	145	241	200	226
11209	49	30	21	29	42	37
107985736	29	18	32	25	39	22
26869	8	2	3	1	6	3
107985759	0	0	0	0	0	0
284729	4	4	3	0	1	4
100189045	0	0	0	0	0	0
6060	5	6	5	1	4	4
11223	26	21	16	20	19	19
100500876	0	0	0	0	0	0
100189298	0	0	0	0	0	0
112267871	0	1	0	1	2	2
7193	0	1	0	0	0	0
100189183	0	0	0	0	0	0
105376805	0	1	0	0	1	0
791226	0	0	0	0	0	0
26870	2	2	4	0	2	2
9696	309	376	315	396	387	426
4237	30	52	59	101	70	73
105376806	4	9	15	25	10	7
23400	1066	888	1355	1045	1654	991
6390	1488	1496	1871	1947	1838	1366
11240	2	1	7	2	9	3
105376808	0	0	0	0	0	0
400743	0	0	0	0	0	0
29943	0	1	1	0	4	0
51702	1	0	0	1	2	1
100616188	0	0	0	0	0	0
23569	1	1	0	1	1	1
353238	0	0	0	0	0	0
55920	2990	3585	3567	4792	4056	4116
55160	118	214	177	281	200	221
107984028	0	0	0	0	0	0
81569	7	11	6	7	14	6
105376809	0	0	0	0	0	0
105376812	0	0	0	0	0	0
101927876	0	0	0	0	0	0
84966	0	1	0	0	2	1
105376814	0	0	0	0	0	0
127707	1	1	2	1	0	0
5081	0	0	0	1	1	0
80834	0	0	3	1	0	1
8659	1064	1492	1413	2200	1794	2010
100616120	0	0	0	0	0	0
100302276	0	0	0	0	0	0
126917	249	236	319	261	367	213
105376815	0	0	1	0	1	0
23352	1871	2142	2331	3037	2783	2971
101927895	47	43	55	61	62	44
23065	890	842	1059	925	1273	951
51154	1028	1108	1219	1435	1433	1118
246181	15	12	15	25	16	11
22977	18	32	24	49	30	37
100506730	93	81	131	114	127	70
8574	752	934	965	1287	1049	1084
54896	231	341	317	466	392	396
832	1773	1939	2395	2984	2340	2282
105376819	0	0	0	0	0	0
105376818	0	0	0	0	0	0
105376817	0	0	0	0	0	0
105378614	0	0	0	0	0	0
440574	815	876	902	1077	980	870
100532736	245	344	297	399	316	314
644068	10	13	13	23	16	14
4681	88	112	115	187	130	151
3362	10	6	11	9	8	4
255104	396	535	559	697	581	648
54546	0	0	1	1	0	1
105376823	0	0	0	0	0	0
23252	293	233	202	224	319	227
30814	0	0	0	0	0	0
5320	0	0	0	0	1	0
5322	0	0	0	0	0	0
26279	0	0	0	0	0	0
64600	0	1	1	1	1	4
391013	0	0	0	1	0	0
127733	33	24	36	46	33	37
101928017	1	0	0	1	2	2
105376825	0	0	1	0	0	0
105376826	0	0	0	0	0	0
105376827	0	0	0	0	0	0
105376828	0	0	0	0	0	0
127731	0	2	0	1	1	2
339505	0	0	0	0	0	0
55450	86	135	97	170	89	168
79594	415	300	552	405	568	351
163933	1	0	2	0	3	1
978	0	1	0	5	1	2
65018	599	821	735	1159	805	962
102464833	25	33	30	46	29	46
100861548	586	650	648	861	727	703
1650	3857	3589	4828	4467	5612	4025
57576	5	2	9	6	5	5
400745	20	10	25	13	30	12
112268222	524	444	521	590	530	481
50809	2967	2689	3367	3441	3313	2729
8672	1200	1017	1335	1135	1517	1148
105376830	0	0	0	0	0	0
105376829	0	0	0	0	0	0
100302155	0	0	0	0	0	0
1889	466	463	622	591	635	418
100506801	0	0	0	0	0	0
105376832	0	0	0	0	0	0
84224	215	258	281	306	290	259
249	47	71	94	60	55	57
105376834	0	0	0	0	0	0
5909	184	284	243	370	302	290
84196	846	786	803	928	975	846
401944	4	3	6	8	5	9
3339	40	90	74	124	77	128
23436	1	0	0	0	0	0
10136	1	0	0	0	0	0
101928043	4	5	2	2	1	1
29092	160	140	150	184	189	115
112268223	5	4	5	6	4	2
998	2402	1073	2704	1373	2606	1096
54361	4	12	5	3	9	6
105376845	4	5	1	5	1	1
105376850	1	1	1	0	0	0
107985377	0	0	0	0	0	0
100616433	0	0	0	0	0	0
105376856	0	0	0	0	0	0
9923	560	646	603	752	812	820
2046	30	19	26	27	23	22
102466615	0	0	0	0	0	0
712	0	0	0	0	0	0
714	0	0	1	0	0	0
713	0	1	0	0	1	0
2048	116	88	155	91	168	72
100616391	0	0	0	0	0	0
100422914	2	3	6	3	5	2
646262	0	0	0	0	0	0
729059	0	0	1	2	1	0
23028	1256	1259	1466	1712	1480	1291
100422866	0	0	0	0	0	0
7798	642	729	730	986	863	867
3352	10	9	9	8	3	6
100996511	5	4	4	5	6	7
10236	2688	2445	3034	2698	3153	2143
80818	136	158	168	227	144	165
148898	25	21	19	18	24	20
6920	953	1263	1169	1748	1231	1251
55616	170	242	219	321	216	265
1870	665	454	799	633	890	407
101928163	6	13	13	10	24	5
105376859	9	9	4	8	13	18
3399	2881	4057	3524	5906	4023	4828
107984928	0	0	0	0	0	0
259283	1	0	0	0	0	0
6135	8974	10591	11445	15904	10896	11362
6924	1328	1324	1516	1744	1665	1474
100506963	140	117	171	160	175	128
57095	576	670	659	955	728	731
105376860	57	93	87	133	81	98
11313	677	1088	861	1724	1014	1471
2582	708	705	921	1103	1032	862
3155	599	697	850	1040	858	739
105376861	0	0	0	0	0	0
2517	200	194	211	310	257	244
1269	1	0	0	0	0	0
107984929	0	0	0	0	0	0
100616492	0	0	1	0	0	0
55629	1185	557	1159	622	1298	543
10772	1271	915	1112	900	1481	930
105378615	0	0	0	0	0	0
105376863	0	0	0	0	0	0
107984931	0	0	0	0	0	0
127294	0	0	0	2	1	1
107985737	0	0	0	0	0	1
105376864	0	0	0	0	0	1
58985	2	1	0	3	0	2
163702	151	173	221	262	213	173
284632	0	0	0	0	0	0
105376871	0	0	0	0	0	0
57822	2	8	1	7	1	10
90529	104	85	117	127	137	121
57185	1214	1437	1608	1866	1733	1619
100750325	2	0	1	2	2	0
11123	342	272	394	290	309	231
100506985	11	12	10	8	13	10
400746	9	43	14	61	15	50
10250	1248	950	1424	1112	1604	960
25932	790	530	741	578	863	495
105376876	0	0	0	0	0	0
864	6	1	3	1	4	2
102465437	0	0	0	0	0	0
107984932	0	0	0	0	0	0
105376878	0	0	0	0	0	0
100616365	0	0	0	0	0	0
105376879	0	0	0	0	0	0
25949	479	452	467	668	512	531
57035	241	245	134	161	300	276
105376882	0	0	0	0	0	0
6007	3	3	1	2	0	5
23585	761	787	790	986	878	797
6006	315	301	343	423	369	342
55219	344	370	381	484	413	382
26119	500	414	632	673	643	477
57134	120	85	140	117	150	112
57190	2377	2421	2700	3171	3172	2853
56181	490	303	626	393	688	317
646471	95	93	110	84	150	102
79000	225	102	264	130	258	88
164091	66	108	107	121	104	123
3925	4937	3366	6034	6293	5385	3645
100500808	178	165	275	333	266	196
105376885	0	0	1	0	0	0
5051	318	396	382	599	466	587
101928216	1	1	1	0	1	0
2134	2	6	2	2	3	3
7780	5	3	8	10	9	6
105376910	0	0	0	0	1	0
84676	2	0	2	1	1	0
149420	236	228	248	270	251	210
105376886	0	1	0	0	0	0
79927	1	1	0	2	0	1
110806296	0	0	0	0	0	0
51042	225	295	305	433	344	325
10256	231	305	293	463	347	396
378807	1	1	1	0	1	0
101928303	1	0	0	1	0	0
64793	736	553	835	723	903	547
83442	1476	2256	1842	3054	2214	2768
91544	259	287	305	344	306	279
1043	0	0	1	1	0	0
55057	10	19	15	27	28	42
257101	1	0	0	0	1	0
79727	0	1	0	1	2	0
79947	452	494	576	678	683	549
101928324	2	1	2	1	4	0
3151	11995	8072	13466	10626	12770	6615
6195	582	786	788	1084	821	796
100302190	0	0	0	0	0	0
105376888	0	1	0	0	0	0
101928728	22	23	15	29	14	16
8289	3723	3583	4428	4481	5488	4078
55650	301	254	344	344	398	285
84243	328	536	392	664	443	632
2810	1901	1447	3303	2087	3248	1764
54707	523	582	507	686	702	666
63906	167	200	178	285	160	266
10726	1326	1638	1671	2189	1777	1748
8431	1	0	1	1	1	0
126695	309	395	427	592	472	486
388610	314	351	366	378	439	376
115572	59	49	82	64	79	39
101928391	0	0	0	0	1	0
6548	1061	1455	1280	2098	1721	2084
102723760	0	0	0	0	0	0
105376890	1	0	1	1	1	1
23038	1165	1635	1557	2623	1703	2123
84065	365	416	554	576	556	479
644961	27	32	20	24	36	19
84958	256	403	264	529	307	427
9064	448	421	500	541	645	453
8547	2	0	1	2	1	0
388611	7	11	6	13	16	12
2827	14	33	14	48	19	46
10163	2043	1565	2531	1916	2658	1639
105376892	0	1	1	0	0	0
27245	480	709	582	935	731	933
2268	0	1	0	0	0	0
111216282	0	0	0	0	0	0
2537	9	17	10	26	11	15
199870	117	92	125	120	132	88
23673	297	495	290	607	282	558
5511	637	651	760	867	794	700
677774	0	0	0	0	1	0
9473	12	6	13	5	12	2
6118	866	693	1072	1046	1000	684
27293	70	153	92	251	94	194
55113	49	100	51	128	85	110
2140	470	363	501	485	640	463
5724	9	8	10	10	11	7
22826	1090	945	1312	1404	1235	873
93974	1823	2007	2234	2796	2400	2240
83667	486	478	632	694	807	807
54797	186	204	192	264	257	212
65979	644	474	702	560	797	444
1104	1763	1588	2050	2043	2156	1506
8420	230	306	223	273	267	259
6080	5	17	10	8	14	10
26768	7	2	5	3	4	4
54952	346	330	445	458	436	296
85028	140	139	86	114	134	147
692212	5	10	4	10	11	5
677838	15	13	6	15	14	12
677825	3	3	4	3	4	3
692073	10	10	1	12	14	4
115273	2	0	0	2	1	1
6883	174	183	220	293	268	221
105378616	6	3	10	7	6	5
26824	2	0	0	0	0	0
10691	273	263	325	304	372	265
51441	1233	1371	1467	1966	1518	1446
4985	6	7	4	4	5	5
2035	1205	781	1395	902	1430	770
399474	375	338	436	528	494	459
6429	676	688	729	841	781	727
51102	294	310	339	469	363	352
10076	308	339	384	424	445	389
101928460	0	0	0	0	0	0
107984933	0	0	0	0	0	0
107984934	0	0	0	0	0	0
101929406	0	0	0	0	0	0
105378617	0	0	0	0	0	0
105378618	0	0	0	0	0	0
4146	10	5	6	3	11	7
100129196	17	10	13	18	19	15
7805	2	1	0	0	2	0
100616164	0	0	0	0	0	0
105378620	0	0	0	0	0	0
105378621	0	0	0	0	0	0
105378622	0	0	1	0	0	1
400748	0	0	0	0	0	0
9672	752	643	1079	849	1072	779
9698	1320	1725	1559	2105	1743	1732
692234	2	2	1	1	3	2
692235	2	2	4	4	4	4
692200	0	0	0	0	0	0
107984935	1	5	4	1	2	0
79570	45	92	44	107	62	98
9410	795	709	1022	923	1051	627
51538	408	424	509	551	562	421
2170	30	17	22	21	23	22
105378623	1	0	0	0	0	0
107985470	0	0	0	0	0	0
347735	694	963	827	1397	1028	1177
105378625	0	0	0	0	0	0
105379772	0	0	0	0	1	0
149086	1	0	0	0	0	1
284551	0	0	0	0	0	0
105378626	132	172	92	146	177	185
64129	151	307	165	295	261	335
3061	50	31	72	64	78	40
553115	658	529	850	713	988	568
107985471	12	13	18	23	21	17
105378628	0	0	0	0	0	0
1307	7	7	8	3	4	9
101929444	1	0	0	0	2	1
576	185	202	197	264	246	213
100423028	0	0	0	1	0	0
90853	9	6	5	7	7	12
8073	2765	2353	2770	2710	3012	2426
10657	2827	2581	2974	3141	3037	2523
55116	312	248	356	300	373	259
100847018	0	0	0	1	0	0
23633	2430	1833	2970	2411	3305	2064
200081	1698	1751	2038	2325	2407	1975
79140	299	494	399	680	440	524
56063	158	199	170	245	205	205
55721	242	177	288	259	301	173
149069	11	19	12	13	9	12
8668	3784	4400	4547	5855	4732	4430
339483	3	8	11	7	12	11
84734	8	10	8	16	10	6
3932	4	2	6	9	5	11
3065	3588	3379	4284	4072	4380	3041
65108	5202	6383	6772	9685	6345	7095
105378629	1	2	4	3	6	5
81629	47	52	46	58	42	61
100128071	24	44	37	63	28	57
55108	1075	1467	1352	2102	1556	1864
728116	37	34	60	36	50	34
653121	158	148	152	170	154	126
102723870	7	8	4	4	6	7
339487	262	188	312	203	297	172
5928	3105	2532	3399	3173	3378	2308
81493	496	316	438	442	443	352
57648	780	1550	885	2048	1020	1908
8565	1499	1682	1837	1986	2010	1752
64766	363	354	368	481	458	415
252995	17	11	13	22	16	16
105378631	0	1	1	1	0	0
3208	42	53	68	93	57	75
113452	1243	1824	1670	2956	1862	2446
105378632	0	0	2	1	0	2
127544	262	275	324	352	374	300
204	2513	2107	2723	2559	2954	2246
105378635	0	1	1	0	0	0
113451	13	15	11	14	17	11
112268224	1	4	1	1	2	3
55223	201	327	252	372	348	343
149076	293	343	429	433	425	342
127550	1	1	2	0	0	0
1912	676	876	939	1142	863	900
100500853	25	29	35	40	31	30
101929464	1	0	2	0	1	1
7579	67	79	74	103	87	104
114784	3	5	2	0	0	4
105378638	1	0	0	0	0	0
127540	0	0	0	0	0	0
402779	0	0	0	0	0	0
84970	0	0	0	0	2	0
105378639	0	0	0	0	0	0
105378640	0	0	0	0	0	0
105378641	0	0	0	0	0	0
693137	0	0	0	0	0	0
105378642	0	0	0	1	1	1
2709	0	1	5	0	2	1
127534	0	1	0	1	0	0
2707	2	3	2	2	5	2
2701	1	0	2	1	1	0
113444	482	513	572	640	629	481
58512	16	21	25	19	32	16
653160	12	23	13	15	15	7
100506144	97	101	108	144	132	103
9204	164	122	165	157	162	158
79830	181	111	126	113	192	124
105378644	0	0	0	0	0	0
6421	4676	4280	4870	5189	5133	4093
9202	948	726	1016	951	1168	839
100861513	30	19	24	16	29	23
79932	1065	1042	1368	1521	1486	1198
23154	1061	1348	1094	1637	1416	1607
339488	33	51	40	53	52	50
105378645	4	3	4	2	6	7
5690	1820	1905	2142	2634	2241	2077
105378646	0	0	0	0	0	0
127703	348	431	370	580	452	527
63967	558	251	581	286	611	230
192670	541	504	567	590	606	571
26523	675	982	694	1276	772	1087
192669	284	266	276	328	302	286
105378647	0	0	0	0	0	0
27285	2	1	3	0	1	0
54936	294	349	424	513	403	409
1296	6	2	6	4	6	5
27095	572	675	742	936	839	683
55700	488	741	521	911	533	796
9967	2402	2270	2863	3197	2993	2386
79729	140	136	97	119	147	135
55194	375	429	441	539	557	491
83931	589	1206	666	1312	970	1423
84967	286	381	367	462	440	421
127700	134	179	142	284	164	188
109616970	0	0	0	0	0	1
107984940	0	0	0	0	0	0
64960	835	664	995	896	1012	645
1441	1	0	0	2	0	1
107984941	0	0	0	0	0	0
105378648	0	0	0	0	0	0
2899	0	2	0	0	4	0
100422898	1	0	0	0	0	0
107984942	0	0	0	0	0	0
728431	14	32	24	48	26	34
80149	63	85	61	125	61	84
102465438	1	1	1	2	1	0
64769	696	746	811	1040	863	815
100847010	3	5	3	5	5	7
105378649	14	10	17	12	21	16
79753	224	207	265	223	308	200
7802	317	504	325	660	379	562
29889	995	756	1176	848	1283	757
284654	0	0	0	0	1	0
54955	593	577	757	645	719	497
55143	1031	624	1375	967	1399	555
284656	102	135	100	158	118	172
105378650	0	0	0	0	0	0
149175	943	920	1063	1072	1245	934
79693	830	977	916	1300	970	1074
127687	762	968	951	1238	1131	1299
4520	348	371	322	411	379	440
