GeneID	control	perturbed	control	perturbed	control	perturbed	control	perturbed	control	perturbed	control	perturbed
102465435	11	12	11	11	5	9	17	8	20	6	2	15
80772	652	1083	793	783	789	824	744	1073	733	756	745	948
83756	39	63	23	61	27	63	33	92	27	52	29	55
1855	1496	2373	1801	1781	1889	1919	1685	2532	1859	1802	1596	2030
102466740	0	0	0	0	0	0	0	2	0	0	0	0
54587	78	346	122	245	111	218	49	401	67	239	52	299
54998	2413	3859	2786	2746	2892	3359	2493	4381	2728	2995	2352	3348
81669	2112	3936	2962	3211	2605	2972	2225	4252	2331	2971	2236	3336
148413	452	741	568	509	593	602	457	671	521	495	495	639
55052	1480	1634	1791	1407	1949	1458	1502	1780	1643	1391	1790	1570
107984868	1	4	1	1	2	0	5	6	0	1	0	0
441869	0	3	1	10	0	11	0	8	1	2	7	1
105378585	0	1	0	1	0	0	0	0	0	0	0	0
643965	0	0	0	0	0	0	0	0	0	0	0	0
102724312	1	2	11	3	5	9	1	8	2	3	2	10
107985729	3	10	3	12	2	15	2	12	3	11	4	12
64856	636	2920	776	2019	782	2256	659	2921	803	2061	705	2446
219293	144	305	177	198	189	217	154	283	112	215	119	235
83858	794	1647	1035	1229	1071	1202	839	1520	961	1110	737	1238
55210	1014	2337	1339	1687	1507	1897	1147	2296	1244	1632	1124	1837
339453	3	6	5	6	5	8	1	8	3	3	4	8
29101	1772	1841	2140	1580	2075	1733	1787	2054	2103	1555	1985	1576
643988	848	1783	955	1380	921	1700	813	1824	865	1270	832	1572
105378586	25	59	17	68	32	29	27	49	22	33	21	41
142678	571	1932	757	1274	703	1367	562	1752	633	1358	505	1473
8510	30	86	34	74	31	53	30	99	32	72	23	81
984	1110	1910	1282	1458	1183	1489	1061	1971	1122	1506	1042	1541
728661	1541	843	1880	806	1684	700	1396	832	1507	596	1384	690
8511	7	22	2	26	4	7	6	19	4	22	3	19
728642	804	1603	997	1210	924	1255	796	1694	866	1296	812	1312
9906	691	537	873	489	736	402	661	532	656	383	585	413
112268218	108	159	129	131	112	128	90	148	99	114	92	126
65220	1880	2901	2246	2389	2149	2367	1646	2951	1919	1987	1864	2526
2782	9146	9132	10900	7702	10283	8315	8634	9750	9881	6608	9915	7882
105378949	3	7	8	5	2	0	7	4	1	5	1	7
163688	12	20	28	14	24	31	13	24	22	27	15	19
339456	81	74	85	51	93	43	77	70	50	54	65	48
85452	0	0	0	6	0	0	0	2	1	2	2	0
107984872	0	5	0	4	2	1	1	2	0	2	2	1
105378589	0	1	0	0	0	0	0	0	0	0	0	0
2563	57	61	91	48	60	63	60	70	69	53	66	66
105378590	0	0	0	1	0	0	0	0	0	0	0	0
105378591	0	0	4	0	0	0	0	0	0	0	0	2
5590	607	1198	753	912	702	1006	591	1184	737	846	704	1025
100506504	29	54	39	36	37	14	26	32	25	25	14	27
199990	560	934	709	733	631	764	591	977	628	757	529	743
112268219	140	335	187	264	158	258	137	312	157	268	169	300
105378593	1	0	0	0	0	0	1	0	0	0	0	0
6497	1607	3292	1876	2491	1901	2461	1527	3153	1833	2326	1623	2556
79906	89	215	116	115	113	101	89	168	130	117	94	183
100129534	22	16	39	4	13	7	13	3	34	3	13	11
11079	1974	3294	2368	2743	2370	2894	2032	3652	2354	2564	2140	2907
5192	512	577	545	440	633	488	514	537	516	372	467	488
9651	45	35	40	38	23	46	35	56	23	32	28	22
55229	598	720	741	548	648	653	704	807	721	542	685	636
388585	0	0	0	1	0	0	0	3	0	3	0	0
115110	0	2	1	3	2	0	0	0	2	0	0	6
8764	3	13	5	7	4	4	1	9	3	6	1	6
100996583	0	1	0	6	0	0	0	0	0	0	0	0
127281	1089	2182	1272	1535	1319	1945	1076	2153	1106	1553	965	1775
79258	129	298	163	220	178	299	134	298	160	239	112	248
105378597	0	0	0	0	0	0	0	0	0	0	0	0
100287898	5	11	5	8	10	2	1	3	6	11	4	6
105378603	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	1	0	0	0	0
107984904	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0
440556	19	47	23	38	17	23	13	23	9	36	45	34
63976	111	227	192	199	180	196	135	215	162	185	184	158
100422968	0	0	0	0	0	4	0	0	0	0	0	0
105378606	0	1	2	0	0	1	0	0	0	0	0	0
107984909	0	5	4	2	0	2	0	14	2	5	0	7
105378605	0	0	0	0	2	0	1	1	1	0	0	1
105378604	0	0	0	0	1	1	0	0	0	0	2	0
27237	1289	1945	1500	1448	1577	1572	1256	2050	1436	1455	1334	1653
1953	772	1868	1027	1321	831	1442	658	1806	695	1167	599	1390
105378608	0	0	1	0	3	0	1	0	0	0	0	0
693135	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	2	0	0	0	1	0	0	0	1
127262	1733	2619	1883	1847	1974	2248	1550	2655	1906	1863	1791	2349
49856	444	731	576	503	537	538	508	751	487	560	504	631
7161	180	149	189	115	160	120	146	126	157	91	134	126
105378610	6	0	1	0	4	0	0	0	1	1	0	0
105378609	0	0	2	0	0	0	0	0	0	0	1	0
57212	4	3	5	4	5	4	2	5	7	1	2	1
148870	4	0	15	0	1	3	3	0	5	0	4	1
388588	38	8	59	10	52	7	31	8	46	8	38	7
57470	1497	3543	1803	2635	1853	2857	1395	3575	1639	2602	1569	2907
9731	932	1690	1205	1144	1084	1331	863	1609	1094	1196	1013	1381
1677	188	275	186	197	196	196	185	214	162	181	143	207
107984910	14	22	34	25	11	19	15	26	27	13	49	24
339448	484	734	570	661	530	606	473	710	563	539	628	685
100133612	4	3	1	2	0	0	1	2	0	3	0	0
728716	0	0	0	0	0	0	0	0	0	0	0	0
105376672	0	0	3	0	0	0	1	1	0	0	0	0
105376673	0	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0	0	0
55966	31	68	36	52	60	45	26	64	25	42	58	61
105376680	0	0	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0	0	0	0	2
105376686	0	0	0	0	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	0	0	0	0	0	0
261734	526	913	619	630	579	644	529	839	592	634	521	705
8514	252	252	255	184	309	235	257	273	300	238	275	246
26038	286	306	367	267	374	234	350	300	327	190	346	209
105376687	0	0	2	0	0	0	0	0	0	0	0	0
6146	4876	6852	5988	5586	5521	5783	4634	7055	5495	5209	5481	5717
107985733	8	22	12	15	6	23	3	15	9	24	6	26
102724450	11	5	6	13	5	7	4	9	0	7	4	12
388591	210	569	291	440	355	438	194	536	206	403	165	475
23463	3226	5061	3839	3882	3730	4238	2970	4538	3346	3218	3408	4014
148645	25	10	23	12	28	20	18	12	21	15	19	19
390992	0	0	0	0	0	0	0	0	0	0	0	0
387509	622	805	928	693	788	789	915	1021	915	661	780	774
11332	1827	1671	2114	1341	2124	1570	1895	1880	2208	1458	1900	1500
54626	94	291	105	218	99	259	131	275	123	189	94	227
83715	1092	3439	1361	2501	1411	2584	1115	3399	1099	2407	1000	2882
100422975	0	0	0	0	0	0	0	0	1	0	0	0
8718	284	471	373	376	313	308	214	440	267	265	226	381
57449	565	754	876	579	758	505	596	684	684	474	533	589
79707	553	701	689	630	718	677	526	653	619	483	624	567
80835	1	1	0	0	0	0	0	0	0	0	0	4
107984912	0	0	0	0	0	0	0	0	0	0	0	0
3104	226	410	305	311	255	322	174	396	261	304	230	334
9903	593	711	737	530	911	607	571	688	718	564	633	652
107984913	1	4	7	9	6	5	8	2	2	0	2	6
148479	1186	1729	1340	1396	1268	1447	1145	1729	1286	1222	1181	1437
90326	485	826	600	662	578	688	487	819	551	569	583	708
55735	1347	2013	1605	1683	1705	1709	1365	2065	1666	1482	1638	1756
100505887	0	0	0	0	0	0	0	0	0	0	0	0
110841581	1	3	7	8	10	2	5	7	6	2	4	0
23261	931	763	1180	629	1088	684	957	717	1018	559	1006	588
105376692	0	0	0	0	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	0	0
101928836	2	0	7	0	4	1	7	3	2	0	5	0
105376691	0	0	0	0	0	0	0	0	0	0	0	0
105376689	32	30	42	18	59	17	28	11	29	22	41	11
9341	1383	483	1735	363	1596	367	1429	461	1568	298	1663	310
8863	321	161	460	100	416	105	265	107	308	57	272	83
10911	1	1	1	0	2	1	1	0	0	1	1	1
3604	0	0	0	0	2	0	6	1	0	0	1	0
11315	3348	3215	4033	2505	3668	2894	3397	3203	3648	2379	3616	2778
54206	1027	1743	1398	1515	1346	1451	1075	2193	1311	1443	1370	1566
107984915	0	0	0	0	0	0	0	0	0	0	0	0
102724539	0	0	0	0	0	0	0	0	0	3	0	0
105376695	0	0	0	0	0	0	0	0	0	0	0	0
50651	8	23	2	18	9	16	16	20	9	15	11	17
473	1426	2338	1824	1902	1578	1749	1346	2234	1541	1342	1392	1647
102724552	0	0	0	0	0	0	0	0	0	0	0	0
106632271	0	0	0	0	0	0	0	0	0	0	0	0
2023	31490	44140	38340	35380	36798	38630	33806	44694	37508	30894	35571	37207
102465436	0	2	1	1	1	3	0	0	0	1	0	0
100505975	11	18	7	14	16	15	5	8	10	17	4	7
112268261	13	10	12	15	12	9	15	16	13	17	18	5
765	0	0	0	0	0	0	0	0	0	0	0	0
155184	0	0	0	0	0	0	1	0	0	0	0	0
6518	0	2	0	0	1	3	1	2	1	0	0	1
80045	989	1007	1199	740	1270	846	960	934	1065	679	1159	761
106614088	157	352	204	359	179	281	154	412	121	286	192	321
407040	0	0	0	0	0	0	0	0	0	0	0	0
102724571	26	13	12	13	11	21	30	13	16	6	13	8
9563	562	269	741	259	659	186	546	244	555	155	575	195
80176	430	755	577	647	639	740	547	883	507	548	556	593
100506022	5	0	3	1	0	0	6	3	4	0	7	1
84275	419	537	442	370	462	359	328	473	402	301	483	364
199953	861	875	1082	584	1157	615	728	751	992	539	788	658
107985734	11	15	8	7	11	6	12	10	18	7	15	7
105376712	0	0	0	0	0	0	0	0	0	0	0	0
5293	74	145	112	129	136	137	142	163	145	80	134	131
644997	0	0	0	0	0	0	0	0	0	0	0	0
101929074	11	8	11	1	13	2	6	3	15	0	18	1
22883	5093	11070	6006	8897	5701	9078	5482	11962	5714	8009	5471	9497
56998	656	631	746	500	734	548	688	599	726	497	695	556
105376717	29	21	21	10	33	25	16	22	26	16	26	16
84328	733	670	867	479	795	593	716	553	837	466	804	513
64802	235	105	238	115	217	89	218	87	251	64	229	84
113391335	0	0	0	0	0	0	0	0	2	0	0	1
100847055	0	0	1	0	0	0	0	0	0	0	0	0
116362	83	7	59	13	62	13	62	8	73	8	64	10
10277	2161	1017	2706	737	2383	805	2033	896	2387	687	2272	867
23095	1810	2611	2073	1945	2079	1789	1644	2387	2010	1483	1901	1838
105376725	0	1	0	0	0	0	0	2	3	0	7	0
5226	5786	8221	6691	6041	6963	6993	5407	8211	6530	6417	6487	7946
100526739	112	168	145	125	118	131	109	123	104	96	132	120
378708	157	228	211	175	177	202	163	179	155	154	181	172
1325	7	5	3	5	13	2	7	6	8	2	6	8
1676	1178	942	1511	835	1519	904	1480	1015	1481	719	1597	865
5195	333	403	427	335	452	321	384	442	403	300	370	378
54897	842	1743	1078	1361	1023	1279	780	1795	923	1200	874	1250
105376733	0	3	0	0	0	1	0	0	0	0	0	1
105376735	0	0	0	0	0	0	0	0	0	0	0	0
148345	3	0	2	0	4	1	1	1	1	0	5	0
23435	5459	7281	6655	6139	6044	6220	5423	7357	6205	5339	6609	6635
10747	9	37	12	33	14	23	9	33	3	31	8	31
6723	4642	3627	5295	2704	5716	3243	4477	3488	5382	2465	4986	3094
5394	1232	1721	1459	1373	1351	1427	1168	1783	1326	1296	1344	1305
105376736	21	32	20	35	24	20	18	16	16	23	15	27
2475	2579	3164	2998	2505	2788	2425	2331	2878	2623	2012	2465	2310
100873935	18	21	24	11	18	23	13	34	19	12	32	15
10218	0	0	0	0	1	0	0	0	0	0	0	0
29914	564	539	741	335	715	460	594	537	651	352	623	431
105376737	0	0	0	0	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	0	0	0	0
105376740	0	2	0	0	0	0	0	3	0	0	0	0
57540	35	45	32	32	51	30	37	46	29	34	27	29
112268221	7	2	7	2	3	1	1	1	5	5	2	4
101929181	5	2	0	1	1	1	4	1	0	1	4	0
26232	70	308	82	286	73	285	88	440	85	284	66	370
93611	298	572	378	391	337	369	345	714	388	425	323	458
26270	153	91	215	99	151	105	190	113	188	80	160	110
10459	703	815	878	680	804	766	717	784	776	589	763	735
374946	5	8	13	10	4	21	6	10	9	6	3	6
57085	290	313	297	216	377	249	368	321	348	184	292	265
284498	37	60	57	34	45	42	34	74	24	35	35	58
102724659	0	0	0	0	0	0	0	0	0	0	0	0
4524	248	349	328	252	252	327	197	382	228	269	233	315
1185	274	650	334	409	344	464	278	619	291	474	234	495
100379251	38	85	44	54	30	52	25	66	24	62	42	65
4878	1	1	0	3	3	0	1	1	5	1	0	4
4879	0	0	0	0	0	0	0	0	0	0	0	0
26829	3	0	2	0	0	0	0	0	0	0	0	0
90231	1435	1869	1563	1378	1669	1572	1443	1898	1564	1384	1422	1560
5351	2001	2817	2427	2270	2482	2555	2139	2841	2569	2235	2387	2525
9927	2698	4700	3297	3650	3256	3825	2648	4433	2777	3315	2670	4000
60672	447	578	665	520	563	510	457	583	541	440	449	519
102466982	0	1	0	0	1	0	0	2	0	1	2	0
943	0	0	0	0	0	0	0	1	0	0	0	0
102465836	0	0	0	0	0	0	0	0	0	0	0	0
7133	0	0	0	0	0	3	1	0	0	1	4	3
100616438	0	0	0	0	0	0	0	0	0	0	0	0
107984917	0	0	0	0	0	0	0	0	0	0	0	0
55187	1671	2654	1843	1959	1657	1822	1178	1937	1486	1313	1517	1612
677885	7	6	4	10	2	0	1	3	8	8	3	2
105376744	0	3	1	4	2	5	0	3	1	2	2	4
9249	384	2026	374	1539	654	1816	357	2487	605	1538	593	1810
102466722	1	0	1	0	1	1	1	4	1	2	0	2
343066	0	0	0	1	0	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0	0	0	0	0	0
93190	0	0	2	0	0	0	0	0	0	0	0	0
390999	0	0	0	0	0	0	0	0	0	0	0	0
65121	0	0	1	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0	0	0
343069	193	316	257	264	207	244	210	327	220	234	254	244
65122	0	0	0	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	0	0	0
649330	1	3	0	1	2	0	3	1	0	1	0	1
441873	0	0	0	0	0	0	0	0	0	0	0	0
649324	0	0	0	0	0	0	0	0	0	0	0	0
440563	116	187	147	161	116	137	100	184	126	127	164	145
645354	0	0	0	0	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0	0	0
101060301	0	1	1	1	1	1	0	1	1	1	2	2
343070	0	0	0	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0	0	0	0	0
729528	0	0	1	0	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0	0	0
126755	0	0	0	0	0	0	0	1	0	0	0	0
102724856	0	0	0	0	0	0	0	0	0	0	0	0
107984918	0	0	0	0	0	0	0	0	0	0	0	0
10630	0	0	0	0	0	0	0	0	0	0	0	1
107984919	0	0	0	0	0	0	0	0	0	0	0	0
105378612	0	0	0	0	0	0	0	0	0	0	0	0
105376756	0	0	0	0	0	0	0	0	0	0	0	0
7799	1106	1197	1284	1040	1163	964	930	1117	1057	739	1098	982
23254	341	496	400	327	400	456	343	499	365	357	351	378
107985467	0	0	0	0	0	0	0	0	0	0	0	0
107985468	0	0	0	0	0	0	0	0	0	0	0	0
105376762	0	0	0	0	0	0	0	0	0	0	0	0
105376759	0	0	0	0	0	0	0	0	0	0	0	0
107985469	0	0	0	0	0	0	0	0	0	0	0	1
200197	19	42	9	24	11	27	9	31	15	33	8	33
55092	260	322	309	282	253	306	226	419	277	368	284	358
727684	1	0	0	0	0	0	0	0	0	0	0	0
114827	3	7	5	5	2	3	4	8	7	2	10	12
101927417	0	3	1	5	1	2	0	3	0	0	2	2
101927441	0	4	6	0	1	3	0	4	2	1	0	1
79180	1061	1598	1271	1133	1169	1258	1195	1899	1331	1231	1149	1273
11330	2	1	2	0	1	1	0	3	0	2	0	2
63036	0	0	0	0	0	0	0	0	0	0	0	1
105376767	0	1	1	0	0	0	0	0	0	2	0	0
51032	0	0	0	0	0	1	0	1	0	0	0	0
842	164	203	155	124	126	164	121	197	150	160	130	181
23341	432	936	583	711	560	629	452	820	483	578	487	696
107397391	0	0	0	0	0	0	0	0	0	0	0	0
79814	401	336	506	283	482	285	427	310	573	256	551	262
84301	1777	2463	2029	1990	1849	1736	1466	2069	1744	1440	1742	1763
6248	347	439	372	304	330	308	262	381	350	253	356	298
23207	1749	2726	2352	2309	2110	2463	1921	2744	2069	1952	1763	2326
284723	16	55	33	34	22	30	26	35	30	25	31	24
110806303	1	2	0	2	2	1	2	4	1	1	1	3
388595	0	0	0	0	0	0	1	0	0	0	0	0
54751	780	1146	922	1068	1002	1212	807	1404	903	1013	809	1133
440567	485	597	498	464	534	500	458	571	472	470	499	549
729614	111	181	122	83	148	89	122	136	142	112	114	114
23013	2729	6823	2941	4914	2930	4412	2519	5652	2724	3699	2606	4358
7709	550	818	645	653	623	640	629	963	615	642	562	650
149563	14	9	11	5	8	8	2	8	11	6	6	8
27129	0	1	0	1	0	0	3	0	0	2	0	1
1187	0	3	1	2	3	0	1	1	0	0	1	1
1188	0	1	0	1	0	0	0	0	0	0	0	0
348487	53	88	60	70	43	57	84	92	67	62	50	66
1969	1343	10526	1301	6981	1615	8220	1268	12124	1410	8224	1367	9532
101927479	17	24	14	8	7	9	14	17	9	5	8	17
128272	446	724	721	584	602	577	618	686	672	582	556	632
101927546	19	11	22	7	13	10	5	5	15	2	13	7
79363	111	120	137	86	138	84	109	95	121	92	117	94
54455	614	1165	808	896	661	964	617	1114	723	779	700	1022
26099	2716	1510	3456	1167	3540	1371	3247	1661	3104	1181	3253	1414
374955	913	454	1255	396	1146	424	1067	498	1114	402	1144	426
55707	764	1655	912	1299	896	1245	836	1791	934	1290	953	1479
107984921	6	18	12	9	7	11	13	15	14	12	5	22
114819	40	59	63	59	57	55	59	74	40	43	32	55
26871	0	0	0	0	0	0	0	0	1	1	0	1
107985757	0	0	0	0	0	0	0	0	0	0	0	0
100132147	3	0	2	1	0	0	0	0	2	0	1	0
107985758	0	0	0	0	0	0	0	0	0	0	0	0
7195	0	0	0	0	0	0	0	0	0	0	0	0
55672	2082	1052	2299	858	2400	815	1533	890	1902	663	2083	758
105376794	318	629	415	519	387	417	321	724	318	461	257	556
84809	145	341	174	295	192	238	206	401	161	271	146	320
11209	26	61	35	49	47	38	23	65	19	37	14	47
107985736	3	4	2	3	3	2	2	2	5	0	1	3
26869	0	0	0	1	1	0	0	0	0	0	0	0
107985759	0	0	0	0	0	0	0	0	0	0	0	0
284729	25	63	27	56	23	41	20	84	16	42	13	54
100189045	0	0	0	0	0	0	0	0	0	0	0	0
6060	0	0	0	0	0	0	0	0	1	0	0	1
11223	20	54	21	28	22	25	16	42	12	16	6	30
100500876	0	0	0	0	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0	0	0	0	0
112267871	2	0	2	0	0	0	0	2	2	0	3	0
7193	0	0	0	0	0	0	0	0	0	0	0	0
100189183	0	0	0	0	0	0	0	0	0	0	0	0
105376805	11	3	18	1	9	3	13	9	18	2	16	3
791226	0	0	0	0	0	0	0	0	0	0	0	0
26870	1	0	0	1	0	1	0	0	1	0	1	0
9696	383	453	411	391	400	382	326	459	349	313	280	394
4237	10	1	11	8	2	7	10	16	6	3	8	3
105376806	0	1	2	1	2	0	1	0	0	2	0	1
23400	2319	2322	2545	1743	2554	1839	2134	2190	2383	1612	1966	1884
6390	1483	1775	1656	1497	1568	1643	1470	1937	1539	1530	1505	1679
11240	177	527	215	361	177	415	200	689	242	393	234	491
105376808	0	0	0	0	0	0	0	0	0	0	0	0
400743	0	0	0	0	0	0	0	0	0	0	0	0
29943	6	16	13	14	7	6	6	18	9	10	7	8
51702	47	116	56	90	87	100	80	199	122	144	72	157
100616188	0	0	0	0	0	0	0	0	0	0	0	0
23569	8	2	7	0	3	0	3	1	4	5	4	4
353238	1	1	5	1	2	4	0	1	1	2	1	6
55920	7218	15452	8776	12515	8437	12776	7561	15433	8688	10965	8311	12962
55160	836	1825	1117	1403	1140	1467	929	1675	927	1189	952	1539
107984028	0	4	0	0	0	0	0	0	0	0	0	0
81569	42	14	33	7	39	18	41	12	36	6	60	21
105376809	0	0	0	0	0	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0	0	0	0	0	0
84966	0	0	0	0	0	0	0	0	0	0	0	1
105376814	0	0	0	0	1	1	1	1	1	0	1	0
127707	51	524	50	403	37	412	39	587	69	388	42	535
5081	0	1	0	1	0	1	0	1	0	0	0	0
80834	0	0	0	0	0	0	0	0	0	1	0	0
8659	1664	2838	1876	2056	1785	2581	1336	2163	1609	1834	1459	2351
100616120	0	0	0	0	0	0	0	0	0	0	0	0
100302276	0	0	0	0	0	0	0	0	0	0	0	0
126917	363	6489	445	4268	458	4583	381	6659	400	5143	435	5870
105376815	0	3	0	0	0	1	0	1	0	0	0	1
23352	3210	5956	3602	4041	3747	3766	2619	4903	2916	2949	3019	3756
101927895	47	65	65	44	50	60	51	57	56	58	61	82
23065	1893	3076	2447	2319	2368	2561	1828	3076	2245	2233	2113	2715
51154	1828	2225	2378	1731	2437	2066	1852	2352	2192	1757	2230	2090
246181	43	46	48	40	67	42	36	46	46	45	57	45
22977	35	44	19	32	39	32	37	28	37	31	31	31
100506730	54	63	98	54	75	56	29	87	53	32	57	40
8574	1363	1408	1478	1243	1646	1229	1375	1370	1435	1063	1323	1241
54896	363	326	453	222	449	210	346	288	440	248	315	269
832	7075	8967	8146	7224	8154	7480	7019	9375	7712	6390	7644	7619
105376819	2	0	0	0	0	0	0	1	1	0	0	0
105376818	0	0	0	0	0	0	0	0	0	0	0	0
105376817	0	0	0	2	0	0	0	0	6	0	0	0
105378614	0	0	0	0	0	1	0	0	0	0	0	0
440574	906	1029	1170	760	1057	943	929	1175	969	805	977	933
100532736	1506	984	1685	816	1712	928	1645	1092	1588	774	1428	803
644068	280	310	383	246	360	308	308	345	278	266	318	274
4681	1494	968	1666	799	1698	912	1624	1072	1576	767	1421	780
3362	19	9	46	8	23	4	28	15	30	5	36	9
