GeneID	control	control	perturbed	perturbed	perturbed	perturbed
6248	265	164	400	266	186	135
23207	3502	2082	5420	3834	3976	2884
284723	44	29	100	54	77	72
110806303	2	3	3	1	2	3
388595	0	0	1	0	0	0
54751	1357	781	2062	1408	1396	1043
440567	315	218	564	391	367	265
729614	38	26	74	50	46	35
23013	2749	1929	5112	3586	3167	2362
7709	649	424	1084	818	644	518
149563	0	0	0	0	0	0
27129	10	9	24	16	10	8
1187	5	1	6	6	3	2
1188	1	0	1	1	2	1
348487	19	8	25	10	21	14
1969	5629	3329	9237	6216	4656	3376
101927479	12	13	21	16	9	9
128272	278	164	460	286	297	208
101927546	69	35	94	72	102	84
79363	83	48	112	105	88	63
54455	673	430	1083	720	673	469
26099	2503	1516	4025	2947	2699	1952
374955	1416	851	2101	1504	1392	1064
55707	1258	729	1786	1240	1133	842
107984921	16	12	37	24	44	35
114819	52	30	95	85	106	61
26871	4	3	5	3	7	4
107985757	0	0	0	0	0	0
100132147	0	0	1	0	0	0
107985758	0	0	0	0	0	0
7195	0	0	0	0	0	0
55672	725	478	1387	977	711	535
105376794	193	154	378	283	324	273
84809	152	79	254	180	194	151
11209	17	11	17	19	16	9
107985736	0	0	0	0	0	0
26869	2	2	3	2	8	5
107985759	0	0	0	0	0	0
284729	0	0	0	0	0	0
100189045	0	0	0	0	0	0
6060	3	3	4	2	7	4
11223	8	6	6	8	8	3
100500876	0	0	0	0	0	0
100189298	0	0	0	0	0	0
112267871	0	0	0	0	0	0
7193	0	0	0	0	0	0
100189183	0	0	0	0	0	0
105376805	2	2	2	4	1	2
791226	0	0	0	0	0	0
26870	5	3	3	3	8	5
9696	176	102	346	247	244	148
4237	1787	997	2791	2006	2457	1818
105376806	208	112	316	235	306	235
23400	929	457	1437	931	967	643
6390	1739	896	2075	1585	1396	1052
11240	151	115	275	214	124	86
105376808	0	0	0	0	0	0
400743	0	2	2	1	1	0
29943	16	12	25	15	12	9
51702	46	39	128	72	44	29
100616188	0	0	0	0	0	0
23569	2	0	0	0	0	0
353238	1	0	0	0	0	0
55920	4093	2527	6620	4626	3846	2836
55160	3	1	0	0	4	2
107984028	0	0	0	0	0	0
81569	0	0	1	0	0	3
105376809	0	0	0	0	0	0
105376812	0	0	0	0	0	0
101927876	0	0	0	0	0	0
84966	0	0	0	0	0	0
105376814	0	0	0	0	0	0
127707	4	2	2	8	2	1
5081	0	0	0	0	0	0
80834	0	0	1	0	0	0
8659	291	196	485	372	321	279
100616120	0	0	0	0	0	0
100302276	0	0	0	0	0	0
126917	876	601	1465	973	1166	888
105376815	0	0	1	0	1	0
23352	5613	3889	9963	6876	5603	4149
101927895	152	104	233	161	126	73
23065	4405	2775	6674	4740	3539	2744
51154	1351	828	2113	1413	1506	1064
246181	18	21	52	23	32	29
22977	23	17	52	23	32	29
100506730	95	57	116	94	92	61
8574	642	417	993	707	539	442
54896	403	252	613	457	435	357
832	5020	2986	7485	5292	4714	3647
105376819	0	0	0	0	0	0
105376818	0	0	0	0	0	0
105376817	0	0	0	0	0	0
105378614	0	0	0	0	1	0
440574	1545	927	1938	1313	1252	986
100532736	546	298	798	567	652	427
644068	9	5	16	4	13	10
4681	425	237	612	426	507	343
3362	2	2	0	2	3	2
255104	65	36	67	39	65	32
54546	0	0	0	0	0	0
105376823	1	1	2	0	0	0
23252	248	129	347	244	277	159
30814	0	0	0	0	0	0
5320	1	0	0	0	0	1
5322	0	0	0	0	0	0
26279	0	0	0	1	0	0
64600	0	0	0	0	0	0
391013	0	0	0	0	0	0
127733	0	0	0	0	0	0
101928017	0	0	0	0	0	0
105376825	0	0	0	0	0	0
105376826	0	0	0	0	0	0
105376827	0	0	0	0	0	0
105376828	0	0	0	0	0	0
127731	0	0	0	0	0	0
339505	1	1	1	3	9	5
55450	107	71	152	136	538	495
79594	898	513	1373	884	765	619
163933	0	0	1	0	0	0
978	1	0	0	1	1	3
65018	196	120	314	222	163	118
102464833	4	4	7	3	4	4
100861548	481	279	650	432	393	292
1650	7253	4292	10160	7222	6454	4783
57576	272	159	325	218	179	129
400745	349	211	567	338	379	260
112268222	842	484	1112	794	646	516
50809	3654	2389	5918	4106	3356	2639
8672	2987	1944	4416	3173	2850	2247
105376830	1	0	0	0	1	0
105376829	3	0	1	0	1	1
100302155	0	0	0	0	0	0
1889	3173	1952	5347	3794	3444	2566
100506801	1	5	5	7	9	1
105376832	0	0	0	0	0	0
84224	379	228	567	419	245	189
249	3	0	1	0	0	1
105376834	0	0	0	0	0	0
5909	6	1	6	8	3	8
84196	1941	1215	2688	1806	1587	1181
401944	98	46	135	89	76	49
3339	1178	702	1800	1283	820	575
23436	0	0	0	0	0	0
10136	0	0	0	0	0	0
101928043	6	0	2	3	2	1
29092	184	95	238	163	166	120
112268223	8	3	8	4	4	5
998	4245	2541	5953	4155	3373	2785
54361	7	1	4	7	5	4
105376845	2	4	6	6	6	2
105376850	1	0	2	1	4	1
107985377	0	0	0	0	0	0
100616433	0	0	0	0	0	0
105376856	0	0	0	0	0	0
9923	684	446	1172	826	710	569
2046	0	0	2	0	1	0
102466615	0	0	0	0	0	0
712	0	0	0	0	0	0
714	0	0	0	0	0	0
713	0	0	0	0	0	0
2048	4	1	4	2	3	0
100616391	0	0	0	0	0	0
100422914	0	0	0	0	0	0
646262	0	0	0	0	0	0
729059	0	1	2	1	1	2
23028	5158	3049	7505	5239	4147	3029
100422866	0	0	0	0	0	0
7798	1490	1048	2550	1746	1515	1156
3352	39	19	44	25	29	22
100996511	16	6	19	21	33	29
10236	5287	3128	8101	5719	4738	3623
80818	431	283	700	441	380	298
148898	26	23	45	24	27	23
6920	46	24	53	47	54	41
55616	873	538	1314	876	1055	762
1870	550	289	853	599	473	336
101928163	7	5	12	12	10	6
105376859	14	5	13	9	11	5
3399	5575	3334	10767	7551	5176	3900
107984928	0	3	3	0	1	0
259283	0	0	1	0	0	0
6135	16597	9753	23011	16076	16574	12052
6924	1736	1105	2810	2050	1658	1319
100506963	153	93	223	172	141	124
57095	805	461	1255	828	784	549
105376860	62	33	107	73	71	54
11313	1273	713	1960	1362	1283	968
2582	579	352	805	554	499	341
3155	766	506	1028	720	636	524
105376861	1	0	0	0	1	1
2517	90	43	116	65	55	47
1269	0	0	0	1	2	0
107984929	0	0	0	0	0	0
100616492	0	0	0	0	0	0
55629	2440	1479	3448	2458	1975	1496
10772	3227	1935	4769	3271	2965	2326
105378615	0	0	0	0	0	0
105376863	2	2	4	1	0	2
107984931	0	0	0	0	0	0
127294	1	1	3	1	2	3
107985737	0	0	0	0	0	0
105376864	0	1	0	0	0	0
58985	29	11	24	24	19	19
163702	0	0	0	0	0	0
284632	2	0	2	0	1	0
105376871	0	3	3	0	2	1
57822	17	4	35	18	16	13
90529	8	3	17	10	7	6
57185	46	31	54	36	22	14
100750325	0	0	0	0	0	0
11123	0	0	0	0	1	0
100506985	0	0	0	0	0	0
400746	0	0	0	0	0	0
10250	3279	2040	4321	3301	2850	2340
25932	7718	4876	10267	7144	6392	5266
105376876	1	0	0	0	0	0
864	0	0	2	0	2	0
102465437	0	0	0	0	0	0
107984932	0	0	0	0	0	0
105376878	0	0	0	0	1	0
100616365	0	0	0	0	0	0
105376879	0	0	0	1	0	0
25949	835	492	1134	762	858	608
57035	644	407	925	631	921	716
105376882	1	1	0	0	1	0
6007	2	1	10	2	9	6
23585	1815	1109	2415	1714	1638	1180
6006	715	453	936	691	620	490
55219	1227	737	1812	1263	1184	893
26119	527	303	833	590	495	386
57134	0	1	2	2	1	0
57190	5170	3105	7539	5071	4463	3312
56181	1058	636	1476	1075	903	665
646471	127	74	228	140	159	123
79000	371	209	478	381	300	225
164091	756	427	1156	846	655	482
3925	9926	5737	13974	10017	7609	6215
100500808	6	7	24	15	21	4
105376885	0	0	0	0	0	2
5051	310	201	461	304	274	199
101928216	0	0	1	1	0	0
2134	3	0	2	0	0	0
7780	1	0	2	1	2	0
105376910	0	0	0	0	0	0
84676	0	0	1	0	0	2
149420	163	81	199	120	133	117
105376886	0	0	0	0	0	0
79927	0	1	1	0	1	1
110806296	0	0	0	0	1	0
51042	565	336	952	645	633	500
10256	1	3	2	4	9	1
378807	0	0	0	0	0	0
101928303	0	0	0	0	1	0
64793	1141	698	1699	1188	1019	793
83442	3834	2063	5534	4007	4682	3500
91544	254	138	380	290	330	192
1043	0	0	0	0	0	1
55057	2	0	0	3	4	7
257101	0	0	0	0	0	0
79727	0	1	1	2	1	1
79947	1812	1000	2659	1805	1699	1295
101928324	1	0	4	3	4	1
3151	6657	3790	10641	7491	6379	4778
6195	613	386	967	653	593	421
100302190	0	0	0	0	0	0
105376888	0	1	0	1	0	0
101928728	7	3	11	10	9	5
8289	6174	3792	10873	7790	5662	4395
55650	197	117	243	179	155	135
84243	755	394	1135	774	680	523
2810	5	2	7	4	4	1
54707	716	399	1159	789	602	483
63906	438	257	733	478	488	347
10726	3672	2165	5881	4122	4176	2904
8431	0	0	0	0	0	0
126695	0	0	0	0	0	3
388610	28	25	62	45	48	26
115572	42	30	75	55	34	24
101928391	1	0	0	0	0	0
6548	801	516	1355	1019	957	690
102723760	0	0	0	0	0	0
105376890	0	0	0	0	0	0
23038	1419	864	2232	1541	1225	907
84065	1007	567	1468	1000	982	739
644961	75	30	116	82	75	64
84958	5	1	10	9	5	4
9064	1658	988	2533	1817	1834	1379
8547	0	0	1	1	0	0
388611	1	4	4	2	6	4
2827	72	40	92	65	59	56
10163	5767	3674	8783	6207	5022	3726
105376892	0	1	0	0	0	1
27245	926	555	1804	1354	1127	856
2268	1	1	0	0	0	1
111216282	0	3	0	6	8	0
2537	6211	3670	8376	5439	19748	14507
199870	302	177	366	245	286	217
23673	1216	723	1673	1165	1018	874
5511	1394	847	2122	1469	1313	924
677774	1	0	1	0	0	0
9473	402	264	386	253	584	481
6118	1240	777	1778	1232	1073	793
27293	2	0	1	2	0	1
55113	114	50	185	159	92	72
2140	695	394	1075	761	647	529
5724	15	6	15	13	10	9
22826	3352	1972	4475	3149	3148	2433
93974	1509	897	2375	1644	1541	1107
83667	624	376	730	529	483	330
54797	286	208	417	256	210	164
65979	1942	1154	2952	2033	1526	1248
1104	2713	1565	4345	2939	2650	2064
8420	1757	1062	2422	1809	1465	1181
6080	56	57	94	66	94	69
26768	85	24	99	58	79	61
54952	664	407	942	661	551	404
85028	463	271	607	418	618	431
692212	15	12	24	21	14	23
677838	28	19	32	19	33	24
677825	24	15	26	22	29	21
692073	18	4	25	21	19	25
115273	38	22	45	39	22	21
6883	680	409	837	622	546	408
105378616	4	4	5	3	5	3
26824	0	1	2	2	1	1
10691	854	513	1231	869	661	508
51441	3270	2012	4816	3251	2570	2064
4985	0	0	0	0	2	0
2035	161	104	211	143	141	114
399474	542	324	755	523	548	381
6429	2917	1815	4380	3155	3166	2232
51102	648	423	937	645	604	487
10076	13	1	10	10	7	5
101928460	0	0	0	0	0	0
107984933	0	0	0	0	0	0
107984934	0	0	0	0	0	0
101929406	0	0	0	0	0	0
105378617	0	0	0	0	0	0
105378618	0	0	0	0	0	0
4146	16	5	36	30	24	26
100129196	36	17	57	29	40	29
7805	0	0	5	0	0	0
100616164	0	0	0	0	0	0
105378620	0	0	0	0	0	0
105378621	0	0	0	0	0	0
105378622	1	0	2	0	2	1
400748	0	0	0	0	0	0
9672	2427	1540	3983	2830	2435	1829
9698	3340	2168	5036	3594	2868	2085
692234	1	3	3	4	4	3
692235	1	3	3	4	4	3
692200	0	0	0	0	0	0
107984935	0	4	2	3	4	2
79570	8	1	15	11	9	15
9410	1329	772	1916	1351	1142	906
51538	781	449	1184	778	694	469
2170	29	12	47	30	37	20
105378623	0	0	0	0	0	0
107985470	0	0	0	0	0	0
347735	1	0	1	0	1	1
105378625	0	0	0	0	0	0
105379772	0	0	0	0	0	0
149086	0	0	0	0	0	0
284551	0	0	0	0	0	0
105378626	0	0	0	0	0	0
64129	0	0	0	1	0	0
3061	17	11	30	14	16	22
553115	971	557	1539	990	896	762
107985471	3	2	4	7	4	1
105378628	1	1	0	0	1	0
1307	263	146	424	296	294	214
101929444	7	1	5	1	3	2
576	1414	822	2021	1390	1352	980
100423028	0	0	0	0	1	0
90853	23	17	23	22	65	37
8073	8177	5040	11240	7864	7226	5847
10657	6991	4150	10852	7487	5073	4076
55116	772	424	1251	827	801	617
100847018	0	0	0	0	1	0
23633	3757	2303	5153	3784	2873	2294
200081	4238	2595	6469	4661	4219	3246
79140	209	133	286	231	187	111
56063	309	209	453	296	289	189
55721	117	66	167	131	127	76
149069	20	18	32	27	30	15
8668	5318	3089	7732	5343	4833	3537
339483	63	37	85	63	131	68
84734	38	14	31	23	54	31
3932	0	0	1	0	0	0
3065	3237	1911	4807	3238	2615	2005
65108	4940	2753	8040	5642	4879	3617
105378629	2	3	3	7	5	3
81629	33	32	63	55	63	51
100128071	25	8	25	19	27	16
55108	1465	821	2114	1459	1554	1175
728116	7	3	11	8	2	6
653121	357	225	522	365	342	245
102723870	3	0	5	2	2	2
339487	472	309	698	525	412	351
5928	6129	3690	9105	6301	5161	4019
81493	1810	1063	2604	1794	1656	1346
57648	1536	900	2565	1768	1952	1497
8565	5190	3051	7018	4815	4771	3640
64766	1010	636	1342	975	805	635
252995	28	16	51	28	46	32
105378631	0	0	0	0	0	0
3208	9	5	13	11	14	6
113452	176	100	244	157	145	104
105378632	0	0	0	0	0	0
127544	721	431	848	653	580	455
204	4639	2804	6696	4634	5272	3916
105378635	0	0	0	0	0	0
113451	158	108	186	123	116	79
112268224	0	1	2	1	1	0
55223	286	174	580	365	294	216
149076	551	302	914	678	521	382
127550	2	1	1	2	2	4
1912	4100	2487	6078	4204	4377	3423
100500853	45	40	95	81	73	52
101929464	1	3	6	6	4	1
7579	279	172	478	287	306	232
114784	2	1	1	0	0	0
105378638	0	0	0	0	0	0
127540	0	0	0	0	0	0
402779	0	0	0	0	0	0
84970	0	0	0	0	0	0
105378639	0	0	0	0	0	0
105378640	0	0	0	0	0	0
105378641	0	0	0	0	0	0
693137	0	0	0	0	0	0
105378642	4	0	3	2	2	1
2709	7	0	9	4	2	1
127534	0	0	3	0	3	0
2707	2	1	3	1	3	4
2701	1	0	0	5	4	1
113444	762	458	1183	824	782	556
58512	23	14	26	21	25	17
653160	66	33	75	49	58	46
100506144	355	241	531	315	395	269
9204	452	281	611	528	364	270
79830	921	635	1291	1009	608	585
105378644	0	0	0	0	0	0
6421	9067	5468	14154	9993	6236	4804
9202	2212	1431	3279	2263	1759	1433
100861513	45	37	75	53	39	27
79932	1809	1045	2501	1677	1615	1203
23154	1077	675	1973	1356	1339	888
339488	53	26	77	59	80	69
105378645	6	3	9	6	6	13
5690	3588	2034	5184	3671	2782	2222
105378646	0	0	0	0	0	0
127703	622	313	939	652	714	541
63967	1653	1003	2665	1874	1554	1218
192670	693	452	891	674	617	519
26523	967	648	1684	1143	899	687
192669	754	499	1085	765	631	513
105378647	0	0	0	0	0	0
27285	15	8	14	12	15	3
54936	1143	614	1571	1031	1170	873
1296	5	8	23	7	5	4
27095	1597	942	2192	1494	1472	1146
55700	4645	2700	8075	5436	5597	3865
9967	4078	2629	6363	4669	3883	3129
79729	240	146	467	305	465	307
55194	511	281	1015	706	559	435
83931	1348	851	2004	1454	1336	937
84967	750	429	1059	725	686	532
127700	89	50	130	92	75	57
109616970	0	0	0	1	0	0
107984940	0	0	0	0	0	0
64960	1761	1017	2445	1693	1469	1064
1441	1	0	0	0	0	0
107984941	0	0	0	0	0	0
105378648	0	0	0	0	0	0
2899	0	0	0	1	0	0
