GeneID	perturbed	control	control
112268261	0	0	2
765	0	0	0
155184	0	0	0
6518	2	3	3
80045	274	260	261
106614088	101	72	81
407040	1	0	0
102724571	11	5	13
9563	1029	1090	1124
80176	1573	1176	1289
100506022	3	7	6
84275	240	194	205
199953	410	388	396
107985734	16	11	12
105376712	0	0	0
5293	409	286	288
644997	0	0	0
101929074	19	26	24
22883	4003	3879	4052
56998	853	670	737
105376717	86	60	51
84328	528	524	497
64802	265	254	245
113391335	2	0	1
100847055	0	1	0
116362	92	117	114
10277	1191	1186	1159
23095	1236	1561	1499
105376725	0	0	0
5226	4885	4673	4550
100526739	165	136	131
378708	175	137	133
1325	13	8	16
1676	1601	1650	1575
5195	421	376	416
54897	236	233	245
105376733	0	0	0
105376735	0	0	0
148345	0	0	0
23435	4456	4493	4456
10747	29	28	9
6723	1292	1117	1282
5394	2090	1929	1813
105376736	96	91	75
2475	2141	2235	2244
100873935	43	58	45
10218	6	0	0
29914	589	540	486
105376737	0	0	0
105376739	0	0	0
105376740	0	0	0
57540	0	0	1
112268221	0	0	0
101929181	0	0	0
26232	298	376	299
93611	267	237	275
26270	73	64	67
10459	595	661	612
374946	0	2	0
57085	606	458	480
284498	85	78	70
102724659	0	0	0
4524	258	299	290
1185	525	528	514
100379251	89	86	81
4878	12	12	9
4879	0	0	0
26829	0	0	6
90231	820	734	687
5351	1203	1334	1293
9927	2942	3103	3113
60672	334	360	412
102466982	4	0	2
943	5	1	4
102465836	5	3	1
7133	128	132	141
100616438	0	0	0
107984917	0	0	0
55187	872	1074	1041
677885	6	7	0
105376744	0	0	0
9249	50	89	92
102466722	0	0	0
343066	0	0	0
126767	0	0	0
93190	0	0	0
390999	0	0	0
65121	0	0	0
105376745	0	0	0
440560	0	0	0
343069	0	0	0
65122	0	0	0
400735	0	0	0
343071	0	0	0
441871	0	0	0
440561	0	0	0
101929983	0	0	0
649330	0	0	0
441873	0	0	0
649324	0	0	0
440563	0	0	0
645354	0	0	0
645359	0	0	0
101060301	0	0	0
343070	0	0	0
400736	0	0	0
391003	0	0	0
343068	0	0	0
391002	0	0	0
645382	0	0	0
653619	0	0	0
729528	0	0	0
645414	0	0	0
391004	0	0	0
645425	0	0	0
126755	0	0	0
102724856	0	0	0
107984918	0	0	0
10630	0	0	0
107984919	0	0	0
105378612	0	0	0
105376756	0	0	0
7799	536	598	572
23254	92	92	79
107985467	0	0	0
107985468	0	0	0
105376762	0	0	0
105376759	0	0	0
107985469	0	0	0
200197	25	33	42
55092	435	373	377
727684	0	4	0
114827	44	40	52
101927417	5	8	7
101927441	26	36	23
79180	7670	7644	7544
11330	22	30	23
63036	0	0	2
105376767	0	0	0
51032	6	1	7
842	168	215	220
23341	248	353	326
107397391	0	1	0
79814	5	21	13
84301	692	761	732
6248	80	82	95
23207	1217	1122	1167
284723	28	26	9
110806303	1	0	3
388595	0	0	0
54751	1349	1425	1283
440567	127	91	134
729614	67	69	81
23013	1250	1393	1517
7709	481	529	458
149563	0	0	0
27129	7	5	12
1187	3	2	0
1188	1	5	1
348487	109	136	126
1969	3393	4387	4372
101927479	208	129	111
128272	493	574	549
101927546	49	39	34
79363	44	57	69
54455	439	422	460
26099	2091	2096	1956
374955	1119	1116	1089
55707	976	959	901
107984921	14	10	9
114819	64	65	77
26871	0	0	1
107985757	0	0	0
100132147	2	11	9
107985758	0	0	0
7195	0	0	0
55672	865	1027	913
105376794	299	291	228
84809	157	146	126
11209	55	49	56
107985736	18	7	8
26869	0	0	1
107985759	0	0	0
284729	1	0	1
100189045	0	0	0
6060	0	1	6
11223	58	36	48
100500876	0	0	0
100189298	0	0	0
112267871	7	24	21
7193	2	4	7
100189183	0	0	0
105376805	120	131	83
791226	0	1	0
26870	0	1	0
9696	173	152	146
4237	99	90	89
105376806	34	25	33
23400	1029	958	948
6390	1411	1323	1339
11240	477	541	555
105376808	0	0	0
400743	9	16	19
29943	152	88	114
51702	25	67	46
100616188	1	0	0
23569	6	2	0
353238	0	0	4
55920	2322	2158	2207
55160	242	259	260
107984028	0	0	0
81569	0	0	0
105376809	0	0	0
105376812	0	0	0
101927876	0	0	0
84966	0	0	0
105376814	0	0	0
127707	0	0	0
5081	0	0	0
80834	0	0	0
8659	222	357	302
100616120	0	0	0
100302276	0	0	0
126917	1607	1518	1555
105376815	0	2	4
23352	4695	5259	5125
101927895	93	89	71
23065	1803	1868	1825
51154	1194	1218	1105
246181	9	4	11
22977	8	18	12
100506730	81	66	88
8574	841	789	629
54896	508	416	381
832	3081	3099	2889
105376819	0	0	0
105376818	0	0	0
105376817	0	3	0
105378614	0	0	0
440574	870	751	573
100532736	797	788	675
644068	34	55	33
4681	350	416	386
3362	1	7	2
255104	372	387	379
54546	0	0	0
105376823	2	0	0
23252	387	461	406
30814	0	0	0
5320	0	0	0
5322	0	0	0
26279	0	0	0
64600	0	0	0
391013	0	0	0
127733	0	12	6
101928017	0	0	0
105376825	0	2	0
105376826	0	0	0
105376827	0	0	0
105376828	0	0	0
127731	0	0	0
339505	1	0	0
55450	1074	939	1101
79594	760	630	550
163933	0	0	0
978	942	1064	1025
65018	482	509	536
102464833	31	32	32
100861548	682	673	694
1650	4575	4771	4691
57576	20	41	27
400745	1499	1325	1176
112268222	598	571	606
50809	2564	2572	2537
8672	1156	1374	1334
105376830	0	0	0
105376829	0	4	0
100302155	0	0	0
1889	4959	4844	5002
100506801	41	12	8
105376832	0	0	0
84224	187	226	168
249	0	0	0
105376834	0	0	0
5909	135	130	150
84196	1164	1221	1236
401944	101	115	129
3339	934	1304	1248
23436	0	0	0
10136	0	0	0
101928043	10	14	15
29092	219	257	234
112268223	2	4	1
998	3544	3350	3239
54361	8	12	27
105376845	2	3	0
105376850	1	0	0
107985377	0	0	0
100616433	0	0	0
105376856	0	0	0
9923	658	623	607
2046	0	0	0
102466615	0	0	0
712	0	0	0
714	0	0	0
713	0	0	0
2048	260	208	219
100616391	0	0	0
100422914	7	4	7
646262	0	0	0
729059	0	4	2
23028	2346	2435	2463
100422866	0	0	0
7798	2723	2829	2693
3352	204	195	195
100996511	36	42	37
10236	4922	5343	5290
80818	266	262	257
148898	47	36	36
6920	28	44	32
55616	278	365	272
1870	230	327	319
101928163	6	8	7
105376859	12	16	27
3399	77	189	197
107984928	2	2	0
259283	0	0	0
6135	10381	10045	10042
6924	1574	1631	1655
100506963	112	163	158
57095	606	698	562
105376860	147	194	154
11313	1324	1298	1235
2582	920	858	808
3155	232	248	235
105376861	1	3	0
2517	228	237	244
1269	0	2	0
107984929	0	0	0
100616492	0	0	0
55629	1671	1823	1768
10772	2930	2920	2761
105378615	0	0	0
105376863	1	0	0
107984931	0	0	0
127294	1	0	1
107985737	0	0	0
105376864	1	0	0
58985	99	111	119
163702	169	136	144
284632	0	0	0
105376871	5	11	8
57822	26	20	13
90529	217	257	223
57185	393	565	587
100750325	1	3	7
11123	356	381	400
100506985	10	21	22
400746	4	7	4
10250	1539	1455	1572
25932	4696	5448	5001
105376876	0	0	0
864	543	619	677
102465437	0	0	0
107984932	0	0	2
105376878	26	24	55
100616365	0	0	0
105376879	0	0	0
25949	659	725	636
57035	644	783	703
105376882	0	0	0
6007	20	26	10
23585	1019	975	990
6006	493	478	458
55219	349	317	301
26119	411	388	402
57134	17	36	21
57190	1993	2060	2186
56181	421	385	379
646471	105	102	72
79000	190	244	193
164091	668	671	634
3925	4175	4278	4349
100500808	308	310	314
105376885	0	0	0
5051	247	248	227
101928216	8	8	2
2134	11	17	9
7780	0	0	2
105376910	1	0	0
84676	0	0	0
149420	142	201	216
105376886	0	0	0
79927	1	4	8
110806296	0	1	0
51042	248	238	192
10256	334	300	338
378807	0	0	0
101928303	1	1	0
64793	933	1008	1011
83442	2908	2648	2498
91544	191	205	200
1043	1	0	0
55057	12	22	17
257101	0	0	0
79727	0	0	0
79947	526	534	657
101928324	5	6	3
3151	3717	3227	3291
6195	1356	1315	1308
100302190	0	0	0
105376888	2	0	0
101928728	24	16	17
8289	1605	1603	1839
55650	370	352	359
84243	1892	1789	1945
2810	11482	8717	8746
54707	745	701	604
63906	286	285	220
10726	3334	2992	3135
8431	4	1	0
126695	61	51	69
388610	6025	7411	7498
115572	41	57	52
101928391	3	0	7
6548	720	652	678
102723760	0	0	0
105376890	0	0	0
23038	400	531	547
84065	439	406	464
644961	41	18	30
84958	201	190	158
9064	306	327	317
8547	1	1	1
388611	9	4	4
2827	98	91	75
10163	2188	2400	2445
105376892	0	0	0
27245	405	414	425
2268	0	3	0
111216282	0	0	0
2537	153	119	126
199870	177	145	165
23673	434	437	388
5511	920	836	912
677774	0	1	1
9473	140	121	139
6118	1194	1102	1032
27293	357	404	353
55113	168	144	146
2140	422	488	432
5724	17	20	16
22826	2390	2542	2451
93974	1301	1318	1326
83667	501	872	921
54797	344	356	334
65979	1133	1108	1113
1104	1980	1787	1671
8420	1253	1177	1062
6080	25	18	30
26768	46	28	18
54952	533	508	451
85028	241	167	185
692212	15	12	7
677838	37	22	34
677825	6	10	8
692073	28	14	30
115273	51	47	48
6883	395	397	433
105378616	8	14	17
26824	1	0	0
10691	405	426	464
51441	1545	1441	1205
4985	1	5	3
2035	821	872	770
399474	229	239	259
6429	1643	1545	1401
51102	272	287	336
10076	141	138	115
101928460	0	0	0
107984933	0	0	0
107984934	0	0	0
101929406	0	0	0
105378617	0	0	0
105378618	0	0	0
4146	10	19	7
100129196	15	22	19
7805	5	11	10
100616164	0	0	0
105378620	0	0	0
105378621	0	0	0
105378622	10	5	4
400748	1	0	0
9672	1250	1209	1238
9698	1547	1811	1640
692234	9	2	8
692235	5	9	5
692200	0	0	0
107984935	3	2	3
79570	4	2	14
9410	1122	1033	1042
51538	550	621	642
2170	28	26	28
105378623	0	0	0
107985470	1	0	0
347735	469	424	451
105378625	0	0	0
105379772	0	0	0
149086	0	0	0
284551	0	0	0
105378626	82	106	114
64129	1023	1161	1051
3061	96	93	93
553115	892	715	768
107985471	66	56	60
105378628	2	0	0
1307	59	59	45
101929444	1	3	6
576	243	348	393
100423028	0	0	0
90853	1116	978	1081
8073	4782	5424	5235
10657	4202	4165	4273
55116	543	442	379
100847018	0	0	0
23633	1608	1703	1639
200081	1627	1529	1486
79140	42	56	20
56063	89	105	76
55721	86	118	117
149069	29	36	26
8668	3996	3723	3527
339483	72	57	48
84734	22	14	10
3932	1	1	1
3065	2069	1979	2007
65108	307	301	298
105378629	2	7	0
81629	62	70	84
100128071	17	18	30
55108	889	960	824
728116	44	34	25
653121	205	230	201
102723870	10	4	14
339487	499	509	467
5928	3895	3963	3869
81493	930	934	884
57648	2112	1955	2141
8565	4256	4765	4775
64766	684	750	597
252995	4	4	5
105378631	0	6	0
3208	34	35	28
113452	560	451	452
105378632	2	3	0
127544	477	506	508
204	3845	4069	4091
105378635	0	0	0
113451	71	103	95
112268224	0	0	0
55223	239	228	239
149076	298	274	268
127550	2	0	0
1912	3282	3581	3488
100500853	160	178	167
101929464	12	8	5
7579	202	218	247
114784	0	2	0
105378638	0	0	0
127540	0	0	0
402779	0	0	0
84970	0	0	0
105378639	0	0	0
105378640	0	0	0
105378641	0	0	0
693137	0	0	0
105378642	0	0	0
2709	2	5	10
127534	0	1	1
2707	433	400	421
2701	0	0	0
113444	772	675	651
58512	101	67	74
653160	78	66	48
100506144	449	364	359
9204	298	316	284
79830	476	448	406
105378644	0	0	0
6421	7621	6968	7207
9202	1101	1183	1062
100861513	27	26	21
79932	998	1040	960
23154	1015	1000	910
339488	74	55	55
105378645	10	2	3
5690	4763	4026	4036
105378646	0	0	0
127703	548	528	486
63967	969	952	872
192670	430	459	430
26523	857	894	885
192669	629	551	536
105378647	0	0	0
27285	3	0	1
54936	472	419	377
1296	19	29	19
27095	951	878	851
55700	3859	3105	3482
9967	3223	3369	3214
79729	200	182	168
55194	129	164	111
83931	401	515	458
84967	414	405	412
127700	29	18	24
109616970	0	0	0
107984940	0	0	2
64960	1390	1415	1310
1441	0	0	0
107984941	0	0	0
105378648	0	0	0
2899	0	0	0
100422898	0	0	0
107984942	0	0	0
728431	32	48	37
80149	814	588	541
102465438	7	4	8
64769	765	728	773
100847010	2	1	3
105378649	27	37	18
79753	313	393	369
7802	4	4	3
29889	1281	1162	1121
284654	2	1	0
54955	531	648	613
55143	1349	1268	1350
284656	352	342	306
105378650	0	0	0
149175	440	372	378
79693	508	463	441
127687	456	425	355
4520	500	531	623
3633	461	512	533
105378651	19	21	22
10946	2504	2374	2351
2275	214	190	194
51118	937	863	867
5453	0	1	0
107985103	0	1	0
105378653	0	4	1
100500801	0	0	0
105378655	0	0	0
105378654	0	0	0
339442	0	0	0
105378657	0	0	0
107984943	0	0	0
105378656	0	0	0
105378658	0	0	0
105378660	0	0	0
64121	631	650	623
100527950	347	344	301
26292	343	339	301
105378663	1	1	0
81025	4	6	1
54933	13	16	18
105378662	10	3	5
79647	1081	1120	1140
4725	1053	903	942
23499	6884	7087	6918
643314	965	1075	1077
105378950	0	1	2
353500	69	79	76
192217	71	77	78
728448	44	41	34
8761	2395	2099	2324
101929516	400	395	368
677834	9	2	2
26508	205	273	245
84618	7	3	0
51440	49	61	75
10450	756	874	901
656	153	211	191
64064	53	40	68
105378666	0	2	0
101929536	4	10	0
105378951	0	0	2
107985740	0	1	0
105378665	0	0	0
105378667	0	0	1
54802	412	425	409
4610	50	61	55
105378668	5	7	3
84879	110	124	90
105378669	1	1	0
10487	6972	6618	6221
5538	4874	4622	4373
105378671	0	0	0
6018	368	378	397
127391	1	0	0
10269	1685	1744	1645
1298	26	37	35
107984945	0	0	0
64744	461	538	531
65243	431	552	540
339559	109	129	112
105378672	8	11	13
64789	293	218	236
127396	74	79	65
105378673	0	0	0
9783	409	441	455
105378675	13	6	5
105378674	0	0	0
100130557	78	77	58
4802	415	494	489
407034	0	0	0
407031	0	0	0
9132	33	29	43
105378676	0	0	0
163732	33	27	24
1503	1640	1584	1617
100507178	98	84	86
200172	80	36	70
22955	602	573	614
100132074	15	26	12
101929901	1	0	0
105378678	13	10	8
1907	45	59	35
59269	127	94	121
2981	0	0	0
2980	0	0	0
22887	852	810	786
284716	464	398	423
84217	2	6	9
728621	85	86	74
79717	529	477	376
10465	526	437	428
4904	13613	12933	12543
149461	0	0	0
64175	812	807	763
79078	130	136	118
105378683	5	7	3
100129924	14	9	4
107984946	1	1	4
374969	116	113	74
114625	225	181	158
51058	163	191	153
339539	2	0	0
6513	2949	2686	2509
440584	21	15	21
440585	4	1	1
10969	2193	2075	1959
102465439	4	2	2
149465	15	8	6
105378685	0	2	1
128218	3	2	4
149466	1	0	0
7075	1	7	3
4352	10	8	10
105378687	18	38	41
991	4082	3849	3650
64834	2437	2016	2109
102466723	2	4	1
112268225	32	33	39
112950	638	694	676
107984947	93	99	114
23334	1017	1013	1091
100873952	33	30	40
102465440	2	1	2
81888	345	308	305
5792	8143	9176	8770
9682	910	1165	1164
100132774	139	150	126
6487	127	126	122
101929592	0	0	2
102464830	0	0	0
9048	35	25	44
105378688	4	16	14
101929609	50	54	55
9670	651	585	576
1802	571	524	535
533	875	934	845
8704	817	824	808
149473	163	165	138
6536	437	492	480
107984948	32	49	28
128209	45	28	60
105378952	0	0	1
55929	486	414	397
79033	588	611	548
100874278	13	9	18
106635545	0	0	0
55182	1044	1005	1092
107984951	1	0	0
100847089	0	0	0
107984950	347	337	308
79639	81	92	92
109623472	0	0	0
339541	15	10	17
105378690	8	1	4
26828	2	0	0
26830	0	0	1
11004	1371	1606	1340
109623476	2	5	6
6202	8541	8696	7911
26811	22	22	19
94161	12	12	10
94162	25	9	6
94163	11	17	7
266675	13	19	14
1263	227	252	221
343521	59	44	44
149478	37	18	17
107984952	14	12	0
8643	17	27	15
8891	387	353	336
79654	798	666	714
7389	1289	1153	1139
57643	144	146	146
105378691	10	6	13
400752	10	6	13
84842	33	55	54
4595	282	264	267
114034	318	284	256
10420	45	82	60
126661	90	74	103
25974	1650	1690	1483
5052	8198	8080	7454
10327	1178	1214	1203
4678	2586	2500	2538
149483	35	37	48
60313	1237	1642	1517
728963	9	2	6
51249	913	1031	927
3652	291	273	323
105378693	0	0	0
23139	1481	1528	1417
105378694	0	0	0
110117499	119	116	136
8503	136	152	152
101929626	14	10	11
10103	189	212	180
110117498	0	0	0
55624	1682	1637	1609
541468	0	1	4
8438	385	435	376
10489	913	804	788
7388	2940	2638	2625
387338	428	376	419
2166	246	155	186
729041	49	39	30
101929651	3	7	5
127343	1	3	2
105378696	0	0	0
100507423	63	71	63
148930	0	0	0
8569	605	632	676
148932	280	237	266
105378697	0	0	1
64756	545	612	524
374973	0	0	1
100130197	57	51	52
9813	1513	1520	1588
105378698	4	3	2
105378699	0	0	0
1580	0	0	0
163720	0	0	0
1579	0	0	0
260293	6	1	1
199974	1	0	5
284541	0	0	1
105378701	10	13	24
100874253	17	4	7
10158	0	5	1
6886	0	3	2
6491	1023	1151	1115
51727	2585	2757	2604
102724077	5	0	4
2301	0	5	0
84793	50	49	54
2306	22	31	14
107984953	0	0	0
388630	13	17	10
105379778	0	0	0
391037	0	0	0
200010	0	0	5
54558	115	141	136
84871	0	0	0
79656	0	0	0
105378706	0	0	0
101929721	0	0	0
100874313	0	0	0
107984954	0	0	0
105378708	0	0	0
1996	0	0	0
105378709	0	0	0
107984955	0	0	0
105378711	0	0	0
105378710	0	0	0
105378712	0	0	0
63950	30	13	36
105378714	0	0	0
11124	1103	1105	1112
105378715	0	0	5
112268262	1	5	2
1031	638	537	508
100616189	0	0	0
102466656	0	0	0
284546	0	1	0
105378716	0	0	3
26994	1523	1606	1511
22996	142	147	134
105378717	0	0	0
102724097	1	1	0
2060	1132	1005	1027
105378720	8	1	8
441884	0	0	2
105378719	0	3	0
114883	1226	1348	1350
4898	4542	4925	4549
105378721	325	302	313
100313892	26	27	24
5865	2508	2664	2637
51060	1860	1757	1738
112970	112	90	90
104355143	0	2	0
91408	965	1072	1021
107984956	0	0	0
9372	579	571	567
200014	1042	921	840
4998	407	509	479
84950	631	610	655
23318	796	888	1009
105378723	0	0	0
2882	20	20	13
348378	2	1	0
65260	1233	1080	989
79699	671	719	721
440590	355	344	326
55268	486	420	415
6342	1321	1283	1169
127435	1	0	0
6512	0	0	0
105378724	0	0	0
1376	385	384	405
54987	512	367	374
4116	700	626	656
100507564	29	24	20
7804	1398	1509	1490
105378728	42	46	58
105378726	390	343	338
105378732	8	5	2
105378731	8	18	7
105378730	5	4	6
107984957	0	0	0
163742	0	0	0
105378733	0	0	0
63948	0	0	0
148979	0	0	0
55706	1536	1677	1538
54432	438	390	296
1733	3	2	0
51668	404	434	382
115353	922	1014	941
388633	1	0	0
9528	1410	1474	1359
127428	323	346	293
100616315	0	0	0
200008	0	4	0
606495	243	211	270
51253	1278	1334	1236
23648	350	342	373
619518	6	6	4
105378735	0	0	0
105378734	0	0	0
26027	22	17	29
338094	9	3	8
100527960	378	369	379
374977	0	1	1
7268	381	372	381
25973	56	89	69
55001	177	166	177
163747	4	0	8
1718	7458	6843	6713
107984958	32	29	27
107985760	0	0	0
105378736	0	0	3
199964	35	31	36
7809	3	0	5
255738	83	62	52
23358	1893	2253	2007
100507634	37	48	48
109729135	0	0	0
100616272	0	0	0
105378740	0	0	0
105378739	0	0	0
105378738	0	0	0
105378737	0	0	0
105378741	0	0	0
105378744	0	0	1
8613	856	1033	1009
101929935	0	0	1
5563	561	687	751
199920	3	7	0
731	0	0	0
732	1	0	0
105378745	0	0	0
112267900	0	0	0
1600	0	0	0
105378748	0	0	0
105378747	0	0	0
101926890	0	0	0
105378746	0	0	0
107984960	0	0	0
115209	246	255	238
4070	1688	1702	1590
114803	842	820	741
112268263	33	44	22
105378751	97	138	112
3725	1617	1626	1562
100131060	3	5	0
101926907	23	35	18
107984961	0	0	0
105378753	5	2	6
101926925	1	1	0
729467	0	0	0
105378756	29	24	15
55277	93	75	95
100616409	0	0	0
101926944	0	0	3
105378758	0	0	0
51361	592	681	600
1573	115	137	111
127795	0	0	1
105378760	0	0	0
107984963	0	0	0
105378761	0	0	0
107984962	0	0	0
107985379	0	0	0
105378763	0	0	0
101926964	0	0	0
105378764	0	0	0
100996570	0	0	0
4774	308	255	291
645030	0	0	0
105378766	0	0	0
107984964	0	0	0
414927	0	0	0
83941	292	332	236
10207	793	853	838
113219465	0	0	0
107984965	0	0	0
100422902	0	0	0
100422946	0	0	0
54596	1	0	2
163782	0	0	0
105378768	0	0	1
7398	1952	2394	2238
85440	981	1068	992
27329	0	0	0
84938	220	315	243
105378769	0	0	0
199899	4	6	2
105378770	0	0	0
100996301	39	50	36
27022	30	33	25
102464823	0	0	0
29929	365	312	358
23421	381	342	356
102724319	0	1	0
84455	66	115	80
79469	6	1	2
5236	927	1049	1050
105378771	0	0	0
4919	580	594	572
105378772	0	0	0
101927034	1	0	0
105378773	2	2	0
148581	0	0	0
105378774	0	0	0
107984966	2	1	8
57685	469	459	498
100616338	0	0	0
55225	611	667	575
3716	1595	1670	1558
101927084	0	0	0
100500854	0	0	0
406893	0	0	0
205	1064	1009	1020
9829	193	206	189
102724416	0	0	2
112268227	0	3	0
3953	224	254	218
54741	1240	1311	1325
5142	96	100	99
101927139	0	0	0
105378776	0	0	0
84251	0	0	0
100422871	0	0	0
200132	4	3	2
10022	0	0	0
79819	35	71	71
57708	1291	1373	1445
23169	525	458	425
400757	3	0	0
149233	0	0	1
3595	11	5	6
105378779	1	0	0
26135	7571	7431	7596
102724481	0	0	0
105378780	0	4	0
1647	635	706	634
55970	2440	2719	2573
105378781	0	4	1
100289178	12	21	11
9077	50	39	52
79971	1167	1156	1197
100302279	0	0	0
105378782	0	0	0
6121	1	3	2
55635	2175	2392	2232
101927220	0	0	0
107984967	0	0	0
105378783	0	0	0
105378785	0	0	0
105378787	0	0	0
105378786	0	0	0
105378788	0	0	0
105378789	0	0	0
105378790	0	0	0
57554	2	4	2
5301	0	0	0
105378792	0	2	0
55631	652	624	606
9295	3345	3409	3446
81573	461	401	412
11147	160	167	158
102724548	7	8	9
1491	139	296	323
105378793	0	0	0
105378794	0	0	0
101927244	0	0	0
102724572	0	0	0
5733	0	0	0
107985517	0	0	0
100132618	184	185	149
9406	1672	1866	1790
406962	7	4	7
100852410	2	3	2
105378795	0	0	0
257194	0	0	0
100852409	0	0	0
105378797	0	0	0
105378796	0	0	0
105378798	0	0	0
339468	0	0	0
105378799	0	0	0
105378800	0	0	0
101927295	0	0	0
105378801	0	0	0
107985391	0	0	0
105378802	0	0	0
109729166	0	0	0
127255	13	17	25
100526835	46	50	48
8790	253	299	252
51086	2	5	1
105378805	0	0	0
105378803	0	0	0
127254	4	2	1
101927320	0	0	0
1429	1100	1228	1336
127253	674	693	585
431707	0	0	0
204962	6	7	17
34	1222	1206	1111
1744	85	75	76
5876	1454	1232	1148
692085	13	14	32
26805	53	26	32
26804	34	16	21
4438	0	0	4
127247	0	0	0
105378806	0	0	0
101927342	0	0	0
256435	12	39	35
105378807	0	0	0
110806286	0	0	0
81849	11	19	10
102466995	0	0	0
10026	898	1042	955
105378808	1	7	5
26289	2	1	0
26009	1006	1055	1040
23032	1027	1211	1153
374986	504	578	506
374987	47	58	40
91624	496	663	571
8880	3066	3199	3005
11080	1291	1323	1283
54810	1	3	2
107984997	1	1	0
149047	0	0	0
5737	0	0	0
10964	0	1	0
