GeneID	perturbed	perturbed	perturbed	perturbed	perturbed	perturbed	control	control	control	control	control	control
148413	496	148	407	252	154	147	288	200	267	492	214	220
55052	1353	386	1298	708	430	477	917	550	507	1172	544	617
107984868	0	1	2	1	0	0	2	0	1	1	1	1
441869	21	5	13	12	3	4	5	8	8	13	5	12
105378585	10	3	18	7	3	5	1	1	4	9	7	13
643965	0	0	0	0	0	0	0	0	1	0	0	1
102724312	28	10	18	11	7	8	9	8	16	17	9	12
107985729	5	1	6	2	1	5	7	2	3	6	8	3
64856	143	68	97	130	90	71	55	86	127	124	122	93
219293	28	13	23	12	10	13	31	11	14	40	20	17
83858	193	111	126	178	95	109	91	141	195	289	205	174
55210	327	123	216	246	124	135	102	143	219	257	249	201
339453	14	4	5	11	5	5	2	4	7	10	3	4
29101	2600	645	2243	1198	889	941	1400	907	1003	2065	1015	1230
643988	133	65	48	109	128	101	25	58	176	129	112	146
105378586	6	3	3	1	3	3	2	2	5	3	4	5
142678	183	66	138	120	127	97	77	65	170	234	113	172
8510	19	4	9	11	14	11	7	7	24	23	10	15
984	961	294	956	548	414	399	703	391	513	1021	454	593
728661	1595	411	1273	723	416	544	986	530	588	1332	569	827
8511	2	1	2	4	8	6	1	1	10	6	1	6
728642	540	149	533	309	210	231	401	200	289	634	259	386
9906	812	217	665	387	233	268	507	261	294	727	300	413
112268218	66	24	41	39	33	37	30	22	46	54	40	43
65220	1387	373	1030	759	557	615	714	449	738	1209	574	839
2782	10095	2662	9915	4499	3414	3729	6378	3455	4231	9141	3487	5446
105378949	1	0	2	2	0	0	1	0	2	2	0	2
163688	6	2	2	3	0	0	3	2	4	12	4	6
339456	79	16	39	40	31	40	18	26	44	38	45	50
85452	5	0	1	1	1	1	1	0	2	2	2	2
107984872	0	0	2	1	1	0	0	0	0	0	1	1
105378589	4	0	5	5	4	1	7	2	5	19	2	8
2563	2	0	4	5	6	3	1	2	9	10	5	7
105378590	2	0	2	2	1	0	0	0	3	3	1	1
105378591	0	0	0	0	0	0	0	0	1	1	0	2
5590	648	199	473	361	277	279	294	237	333	553	258	403
100506504	18	5	21	12	14	14	18	11	14	24	12	15
199990	202	82	150	156	147	125	93	99	157	254	146	156
112268219	36	13	31	23	11	16	21	17	26	57	29	21
105378593	1	0	0	0	2	0	1	0	1	0	0	1
6497	1548	427	1422	723	529	564	1189	558	640	1346	585	801
79906	46	11	18	22	16	12	22	20	22	51	15	28
100129534	6	7	7	7	0	1	12	8	2	9	6	2
11079	1409	426	1400	686	394	536	1078	597	584	1310	515	660
5192	357	112	287	184	92	101	203	147	167	332	146	129
9651	2	2	3	0	0	0	0	0	0	1	3	7
55229	265	88	196	152	172	138	136	97	144	243	142	189
388585	0	0	0	0	0	0	1	0	0	0	2	1
115110	0	0	1	0	1	0	1	2	1	2	0	0
8764	1	0	2	1	1	0	1	1	4	4	1	1
100996583	1	0	1	0	0	0	0	0	0	0	0	0
127281	650	224	465	405	241	256	428	337	373	645	328	359
79258	65	22	48	41	25	18	40	29	41	75	20	31
105378597	2	0	4	2	1	1	2	1	1	9	1	1
100287898	8	1	3	2	1	2	2	3	7	14	5	8
105378603	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	1	0
440556	0	0	0	0	0	0	0	0	0	1	0	0
63976	15	3	3	6	4	2	7	2	8	10	8	9
100422968	0	0	0	0	0	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	0	0	0	0	0	0
107984909	0	0	0	0	0	0	0	0	0	0	0	0
105378605	0	0	0	0	0	0	0	0	0	0	0	0
105378604	0	0	1	0	1	1	2	0	0	0	0	0
27237	155	66	109	117	56	67	73	85	136	185	103	126
1953	164	49	118	99	60	69	129	86	134	233	112	146
105378608	0	0	0	0	0	0	0	0	0	0	0	0
693135	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0	0	0	0
127262	759	198	834	345	332	349	441	243	324	652	262	426
49856	282	93	217	160	106	111	109	97	157	273	127	180
7161	120	21	72	63	70	53	34	32	86	78	41	64
105378610	0	0	0	0	0	0	0	0	0	1	0	0
105378609	0	0	0	0	0	0	0	0	0	0	0	0
57212	1186	359	1094	611	441	485	646	456	596	1214	582	698
148870	13	5	9	3	3	7	1	4	7	12	6	14
388588	5	1	0	4	2	7	1	1	6	5	5	2
57470	2081	507	1818	912	850	945	1105	665	819	1614	713	1080
9731	565	130	588	244	181	201	347	168	223	490	177	288
1677	220	74	220	101	54	78	209	96	93	221	83	107
107984910	2	0	0	0	0	0	0	0	0	1	0	0
339448	614	146	476	267	319	277	438	211	205	406	221	339
100133612	0	2	3	2	0	1	2	1	0	2	1	0
728716	0	0	0	0	0	0	0	0	0	0	0	0
105376672	1	0	0	0	0	0	0	0	0	0	0	0
105376673	0	0	1	0	0	0	0	0	0	0	0	0
284661	0	0	2	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0	0	0
55966	456	75	334	113	99	122	78	112	30	49	101	142
105376680	0	0	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0
105376681	1	1	1	0	0	0	0	0	0	0	0	0
105376682	1	0	0	1	1	1	0	0	2	0	1	0
107984911	0	0	0	0	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	0	0	0	0	0	0
261734	153	58	106	122	70	54	75	68	78	149	69	78
8514	193	64	114	133	82	77	113	81	119	180	91	144
26038	27	15	21	12	26	16	16	4	30	56	10	37
105376687	2	1	0	1	1	1	0	0	2	2	0	1
6146	22270	5300	24722	9278	7311	8361	19660	7005	7233	22062	6812	10455
107985733	131	18	128	48	38	53	108	42	53	125	36	62
102724450	4	0	3	1	0	2	1	2	0	3	2	4
388591	60	30	64	35	30	20	42	20	31	92	37	48
23463	4968	1344	5432	2432	1217	1393	4119	2005	1693	4608	1731	2182
148645	128	42	128	81	47	82	73	38	93	154	61	79
390992	112	59	125	120	40	37	97	50	135	345	50	68
387509	327	93	283	201	138	152	142	138	182	335	127	218
11332	1342	367	881	670	526	528	494	459	745	962	621	698
54626	7	3	19	7	3	6	9	2	3	11	0	9
83715	149	52	47	91	89	89	52	51	123	163	83	129
100422975	0	0	0	0	0	0	0	0	0	0	0	0
8718	32	8	13	14	36	20	17	15	37	54	30	37
57449	327	107	198	160	188	170	129	95	267	324	178	254
79707	452	130	520	242	143	137	464	220	163	531	196	216
80835	1	1	0	1	3	3	0	1	0	3	0	0
107984912	0	0	0	0	0	0	0	0	0	1	0	0
3104	143	43	149	110	89	102	63	51	118	190	106	114
9903	396	114	330	182	175	112	219	142	161	361	187	201
107984913	2	2	0	0	0	0	1	1	0	0	0	1
148479	1334	375	1455	632	467	531	960	474	566	1451	528	742
90326	349	87	271	182	170	151	170	105	201	298	171	192
55735	1813	498	1739	880	463	551	1134	624	733	1596	635	896
100505887	0	0	0	0	0	0	0	0	0	0	0	0
110841581	20	9	16	9	4	5	13	4	17	36	8	8
23261	1625	361	1591	648	481	545	1037	470	517	1375	500	734
105376692	0	0	0	0	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0	0	0	0	0
105376689	61	12	28	28	34	31	28	16	37	96	38	60
9341	1762	352	1948	624	590	666	1340	539	576	1587	469	957
8863	604	138	593	279	205	300	265	156	157	471	172	429
10911	0	0	1	1	0	0	1	0	1	2	0	0
3604	1	0	0	0	0	0	0	0	1	1	0	4
11315	5289	1394	5414	2407	1855	1840	3437	1933	1923	4224	1880	2594
54206	2049	417	2037	678	512	712	1403	642	420	1034	550	849
107984915	0	0	0	0	1	0	0	0	0	0	0	0
102724539	1	0	0	0	0	0	1	0	0	1	0	0
105376695	0	0	0	0	0	0	0	0	0	0	0	0
50651	33	16	15	16	26	26	4	15	24	25	19	22
473	1686	453	1553	730	564	646	985	532	625	1607	574	955
102724552	1	0	1	0	0	0	0	0	0	2	1	0
106632271	0	0	0	0	0	0	0	0	0	0	0	0
2023	68291	14778	48197	27328	22098	24726	28613	18351	23572	44632	19037	29970
102465436	1	0	1	1	1	1	1	0	1	1	0	1
100505975	4	1	11	4	2	2	6	1	2	11	6	2
112268261	1	1	1	0	0	0	1	0	1	1	0	1
765	0	0	0	0	0	0	0	0	0	0	0	0
155184	0	0	0	0	0	0	2	2	0	3	0	0
6518	8	2	6	2	2	2	0	2	1	2	5	2
80045	146	25	118	54	65	73	77	40	44	96	54	94
106614088	153	47	104	66	89	71	129	35	110	313	121	209
407040	1	1	0	0	0	1	1	0	1	1	0	2
102724571	29	11	57	14	7	17	17	7	14	31	18	19
9563	943	236	851	407	389	457	374	259	403	679	272	619
80176	92	22	87	53	37	40	53	35	30	73	25	51
100506022	1	0	0	0	2	1	0	0	0	2	1	2
84275	916	219	955	333	407	336	652	287	333	699	282	443
199953	199	72	117	138	129	95	70	99	127	158	108	132
107985734	6	3	6	4	5	5	1	4	3	5	6	7
105376712	0	1	0	0	0	0	0	0	0	0	0	0
5293	647	220	457	382	378	385	339	221	402	653	287	475
644997	0	0	0	0	1	0	0	0	0	0	0	0
101929074	123	38	81	76	32	51	56	40	77	112	49	75
22883	3300	941	2806	1666	1331	1365	1521	1096	1372	2962	1183	2004
56998	1564	372	1189	620	424	593	662	514	511	1077	553	720
105376717	16	5	8	16	13	14	5	7	14	11	9	15
84328	935	203	1163	347	340	354	694	307	277	769	260	470
64802	204	46	270	86	60	59	225	48	86	220	45	78
113391335	1	0	2	0	2	1	0	0	1	1	0	1
100847055	0	0	0	0	0	0	0	0	0	0	0	0
116362	95	20	91	34	33	38	61	23	44	74	32	50
10277	3642	905	3207	1432	963	1251	2326	1214	1069	2870	1067	1732
23095	4744	1097	5479	1769	1251	1410	3119	1453	1256	4082	1116	2531
105376725	2	0	0	0	0	0	0	1	0	2	0	0
5226	10973	2623	8874	4684	3714	4330	5539	3697	3862	8101	3899	5464
100526739	111	28	123	46	25	29	98	42	36	129	35	54
378708	144	38	168	61	27	39	119	55	47	160	48	71
1325	10	1	8	6	5	5	3	4	3	6	4	6
1676	3631	890	4244	1397	1465	1448	2069	1100	1235	2595	1165	2099
5195	284	82	172	193	143	138	101	98	178	249	126	187
54897	70	20	44	47	24	20	27	34	26	58	33	44
105376733	0	0	0	0	0	0	0	0	1	0	0	0
105376735	0	0	0	0	0	0	0	0	0	0	0	2
148345	9	1	4	2	0	5	0	1	4	5	2	3
23435	8354	2192	8196	3615	1874	2013	8928	3371	2353	8764	3198	3366
10747	18	5	30	11	10	13	17	7	11	33	6	17
6723	1273	380	825	748	572	607	458	468	658	900	580	689
5394	2192	571	2197	1048	429	527	2099	842	578	2172	771	900
105376736	27	11	29	17	16	11	26	9	13	27	12	16
2475	3652	1000	3884	1640	919	1183	2052	1294	1054	2749	1064	1771
100873935	38	14	47	19	12	14	25	21	16	24	17	23
10218	0	1	0	0	0	0	0	0	0	0	0	0
29914	765	224	722	378	199	268	560	297	317	662	224	394
105376737	0	1	0	0	0	1	0	1	0	2	2	0
105376739	1	0	0	0	0	0	1	0	0	1	0	0
105376740	2	0	2	0	2	3	2	1	0	2	1	7
57540	61	25	35	36	47	32	15	22	49	48	34	65
112268221	17	6	16	17	2	4	11	10	5	12	4	7
101929181	0	1	2	0	0	0	0	1	1	1	0	0
26232	483	161	368	292	277	253	146	135	338	448	239	313
93611	324	119	221	188	199	151	127	126	250	432	190	266
26270	30	5	29	11	30	13	4	3	18	15	6	15
10459	3106	907	2568	1635	1386	1423	1010	1001	1402	2475	1302	1506
374946	637	185	623	317	172	183	471	302	182	487	245	264
57085	527	147	259	318	276	274	131	164	343	448	254	341
284498	44	10	22	32	24	34	17	21	27	35	20	44
102724659	0	1	2	0	2	2	0	0	2	1	1	3
4524	354	112	248	178	147	193	161	144	153	269	142	228
1185	595	160	418	243	306	404	355	202	174	363	274	481
100379251	75	23	59	33	39	48	59	30	22	56	35	63
4878	1	0	3	1	0	1	1	1	1	1	0	1
4879	0	0	0	0	5	0	1	0	2	2	0	2
26829	0	0	1	0	0	0	1	0	0	4	0	0
90231	628	184	543	338	243	272	336	220	345	530	283	325
5351	1440	343	1132	653	695	697	480	380	781	1174	518	789
9927	2182	618	2233	1012	731	794	1424	847	905	1994	786	1125
60672	325	110	143	216	193	177	102	101	242	290	187	208
102466982	1	0	0	0	0	0	0	0	0	0	0	0
943	180	65	151	147	126	102	89	103	211	217	95	158
102465836	0	0	0	0	0	0	0	0	0	0	0	0
7133	70	19	51	26	19	30	15	19	22	43	26	36
100616438	0	0	0	0	0	0	0	0	0	0	0	0
107984917	1	0	0	0	0	0	0	0	0	0	0	0
55187	1051	245	1680	408	200	293	797	283	296	873	220	576
677885	1	1	2	1	3	2	5	1	1	1	1	2
105376744	0	0	0	0	0	0	0	0	0	0	0	0
9249	169	57	144	137	49	52	196	56	145	397	85	66
102466722	0	0	0	0	0	0	0	0	0	0	0	0
343066	0	0	0	0	0	0	1	0	1	1	0	0
126767	3	3	7	3	1	1	4	0	1	9	1	5
93190	0	0	0	0	0	0	0	0	1	0	0	1
390999	0	0	0	0	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0	0	0
343069	23	8	40	17	10	5	23	11	6	29	5	20
65122	0	0	0	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	0	0	0
649330	0	0	0	0	0	0	1	0	0	1	0	0
441873	0	0	0	0	0	0	0	0	0	0	0	0
649324	0	0	0	0	0	0	0	0	0	0	0	0
440563	1	1	2	2	1	0	1	1	2	2	0	1
645354	0	0	0	0	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0	0	0
101060301	0	0	0	0	0	0	0	0	0	1	0	0
343070	0	0	0	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0	0	0
126755	4	2	5	5	1	2	3	0	1	12	1	5
102724856	0	0	1	0	0	0	0	0	0	0	0	0
107984918	0	0	0	0	0	0	0	0	0	0	0	0
10630	2906	748	3044	1478	750	808	2418	923	1195	3825	876	1117
107984919	16	4	25	6	4	4	14	2	12	26	4	11
105378612	4	0	1	1	1	1	1	1	2	4	0	3
105376756	0	0	0	0	0	0	0	0	0	1	0	0
7799	927	225	998	356	258	315	626	303	318	820	234	483
23254	299	81	301	141	132	140	202	104	129	267	124	216
107985467	0	1	0	0	0	0	0	0	0	0	0	0
107985468	0	0	0	0	0	0	0	0	0	1	0	0
105376762	0	1	1	0	0	0	0	0	1	3	0	0
105376759	0	0	0	0	0	0	0	0	0	1	0	0
107985469	0	0	0	0	0	0	0	0	0	1	0	0
200197	34	6	24	16	9	9	24	10	13	33	14	28
55092	166	61	181	113	64	67	85	68	80	145	76	119
727684	0	0	0	0	1	0	0	0	0	2	0	0
114827	38	15	37	19	7	12	26	21	14	41	17	16
101927417	7	2	8	2	0	2	4	1	3	11	2	1
101927441	3	1	3	6	3	2	1	2	2	4	1	1
79180	357	88	241	177	111	112	149	149	178	262	160	176
11330	1	0	0	0	0	0	0	0	0	0	0	1
63036	3	1	1	1	1	0	1	0	1	0	1	1
105376767	4	0	5	2	1	5	4	2	1	1	0	0
51032	12	3	17	1	2	4	5	2	2	4	1	4
842	629	123	477	244	191	265	246	200	238	411	215	292
23341	600	140	600	221	130	191	508	195	207	726	134	260
107397391	0	0	0	0	0	0	0	0	0	0	0	0
79814	220	71	250	116	73	62	189	114	87	208	69	91
84301	2368	577	2907	797	480	614	1899	776	649	2128	545	1021
6248	367	58	472	113	73	90	303	121	100	317	75	170
23207	738	266	544	486	408	403	320	298	503	582	413	551
284723	7	3	7	2	1	2	4	3	2	13	2	2
110806303	1	1	0	0	0	0	0	1	1	1	0	0
388595	8	3	6	7	7	10	4	1	15	20	9	8
54751	1539	401	1454	797	639	650	765	552	705	1220	570	822
440567	899	252	1066	463	319	285	758	345	341	883	337	406
729614	114	26	85	56	43	43	43	39	57	128	52	80
23013	1805	472	1968	724	526	582	1262	577	551	1616	474	1113
7709	197	70	159	129	134	94	97	77	149	197	87	116
149563	1	0	0	0	1	0	0	0	0	0	0	0
27129	6	0	4	5	4	1	0	3	3	6	2	6
1187	20	6	15	14	14	13	6	3	15	34	14	17
1188	52	20	38	30	42	27	20	15	49	88	23	42
348487	18	7	2	11	9	9	6	6	8	9	10	9
1969	353	112	340	213	298	247	170	114	282	278	171	325
101927479	2	0	2	1	1	3	3	2	1	1	0	1
128272	663	213	428	411	315	290	226	271	403	592	401	420
101927546	2	0	1	0	0	2	0	0	1	9	1	3
79363	30	8	19	22	19	14	13	11	32	38	12	26
54455	805	180	810	324	181	182	604	268	263	687	236	322
26099	1627	455	1693	796	707	670	1154	627	678	1329	552	868
374955	1108	266	1096	500	446	417	768	395	408	848	353	544
55707	769	205	758	348	301	275	429	309	292	510	255	395
107984921	12	2	14	4	10	4	14	3	3	11	4	11
114819	27	5	16	5	10	10	17	9	7	43	13	17
26871	9	2	21	5	4	3	21	5	8	38	3	5
107985757	0	0	0	0	0	0	0	0	0	1	0	0
100132147	7	1	2	3	2	3	1	1	7	6	2	4
107985758	1	0	0	0	0	0	0	0	3	0	0	1
7195	1	0	0	0	0	0	0	0	0	1	0	0
55672	306	77	291	152	93	101	287	125	126	420	105	198
105376794	187	54	134	95	99	64	139	77	93	260	115	144
84809	90	25	75	47	36	37	67	34	48	100	39	54
11209	49	15	29	16	30	34	18	14	38	54	29	48
107985736	21	5	31	14	5	8	11	6	9	45	4	9
26869	7	1	17	5	4	4	17	4	6	30	2	4
107985759	0	0	0	0	0	0	0	0	0	0	0	0
284729	1	0	0	0	0	2	0	0	2	0	1	1
100189045	0	0	0	0	0	0	0	0	0	0	0	0
6060	4	0	7	1	0	0	6	1	0	9	1	0
11223	55	12	33	14	18	20	22	11	25	61	21	49
100500876	0	0	0	0	0	0	0	0	0	0	0	0
100189298	0	0	1	0	0	0	0	0	0	0	0	0
112267871	9	4	2	5	5	2	4	2	4	3	2	5
7193	1	0	0	0	1	0	0	0	2	1	0	1
100189183	0	0	0	0	0	1	0	0	0	0	0	1
105376805	122	27	70	29	34	30	42	21	36	60	28	43
791226	0	0	0	0	0	0	0	0	0	0	0	0
26870	3	0	2	1	0	0	6	1	0	6	1	1
9696	202	99	75	132	135	104	76	112	173	194	179	175
4237	891	267	706	513	406	356	354	335	575	853	410	515
105376806	202	63	177	114	92	83	105	79	127	203	85	137
23400	549	188	427	377	276	301	229	249	474	609	340	460
6390	1511	355	1896	711	595	594	1062	502	604	1405	538	758
11240	190	38	213	77	122	107	71	52	102	129	48	147
105376808	0	0	0	0	0	0	0	0	1	0	0	0
400743	1	0	0	0	0	0	0	0	0	0	0	0
29943	10	2	18	6	15	7	7	3	11	20	6	12
51702	163	41	199	80	79	86	60	27	143	214	48	104
100616188	0	0	0	0	0	0	0	0	0	0	0	0
23569	4	4	3	6	1	2	2	1	1	3	3	3
353238	2	0	0	0	0	0	0	0	1	0	0	0
55920	14544	3998	14247	6745	4990	5550	9263	5380	5953	11748	5255	7214
55160	556	192	283	323	170	177	210	248	315	475	252	293
107984028	1	0	0	0	0	0	0	0	0	0	0	0
81569	11	1	11	4	2	4	4	7	5	6	2	2
105376809	0	0	1	0	0	0	0	0	1	0	0	0
105376812	0	0	0	0	0	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0	0	0	0	0	0
84966	218	53	108	108	123	99	90	72	204	195	117	186
105376814	0	0	0	0	0	0	0	0	0	0	0	0
127707	1038	369	1044	591	110	202	1129	517	411	842	403	367
5081	14	2	7	4	2	2	9	4	4	16	6	7
80834	0	0	0	0	0	1	0	0	0	1	0	0
8659	586	211	347	277	351	322	198	254	402	449	328	444
100616120	0	0	0	0	0	0	0	0	0	0	0	0
100302276	0	0	0	0	0	0	0	0	0	0	0	0
126917	248	63	250	109	96	85	181	73	101	195	101	167
105376815	0	0	0	0	0	0	0	0	0	0	0	0
23352	3777	1057	5579	1517	1019	1172	2648	1256	1258	4143	1111	2293
101927895	60	14	54	20	14	19	28	19	22	47	19	30
23065	1703	455	1800	714	399	450	1032	553	586	1452	522	825
51154	1531	410	1619	774	435	429	1271	604	597	1454	518	603
246181	16	1	15	7	4	2	10	8	5	21	11	12
22977	7	1	6	5	2	2	4	3	4	8	6	5
100506730	89	18	126	40	22	22	74	28	27	107	26	40
8574	747	177	562	311	314	330	246	183	337	517	235	401
54896	195	73	136	140	79	44	107	75	117	212	96	79
832	9124	2173	8727	3752	3435	3614	5007	2784	3363	6958	2982	4594
105376819	1	0	0	1	0	0	1	0	1	0	0	0
105376818	0	0	0	0	0	0	0	0	0	0	0	0
105376817	0	0	0	0	0	0	1	0	0	0	0	0
105378614	1	0	0	0	0	0	0	0	0	0	0	0
440574	1206	317	1334	513	338	355	1033	450	429	1156	455	532
100532736	213	109	238	176	99	130	224	114	142	254	124	165
644068	61	7	62	16	12	21	41	20	12	58	17	22
4681	48	21	34	39	25	27	13	21	31	33	24	34
3362	107	28	100	40	77	79	13	21	40	33	39	75
255104	231	48	108	70	87	110	58	57	88	82	55	120
54546	3	0	0	2	0	3	0	1	4	0	1	0
105376823	0	0	0	0	0	0	0	0	0	0	0	1
23252	853	172	823	276	348	310	508	268	287	632	283	661
30814	0	0	0	0	0	0	0	0	0	0	0	0
5320	596	152	776	351	214	213	175	130	248	640	137	206
5322	1	0	1	0	0	0	0	1	0	0	0	0
26279	0	0	0	0	0	0	0	0	0	0	0	0
64600	0	1	0	0	0	0	0	0	0	0	0	0
391013	0	0	0	0	0	0	0	0	0	1	0	1
127733	52	12	47	28	8	11	41	18	17	29	14	15
101928017	1	1	1	0	0	1	1	1	1	0	0	1
105376825	2	1	1	0	0	0	1	2	0	0	3	0
105376826	1	0	1	0	1	1	1	0	1	0	0	1
105376827	0	0	0	0	0	0	0	0	0	0	0	0
105376828	0	0	0	0	0	0	0	0	0	0	0	0
127731	16	3	10	4	6	11	6	4	7	15	11	21
339505	0	0	0	0	0	1	0	0	0	0	0	0
55450	241	41	183	88	69	81	155	55	105	228	80	122
79594	586	191	571	274	270	232	322	234	289	412	205	345
163933	28	5	16	13	23	17	6	8	10	8	14	32
