GeneID	perturbed	perturbed	perturbed	perturbed	perturbed	perturbed	perturbed	control	control	control	control	control	control	control
80772	235	106	135	281	443	385	216	513	509	752	588	508	571	144
83756	12	10	9	12	19	13	9	18	15	23	27	17	20	12
1855	1628	1033	935	1669	2969	2252	1436	2785	2239	2726	2165	2277	2613	1316
102466740	1	2	1	2	0	3	1	3	1	2	2	2	2	1
54587	15	15	23	20	3	6	5	32	26	31	33	35	35	13
54998	1758	961	1021	1392	2207	1707	1835	2328	1139	1473	1467	1472	1313	1120
81669	1130	1214	1312	1486	1355	1245	982	1499	1476	1380	1969	2694	2113	1100
148413	404	280	315	408	554	496	449	552	429	483	434	534	479	338
55052	2240	1738	1705	1385	1938	1922	2514	2082	926	1027	1115	1350	1195	1973
107984868	1	6	5	0	4	6	0	4	4	0	5	4	2	0
441869	61	63	51	82	146	136	206	73	64	65	79	79	76	61
105378585	0	1	3	3	3	3	8	7	2	2	3	6	5	3
643965	6	4	6	13	12	25	14	22	16	21	17	15	17	4
102724312	24	26	14	39	37	39	68	44	28	47	43	29	31	21
107985729	3	5	2	18	7	25	15	21	14	24	19	18	18	14
64856	1492	802	748	1768	2405	2225	1863	3052	2212	4273	3220	2813	2754	1062
219293	57	35	33	69	100	80	75	136	94	116	106	107	138	63
83858	677	422	497	742	1173	823	715	1078	805	1072	1061	1232	1002	511
55210	609	330	390	668	1000	822	665	1045	866	1243	1058	1217	1101	389
339453	7	4	3	3	11	7	5	2	5	7	5	8	3	4
29101	1755	1059	1192	1468	1719	1592	1344	1849	1492	1802	1731	1912	1536	941
643988	1	2	1	1	1	0	1	1	3	6	2	4	0	6
105378586	1	0	1	0	1	0	1	1	1	0	1	0	0	1
142678	365	279	262	400	475	422	370	421	249	319	335	355	299	212
8510	28	18	20	23	26	25	21	25	22	19	27	29	24	18
984	443	287	309	527	635	573	395	725	715	781	668	903	817	307
728661	460	315	379	803	881	818	343	955	1241	1265	1096	1374	1308	430
8511	7	2	1	3	7	7	4	4	3	1	3	2	2	3
728642	292	215	264	335	399	405	258	454	436	449	437	587	484	232
9906	251	182	231	348	361	306	207	414	486	487	504	664	559	229
112268218	71	55	67	72	103	82	76	107	96	105	138	156	124	49
65220	578	404	467	742	1221	1040	572	1315	1322	1514	1385	1647	1540	537
2782	2951	1657	1987	3610	4686	4596	2657	5289	6824	6944	5600	6899	7018	2091
105378949	0	1	1	1	1	1	2	2	1	1	0	1	1	1
163688	0	0	0	2	0	0	0	0	0	0	1	0	0	0
339456	9	4	9	10	12	11	7	15	13	12	15	6	10	11
85452	0	1	0	0	5	13	5	9	1	0	0	4	1	2
107984872	0	5	0	0	0	0	1	1	1	2	3	3	2	1
105378589	0	0	0	3	0	3	0	1	1	2	2	3	1	3
2563	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378590	1	2	1	0	1	0	2	0	0	0	1	0	0	0
105378591	0	0	0	0	0	0	0	1	0	0	2	0	0	0
5590	288	156	171	403	498	438	226	623	657	826	656	771	700	233
100506504	10	16	12	18	19	17	7	30	21	32	22	41	40	14
199990	789	462	479	730	1074	854	826	1377	742	1082	1007	997	829	649
112268219	27	24	26	50	67	81	56	85	95	139	138	138	148	59
105378593	4	3	4	3	2	2	7	3	1	1	4	3	4	1
6497	271	126	148	377	709	566	234	618	1050	952	568	712	921	213
79906	33	27	29	56	74	69	46	68	71	72	51	81	80	25
100129534	12	13	11	22	30	29	31	29	18	32	34	39	34	9
11079	2076	1536	1524	1873	1965	2200	1948	2346	1925	2404	1976	2444	2367	1406
5192	427	231	258	490	606	556	412	649	481	647	558	599	549	336
9651	38	32	33	72	72	82	36	77	56	61	47	58	36	28
55229	152	105	117	185	258	208	126	283	279	345	252	312	315	132
388585	0	1	0	2	2	0	1	1	2	1	0	1	2	0
115110	88	68	62	126	189	184	133	223	193	243	186	169	213	108
8764	658	422	439	725	1088	1057	799	1217	864	1105	1140	929	974	552
100996583	5	0	5	4	3	10	2	6	4	7	5	7	4	2
127281	841	425	461	1145	1678	1596	1032	1772	1601	2203	1981	1711	1760	676
79258	149	88	103	194	246	247	166	294	212	324	285	242	273	123
105378597	0	1	0	0	0	0	1	4	1	1	0	0	0	1
100287898	2	6	4	8	9	3	0	4	2	9	12	7	10	2
105378603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	1	1	0	0	0	0	0	0	0	1	1	0
107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140625	1	0	1	0	0	1	0	0	1	0	1	0	0	0
440556	0	0	1	0	0	0	0	1	0	0	0	0	0	0
63976	0	1	0	1	0	0	1	1	0	1	0	0	1	0
100422968	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984909	0	0	0	0	0	0	2	1	0	0	0	0	0	0
105378605	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378604	6	6	6	11	15	20	31	26	18	18	16	15	21	12
27237	617	401	395	666	991	895	752	1271	1027	1414	1240	1342	1313	613
1953	105	85	121	183	181	185	87	71	64	53	62	72	56	33
105378608	0	0	0	0	0	0	0	0	0	0	0	1	0	0
693135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127262	2055	1106	1294	1871	2590	2406	1793	2111	2120	2219	2070	2215	2341	1059
49856	449	221	257	447	704	560	420	647	553	624	528	596	623	273
7161	14	12	22	37	60	40	34	48	60	80	40	88	67	19
105378610	2	1	2	2	1	3	5	9	4	1	8	6	5	4
105378609	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57212	2	3	4	4	0	2	1	1	4	8	5	4	2	5
148870	0	0	0	0	0	0	0	0	0	0	0	1	0	0
388588	14	18	12	11	9	19	16	22	9	20	14	10	11	18
57470	439	265	315	480	581	498	386	585	622	710	660	777	716	273
9731	199	103	147	195	358	308	149	313	542	499	324	489	561	143
1677	136	82	109	151	235	180	126	214	238	244	191	238	248	108
107984910	14	2	7	5	11	10	2	4	5	12	10	13	6	7
339448	219	138	168	240	327	266	187	283	297	304	281	355	328	157
100133612	3	3	2	3	3	5	2	10	4	4	6	11	8	6
728716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55966	0	1	0	2	2	0	1	2	0	0	0	0	0	2
105376680	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	1	2	1	0	0	1	2	2
261734	99	83	75	175	199	192	111	232	272	315	253	286	299	94
8514	111	40	82	154	194	151	110	145	115	156	143	154	151	58
26038	2	3	1	3	7	7	2	4	3	10	4	11	8	2
105376687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6146	24960	24909	23484	14877	20787	20988	24027	14392	8225	6886	7051	9190	9437	23464
107985733	39	16	36	26	38	39	13	38	21	16	16	21	16	80
102724450	3	7	1	2	1	1	2	1	1	1	5	4	3	2
388591	28	30	27	30	28	36	12	45	32	44	38	54	35	27
23463	1300	788	961	1204	1835	1567	913	1845	2251	2310	1627	2206	2679	1020
148645	2	0	4	0	1	2	4	2	1	2	0	3	2	3
390992	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387509	63	49	51	117	165	132	81	122	137	136	103	140	121	55
11332	265	124	162	304	377	294	283	438	377	504	415	542	452	159
54626	0	0	2	1	3	2	0	2	0	0	0	0	0	1
83715	72	54	58	94	109	105	120	147	108	139	152	132	111	58
100422975	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8718	56	36	59	60	76	63	65	104	72	102	99	97	93	30
57449	86	64	56	148	175	213	118	255	292	322	277	342	338	99
79707	191	113	166	173	220	177	124	187	275	284	264	348	371	126
80835	2	2	3	2	1	0	1	0	0	1	0	1	1	5
107984912	1	0	0	0	1	0	0	0	0	0	0	0	1	0
3104	179	122	172	185	264	278	215	311	209	271	252	250	245	133
9903	487	208	306	563	969	708	378	729	900	1115	797	927	927	305
107984913	0	1	0	4	1	6	2	4	1	1	4	8	2	0
148479	202	137	153	272	318	289	199	311	420	464	413	497	418	131
90326	274	176	176	290	367	273	219	390	301	364	343	384	367	165
55735	263	159	168	410	469	423	238	529	672	800	557	859	800	177
100505887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110841581	10	9	3	3	2	6	8	2	1	6	7	7	5	3
23261	777	626	766	487	665	613	576	590	504	457	445	523	501	581
105376692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928836	1	0	1	0	0	0	0	1	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376689	18	31	28	29	29	25	19	24	31	17	17	27	29	19
9341	1306	1200	1349	1003	1234	1285	1125	1601	2071	1883	1872	1933	2175	1794
8863	38	39	36	36	70	61	20	101	171	146	104	154	158	44
10911	0	0	1	0	0	3	0	0	0	0	0	0	0	1
3604	2	2	4	0	2	0	0	3	2	4	2	4	2	0
11315	6768	5979	5982	4387	6328	5854	6083	5175	2768	3311	2783	3381	3260	5316
54206	2151	1885	2416	2796	2597	2559	1257	4606	7755	5503	4447	6082	5684	2218
107984915	0	0	1	0	1	2	0	0	0	0	1	0	0	1
102724539	8	6	6	3	5	7	3	5	4	0	2	3	4	0
105376695	1	0	0	0	1	2	2	1	0	0	1	2	0	5
50651	3	1	3	4	5	5	3	8	12	11	10	13	10	3
473	625	387	557	843	877	965	428	1317	1827	1635	1108	1790	1465	485
102724552	1	2	0	1	0	1	2	1	0	1	2	3	2	0
106632271	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023	30744	14110	17357	25822	27666	29612	25663	26636	25748	34427	28031	33037	27865	13733
102465436	1	0	1	0	1	1	1	0	2	1	1	2	0	2
100505975	8	6	7	8	11	15	8	21	10	22	13	16	13	4
112268261	1	0	2	0	0	0	1	1	1	0	0	1	0	0
765	4	0	4	0	6	5	9	8	0	2	0	2	2	1
155184	0	0	0	1	0	0	2	1	0	0	0	0	0	2
6518	0	0	0	1	0	1	0	0	1	0	1	1	3	2
80045	87	40	72	81	126	88	53	92	98	99	101	108	114	36
106614088	40	50	43	50	56	71	41	54	27	28	48	56	34	44
407040	0	0	0	1	0	1	0	0	0	1	1	0	1	1
102724571	4	2	3	3	3	11	16	4	4	7	1	5	11	5
9563	229	167	160	393	418	507	216	531	729	834	675	759	960	164
80176	66	33	37	66	103	80	25	64	85	94	55	80	85	21
100506022	1	0	0	1	1	0	0	3	1	5	0	2	1	0
84275	337	222	240	325	420	376	334	429	416	410	330	406	444	251
199953	88	58	61	125	195	141	85	165	237	280	196	305	251	71
107985734	5	3	8	5	7	3	7	5	5	6	7	13	8	4
105376712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5293	75	33	62	46	31	53	32	60	71	89	94	97	65	31
644997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929074	35	20	15	15	23	29	32	28	9	13	7	17	14	35
22883	806	438	557	1427	1458	1468	633	1956	2985	3525	2612	3399	2988	565
56998	254	133	174	276	321	374	246	413	325	431	384	324	362	137
105376717	10	5	5	10	11	12	9	16	15	17	14	10	12	4
84328	1009	1008	1067	702	1020	903	818	795	849	714	573	739	881	1060
64802	197	129	170	141	199	192	164	159	143	158	116	128	164	110
113391335	0	0	0	0	0	0	0	0	1	0	0	0	1	0
100847055	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116362	0	0	0	0	0	1	2	1	0	0	1	0	0	2
10277	354	209	283	483	608	561	271	760	1309	1199	830	1226	1225	344
23095	382	228	341	455	583	615	219	661	1474	1184	639	1313	1460	316
105376725	0	0	0	0	0	0	0	0	0	0	1	1	3	0
5226	1216	597	904	1330	1135	1058	799	1399	1678	1926	1625	2021	1730	601
100526739	85	73	81	101	121	118	103	110	83	81	96	88	90	80
378708	90	82	92	105	127	120	105	115	96	84	110	95	100	81
1325	3	4	6	5	6	3	5	5	2	3	6	3	7	3
1676	772	447	482	692	1102	827	476	924	1165	1121	853	1219	1290	489
5195	158	90	92	195	187	219	145	258	211	283	238	275	249	116
54897	173	105	147	281	392	385	134	396	623	464	391	605	561	146
105376733	0	0	1	0	0	0	0	0	0	0	0	1	0	0
105376735	0	0	0	0	1	2	2	2	0	0	0	0	0	0
148345	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23435	2990	2238	2456	1977	2529	2465	1979	2344	3084	2363	2138	3173	3354	2269
10747	18	16	21	15	8	8	4	9	10	12	17	31	17	5
6723	662	317	399	664	1129	703	605	823	785	1084	882	1020	861	344
5394	791	492	598	686	833	815	515	929	1203	1237	924	1297	1256	385
105376736	17	9	8	21	24	26	9	28	38	40	22	37	54	15
2475	520	361	454	541	663	611	316	744	1239	1148	760	1403	1264	389
100873935	3	3	0	3	10	11	2	8	15	15	5	15	16	2
10218	3	1	1	3	3	0	1	0	1	0	0	3	0	0
29914	278	165	185	299	411	423	238	508	495	578	405	551	553	191
105376737	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376739	0	0	0	0	1	0	0	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	0	0	0	0	0	0	0	1
57540	1	2	2	1	4	9	3	4	4	3	3	4	1	2
112268221	0	0	0	0	0	0	0	0	0	0	1	1	0	0
101929181	0	0	0	0	1	0	0	0	0	0	0	0	0	1
26232	16	30	26	38	8	3	3	1	8	4	5	9	1	2
93611	25	21	23	22	20	18	23	26	16	19	22	22	23	17
26270	6	2	4	4	3	2	0	2	1	1	2	4	1	2
10459	162	112	107	213	257	257	224	412	209	330	298	255	254	135
374946	0	0	1	0	1	0	1	3	0	0	2	0	0	2
57085	368	226	231	344	443	370	358	512	358	496	442	423	329	238
284498	28	28	17	49	85	76	39	102	91	125	99	85	116	38
102724659	0	1	1	0	0	0	1	0	0	0	0	0	0	0
4524	159	92	108	190	298	301	165	423	475	547	437	476	545	148
1185	66	63	62	143	127	136	53	210	261	242	196	302	235	84
100379251	8	10	4	20	14	15	5	28	34	27	32	38	29	6
4878	4	5	1	3	2	6	3	1	3	4	5	4	2	2
4879	0	1	0	0	0	0	0	0	0	0	0	0	0	0
26829	0	0	1	0	1	0	1	0	0	0	0	0	0	0
90231	1429	747	858	1339	1935	1612	1224	1811	1485	1679	1604	1589	1568	893
5351	354	157	296	542	500	413	211	740	903	1009	748	1081	887	264
9927	684	369	518	818	1242	1074	586	1226	1436	1656	1223	1637	1683	540
60672	330	185	212	321	400	321	304	403	242	350	311	338	303	184
102466982	0	1	0	0	0	1	0	0	0	2	0	0	0	1
943	0	0	0	0	0	1	0	1	2	0	1	0	2	1
102465836	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7133	0	0	0	0	7	9	4	6	0	1	1	2	0	0
100616438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55187	168	104	118	186	264	264	105	379	785	596	360	785	758	157
677885	6	1	4	2	2	1	1	4	4	4	4	4	2	4
105376744	0	1	0	0	0	1	0	1	0	0	0	0	0	2
9249	678	429	392	515	639	550	375	757	493	486	547	562	479	383
102466722	0	1	0	0	1	1	0	1	0	0	0	1	0	1
343066	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0	0	0	1	0	0	0	0
93190	0	0	0	0	0	0	0	1	1	2	1	3	1	1
390999	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343069	4	5	6	2	8	5	5	5	2	4	1	4	4	5
65122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649330	0	0	0	0	0	0	0	1	0	0	0	0	0	0
441873	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649324	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440563	0	0	0	0	0	0	0	0	0	0	0	1	0	0
645354	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101060301	0	0	0	0	0	0	0	1	0	0	0	0	0	0
343070	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0	0	0	0	2	0	0
645414	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126755	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724856	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984918	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10630	0	0	0	0	0	0	0	0	0	0	0	0	0	1
107984919	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378612	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7799	160	130	164	167	301	248	125	312	567	469	301	482	582	170
23254	99	55	96	123	161	125	57	83	107	117	104	122	131	27
107985467	0	0	0	0	0	0	0	1	0	0	0	0	0	0
107985468	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376762	0	0	0	0	0	0	0	0	1	0	0	0	0	0
105376759	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985469	0	0	0	0	0	0	1	0	0	0	0	1	0	0
200197	9	10	8	18	17	15	12	22	25	30	30	45	37	14
55092	318	127	143	237	313	290	179	409	386	472	405	451	456	177
727684	0	0	0	0	0	0	0	0	0	0	0	1	1	0
114827	16	6	11	12	14	14	25	23	23	35	12	28	35	21
101927417	2	1	1	4	3	3	3	4	3	6	3	9	6	1
101927441	3	0	3	4	1	7	6	5	3	6	8	10	6	3
79180	1190	647	685	1415	2169	1917	1323	2215	2106	2926	2458	2451	2578	887
11330	0	1	1	3	2	0	1	0	0	0	0	0	0	2
63036	0	0	0	0	0	1	0	0	0	0	0	0	0	0
105376767	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51032	2	2	0	0	2	0	0	2	2	1	4	1	8	4
842	108	68	67	116	146	152	100	196	173	220	148	239	201	81
23341	231	150	201	214	289	251	157	247	509	365	319	465	454	138
107397391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79814	666	306	497	597	814	677	530	536	622	539	485	669	727	302
84301	653	430	499	555	855	869	363	901	2078	1304	871	1481	1842	545
6248	48	39	38	63	131	95	25	129	301	194	88	185	253	64
23207	418	225	243	568	790	618	375	748	709	853	682	793	783	265
284723	2	0	1	1	7	0	0	2	3	1	1	8	10	4
110806303	0	0	0	0	1	0	0	0	0	0	0	1	1	0
388595	1	0	5	0	1	4	1	1	0	0	0	0	1	0
54751	181	92	116	244	254	262	139	373	339	375	315	404	316	143
440567	1228	1070	1027	603	1024	986	1197	709	217	260	258	271	247	1005
729614	117	81	72	75	95	91	92	75	58	38	67	71	81	77
23013	268	183	208	488	674	673	153	703	1593	1261	559	1350	1358	287
7709	254	171	184	297	351	299	159	376	308	337	315	342	316	176
149563	11	4	7	14	0	1	4	1	0	0	0	0	0	0
27129	0	1	0	1	2	0	0	4	3	7	0	4	1	7
1187	0	0	0	0	1	2	1	0	0	0	1	0	0	0
1188	0	1	0	1	1	0	0	1	0	1	2	1	1	2
348487	29	27	32	74	92	68	87	42	45	91	63	59	62	40
1969	916	652	665	885	1609	1551	769	2066	2857	3126	2059	2648	2747	708
101927479	11	12	5	27	36	43	29	50	52	63	44	69	77	26
128272	120	70	97	156	238	167	128	230	172	223	214	264	221	76
101927546	15	5	7	13	29	19	14	18	14	27	19	17	11	9
79363	13	17	16	13	54	29	34	71	71	71	54	65	68	30
54455	178	104	150	261	345	272	155	313	379	435	352	401	396	138
26099	911	545	530	1286	2069	1525	781	1912	1838	2201	1406	1910	1964	780
374955	496	270	292	708	1048	779	476	1018	963	1188	905	1121	1068	354
55707	1100	760	746	1023	1349	1191	915	1437	1154	1227	1130	1239	1250	778
107984921	6	3	4	4	7	3	1	2	7	8	5	9	12	2
114819	11	9	8	10	7	10	9	17	16	13	13	24	18	16
26871	696	57	22	9	17	14	25	11	8	11	10	46	7	22
107985757	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132147	0	0	0	1	1	1	1	2	4	1	2	6	3	2
107985758	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7195	0	0	0	0	0	0	0	0	0	0	0	1	0	0
55672	93	73	83	86	131	95	51	130	163	156	98	170	164	72
105376794	84	112	82	113	114	120	88	178	142	123	151	215	171	93
84809	86	75	69	84	125	103	87	138	103	109	118	126	123	67
11209	10	205	12	18	6	8	9	7	5	13	11	9	9	7
107985736	1	2	1	0	2	3	1	3	3	1	0	3	2	2
26869	574	48	19	9	15	13	25	9	7	9	9	43	7	20
107985759	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284729	2	1	7	4	5	6	9	9	9	11	10	15	12	3
100189045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6060	71	4	4	2	2	2	2	2	1	1	1	7	1	2
11223	4	44	5	9	6	5	0	3	1	1	4	5	7	4
100500876	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0	0	0	0	1	0	0
112267871	0	1	0	0	4	1	1	8	10	7	8	13	9	0
7193	0	0	0	0	0	0	0	0	0	1	0	1	0	0
100189183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376805	226	223	210	134	210	133	184	223	72	110	84	77	82	272
791226	0	0	0	0	0	0	1	1	0	0	0	0	0	0
26870	55	4	2	2	2	1	1	1	1	1	1	5	1	2
9696	101	69	49	131	143	133	88	163	148	161	172	170	168	77
